District,"Shishu
(Loans up to Rs. 50,000) Outstanding No.",Amt.,"Out of which under
NPA No.",Amt.,"Kishore
(Loans from Rs. 50,001 to Rs. 5.00
Lakh) Outstanding No.",Amt.,"Out of which
under NPA No.",Amt.,"Tarun
(Loans from Rs. 5.00 Lakh above to
Rs. 10.00 Lakh) Outstanding No.",Amt.,"Out of which
under NPA No.",Amt.,"Tarun Plus
(Loans from Rs. 10.00 Lakh
above to Rs. 20.00 Lakh) Outstanding No.",Amt.,"Out of which
under NPA No.",Amt.,Total PMMY Loans Outstanding No.,Amt.,Out of which under NPA No.,Amt.,% Age NPA No.,Amt.
Araria,110955,220.98,39842,75.05,111014,693.59,17539,90.50,3527,212.35,344,17.86,138,33.94,14,1.54,225634,1160.86,57739,184.95,25.59,15.93
Arwal,15106,30.56,4375,9.96,12389,103.48,2105,18.13,1325,82.93,148,9.20,12,1.96,1,0.27,28832,218.93,6629,37.56,22.99,17.16
Aurangabad,61263,134.71,21175,42.47,61830,445.34,10759,74.83,3776,229.13,313,15.78,128,51.07,10,2.11,126997,860.25,32257,135.19,25.40,15.72
Banka,58090,117.04,18608,33.13,51996,386.65,8981,51.95,2484,136.83,134,6.14,40,9.49,2,0.14,112610,650.01,27725,91.36,24.62,14.06
Begusarai,130114,259.69,42738,74.60,161143,974.55,22900,119.43,5155,300.68,501,22.55,128,40.89,4,0.20,296540,1575.81,66143,216.78,22.30,13.76
Bhagalpur,101194,206.38,19074,35.47,123797,923.90,12393,81.41,6305,375.78,440,22.58,120,25.92,4,0.63,231416,1531.98,31911,140.09,13.79,9.14
Bhojpur,50332,115.79,13724,32.27,56836,403.74,7745,62.47,3367,195.29,433,20.83,124,33.42,7,0.47,110659,748.24,21909,116.04,19.80,15.51
Buxar,39030,86.28,10242,23.23,45722,341.22,6735,63.80,2737,160.89,337,17.33,71,15.22,4,0.29,87560,603.61,17318,104.65,19.78,17.34
Darbhanga,122775,277.19,46443,83.52,144187,883.54,22204,112.51,5343,307.83,424,20.82,315,81.59,22,3.35,272620,1550.15,69093,220.20,25.34,14.21
Gaya,189765,443.58,36483,71.30,165670,1011.14,32430,209.53,11599,684.83,812,46.69,200,79.49,14,1.81,367234,2219.04,69739,329.33,18.99,14.84
Gopalganj,66461,137.44,23170,43.48,80821,517.01,13184,70.63,3349,202.72,295,16.82,215,54.29,7,1.69,150846,911.46,36656,132.62,24.30,14.55
Jamui,50188,91.41,11570,22.62,54917,359.76,8167,48.74,2214,128.33,285,15.65,37,4.01,9,0.58,107356,583.51,20031,87.59,18.66,15.01
Jehanabad,20961,44.93,6239,15.47,26501,252.56,3858,36.57,2244,126.88,251,15.29,15,1.89,3,0.26,49721,426.26,10351,67.59,20.82,15.86
Kaimur (Bhabua),30213,61.62,6420,13.21,34627,251.89,4476,42.13,2162,130.96,268,13.53,44,6.95,4,0.77,67046,451.42,11168,69.64,16.66,15.43
Katihar,91588,196.01,20569,36.62,124113,732.01,15491,77.79,4687,281.52,334,15.61,218,64.97,3,0.65,220606,1274.51,36397,130.67,16.50,10.25
Khagaria,76079,151.57,33350,60.87,61544,402.16,12092,61.96,2435,129.86,211,9.34,87,20.09,2,0.17,140145,703.68,45655,132.34,32.58,18.81
Kishanganj,57624,115.11,7985,16.77,84432,557.52,4475,29.66,1678,86.66,156,6.11,80,18.57,4,0.61,143814,777.86,12620,53.15,8.78,6.83
Lakhisarai,21605,42.76,7106,13.48,28723,206.89,3982,23.78,1215,71.17,76,3.83,40,5.99,4,0.42,51583,326.81,11168,41.51,21.65,12.70
Madhepura,57070,114.04,24713,43.66,56106,378.61,12621,66.17,2652,147.76,208,8.50,117,27.51,5,0.45,115945,667.92,37547,118.78,32.38,17.78
Madhubani,131427,273.05,50982,95.43,100479,669.56,19819,109.31,5634,330.20,453,24.39,286,67.81,10,1.37,237826,1340.62,71264,230.50,29.96,17.19
Munger,42557,87.40,10438,22.65,42453,305.14,6489,47.24,2405,148.99,314,17.29,68,17.21,7,0.67,87483,558.74,17248,87.85,19.72,15.72
Muzaffarpur,281559,552.17,101902,189.22,214600,1430.46,33460,191.55,10270,557.60,1239,59.38,609,181.02,31,3.31,507038,2721.25,136632,443.46,26.95,16.30
Nalanda,56067,118.26,12474,27.07,63841,552.50,9403,96.99,5051,301.58,659,35.08,130,24.45,10,0.86,125089,996.79,22546,160.00,18.02,16.05
Nawada,55859,120.47,18247,39.39,63087,426.46,10117,61.93,3705,206.91,481,23.37,149,50.62,4,0.48,122800,804.46,28849,125.17,23.49,15.56
Pashchim Champaran,124245,267.87,25616,58.73,113908,704.36,12404,72.83,4366,246.54,449,23.22,366,99.51,24,3.58,242885,1318.28,38493,158.36,15.85,12.01
Patna,566948,1215.58,140385,294.87,345123,2424.49,35692,245.40,21552,1288.73,3030,156.14,1199,452.24,136,24.39,934822,5381.04,179243,720.80,19.17,13.40
Purbi Champaran,110232,261.94,39227,81.59,143286,911.57,22978,126.83,8144,449.11,651,31.75,552,134.85,17,1.34,262214,1757.47,62873,241.51,23.98,13.74
Purnia,82490,181.14,21871,44.86,116641,795.42,13026,72.49,5747,313.72,596,24.03,312,95.12,10,1.47,205190,1385.40,35503,142.85,17.30,10.31
Rohtas,93513,186.26,34674,66.90,77066,546.14,15634,113.52,5838,358.43,904,51.98,131,32.60,19,4.11,176548,1123.43,51231,236.51,29.02,21.05
Saharsa,57264,116.94,23016,40.86,52057,374.88,8924,53.74,4085,210.33,287,15.65,121,30.18,12,2.17,113527,732.33,32239,112.42,28.40,15.35
Samastipur,167610,356.97,63195,118.49,177113,1112.56,29413,148.21,6200,366.17,481,24.48,273,90.94,13,1.68,351196,1926.64,93102,292.86,26.51,15.20
Saran,131936,296.13,36078,75.56,161907,991.47,21215,117.07,6802,386.11,598,30.26,374,68.77,30,4.54,301019,1742.48,57921,227.43,19.24,13.05
Sheikhpura,13080,26.06,3456,7.04,14649,130.90,1995,17.79,1215,76.36,137,8.07,13,2.54,2,0.13,28957,235.86,5590,33.03,19.30,14.00
Sheohar,12289,23.45,4652,7.91,10016,100.59,1999,17.71,851,48.79,90,5.38,24,3.65,1,0.01,23180,176.48,6742,31.01,29.09,17.57
Sitamarhi,91300,181.80,44059,76.57,75875,558.52,16910,95.68,5521,295.70,411,21.92,248,71.47,4,0.45,172944,1107.49,61384,194.62,35.49,17.57
Siwan,104495,211.64,27349,50.79,114800,765.45,13337,80.18,5506,320.37,515,29.14,293,57.09,15,4.42,225094,1354.55,41216,164.53,18.31,12.15
Supaul,38728,84.93,19374,36.26,39681,344.92,7791,47.75,4094,224.02,209,8.31,165,34.84,4,0.60,82668,688.71,27378,92.92,33.12,13.49
Vaishali,148200,302.58,48244,86.19,148086,944.47,24459,128.11,6976,380.68,691,35.40,403,94.36,15,2.33,303665,1722.09,73409,252.03,24.17,14.64
