District,POS Rural,"POS Semi-
Urban",POS Urban,Total
Araria,2444,985,470,3899
Arwal,268,165,80,513
Aurangabad,2729,5194,2411,10334
Banka,1031,1040,275,2346
Begusarai,2543,2379,1450,6372
Bhagalpur,2051,3457,2708,8216
Bhojpur,1703,2113,1543,5359
Buxar,1632,659,863,3154
Darbhanga,2880,3135,2912,8927
Gaya,3951,2197,4161,10309
Gopalganj,2824,1659,242,4725
Jamui,1230,961,61,2252
Jehanabad,342,592,657,1591
Kaimur (Bhabua),1311,707,154,2172
Katihar,1792,2123,1303,5218
Khagaria,1222,846,187,2255
Kishanganj,549,1066,826,2441
Lakhisarai,840,490,87,1417
Madhepura,2034,1493,34,3561
Madhubani,4485,2820,105,7410
Munger,725,892,709,2326
Muzaffarpur,8528,6612,6589,21729
Nalanda,1853,2173,1166,5192
Nawada,1032,2470,240,3742
Pashchim Champaran,3262,813,677,4752
Patna,9403,13854,33509,56766
Purbi Champaran,5749,767,1104,7620
Purnia,2298,2635,2516,7449
Rohtas,1988,2114,1112,5214
Saharsa,1072,1804,683,3559
Samastipur,4781,2497,440,7718
Saran,5009,1716,1826,8551
Sheikhpura,605,346,37,988
Sheohar,605,442,102,1149
Sitamarhi,2648,2032,302,4982
Siwan,2099,2224,1566,5889
Supaul,2199,1074,52,3325
Vaishali,3867,2997,1636,8500
