district,disbursement_no,amt,outstanding_no,amt
Araria,8414,409.95,67201,409.95
Arwal,1477,31.63,8170,31.63
Aurangabad,9260,233.15,50096,233.15
Banka,4984,198.78,39439,198.78
Begusarai,13504,598.83,79707,598.83
Bhagalpur,9044,280.67,53532,280.67
Bhojpur,6845,148.64,36123,148.64
Buxar,6221,136,30496,136
Darbhanga,15974,747.62,106943,747.62
Gaya,16803,394.74,85119,394.74
Gopalganj,11345,417.81,75789,417.81
Jamui,6710,194.89,35466,194.89
Jehanabad,1053,38.85,5011,38.85
Kaimur (Bhabua),8896,153.27,33252,153.27
Katihar,9806,579.93,75437,579.93
Khagaria,5698,298.59,46381,298.59
Kishanganj,8193,278.01,35727,278.01
Lakhisarai,3250,84.46,20495,84.46
Madhepura,4051,282.32,54450,282.32
Madhubani,13640,643.14,102220,643.14
Munger,4324,147.37,26662,147.37
Muzaffarpur,25906,1224.02,177212,1224.02
Nalanda,7875,173.85,43176,173.85
Nawada,7852,199.02,36612,199.02
Pashchim Champaran,18284,564.03,127206,564.03
Patna,42007,2523.35,309813,2523.35
Purbi Champaran,22739,706.85,140287,706.85
Purnia,6230,431.01,69567,431.01
Rohtas,12898,348.44,63422,348.44
Saharsa,4090,281.31,35088,281.31
Samastipur,17964,718.07,107551,718.07
Saran,23135,637.44,124638,637.44
Sheikhpura,2161,50.99,13042,50.99
Sheohar,2001,73.04,12730,73.04
Sitamarhi,10431,441.72,61274,441.72
Siwan,11286,457.78,90458,457.78
Supaul,3362,187.43,24971,187.43
Vaishali,15459,674.08,97744,674.08
