district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,2833,34.84,5629,34.84,198.69,34.84
Arwal,1019,16.75,249,16.75,24.44,16.75
Aurangabad,6165,41.14,1558,41.14,25.27,41.14
Banka,2260,18.65,2226,18.65,98.50,18.65
Begusarai,4559,38.56,3014,38.56,66.11,38.56
Bhagalpur,5297,18.06,3053,18.06,57.64,18.06
Bhojpur,4992,11.23,1444,11.23,28.93,11.23
Buxar,2915,27.99,1005,27.99,34.48,27.99
Darbhanga,4848,24.55,4331,24.55,89.34,24.55
Gaya,5663,34.99,6179,34.99,109.11,34.99
Gopalganj,5912,7.66,3526,7.66,59.64,7.66
Jamui,1931,18.75,1594,18.75,82.55,18.75
Jehanabad,1618,18.30,628,18.30,38.81,18.30
Kaimur (Bhabua),3701,28.21,1317,28.21,35.58,28.21
Katihar,2933,49.85,6002,49.85,204.64,49.85
Khagaria,2511,30.27,2090,30.27,83.23,30.27
Kishanganj,1623,23.18,3055,23.18,188.23,23.18
Lakhisarai,1703,16.51,826,16.51,48.50,16.51
Madhepura,1960,23.66,6399,23.66,326.48,23.66
Madhubani,3854,28.21,6872,28.21,178.31,28.21
Munger,2017,10.46,574,10.46,28.46,10.46
Muzaffarpur,7204,36.44,8136,36.44,112.94,36.44
Nalanda,4155,15.98,1558,15.98,37.50,15.98
Nawada,2268,29.81,946,29.81,41.71,29.81
Pashchim Champaran,3753,19.23,3553,19.23,94.67,19.23
Patna,8144,140.35,17329,140.35,212.78,140.35
Purbi Champaran,5749,41.20,14273,41.20,248.27,41.20
Purnia,3033,71.66,7729,71.66,254.83,71.66
Rohtas,4088,34.43,1958,34.43,47.90,34.43
Saharsa,2423,24.71,5605,24.71,231.32,24.71
Samastipur,5416,29.78,5729,29.78,105.78,29.78
Saran,4847,21.36,9114,21.36,188.03,21.36
Sheikhpura,932,7.55,195,7.55,20.92,7.55
Sheohar,768,19.21,1434,19.21,186.72,19.21
Sitamarhi,2804,20.29,4824,20.29,172.04,20.29
Siwan,4459,34.89,7882,34.89,176.77,34.89
Supaul,2259,20.57,6965,20.57,308.32,20.57
Vaishali,10288,15.02,7360,15.02,71.54,15.02
