District,"TOTAL
ADVANCES","PRIO
SEC. ADV","% OF P S
ADV","AGL
ADV","% OF
AGL
ADV",MSME,"% OF
MSME
ADV","OPS
ADV","% OF OPS
ADV","NPS
ADV","% OF
NPS
ADV"
Araria,5617,3829,68.17,2038,36.29,1504,26.77,287,5.12,1845,32.85
Arwal,1195,749,62.68,441,36.89,255,21.35,53,4.45,437,36.54
Aurangabad,5168,3392,65.63,1833,35.46,1252,24.23,307,5.94,1748,33.82
Banka,2926,2027,69.27,1142,39.04,630,21.55,254,8.69,899,30.71
Begusarai,10445,6886,65.92,3234,30.97,3066,29.35,586,5.61,3507,33.57
Bhagalpur,10551,5824,55.20,1950,18.49,3076,29.16,797,7.56,4695,44.50
Bhojpur,6306,3571,56.62,1817,28.82,1282,20.33,471,7.47,2651,42.04
Buxar,3709,2302,62.07,1271,34.26,801,21.59,230,6.21,1400,37.73
Darbhanga,8950,4910,54.85,2197,24.55,2130,23.80,582,6.51,4052,45.27
Gaya,13527,8201,60.62,3880,28.68,3395,25.10,925,6.84,5273,38.98
Gopalganj,5399,3636,67.33,2210,40.92,1179,21.83,247,4.58,1793,33.20
Jamui,3025,1846,61.02,1186,39.21,542,17.93,117,3.88,1136,37.56
Jehanabad,2321,1374,59.21,720,31.04,515,22.17,139,6.00,946,40.78
Kaimur (Bhabua),3267,2165,66.25,1438,44.03,561,17.17,165,5.06,1074,32.87
Katihar,7357,5004,68.02,2854,38.79,1699,23.10,451,6.13,2452,33.34
Khagaria,3306,2203,66.66,1445,43.72,645,19.51,113,3.42,1068,32.32
Kishanganj,3674,2503,68.13,1506,40.99,772,21.02,225,6.12,1231,33.51
Lakhisarai,1959,1182,60.33,717,36.61,367,18.72,98,5.00,744,37.95
Madhepura,3707,2467,66.54,1516,40.90,771,20.81,179,4.83,1337,36.07
Madhubani,7046,4352,61.76,2586,36.70,1391,19.74,375,5.32,2657,37.71
Munger,3322,1568,47.20,702,21.14,623,18.76,242,7.30,1716,51.65
Muzaffarpur,19161,11279,58.87,4788,24.99,5281,27.56,1209,6.31,7913,41.30
Nalanda,6593,3994,60.58,1947,29.53,1685,25.57,362,5.48,2586,39.22
Nawada,4162,2644,63.54,1505,36.15,865,20.79,274,6.59,1454,34.93
Pashchim Champaran,7640,4861,63.62,2827,37.00,1635,21.39,399,5.23,2770,36.25
Patna,93623,37957,40.54,10767,11.50,21372,22.83,5818,6.21,55612,59.40
Purbi Champaran,11506,7583,65.90,4515,39.24,2595,22.55,473,4.11,3984,34.63
Purnia,10605,7111,67.05,3055,28.81,3396,32.02,660,6.22,3538,33.36
Rohtas,7033,4513,64.17,2176,30.94,1913,27.20,423,6.02,2475,35.19
Saharsa,4113,2583,62.81,1465,35.61,933,22.69,185,4.51,1558,37.88
Samastipur,9640,6186,64.17,3327,34.51,2315,24.01,544,5.64,3343,34.67
Saran,7899,4898,62.00,2688,34.03,1776,22.49,433,5.48,3065,38.80
Sheikhpura,1491,941,63.12,519,34.83,345,23.12,77,5.18,538,36.06
Sheohar,1100,761,69.18,525,47.70,196,17.82,40,3.66,357,32.47
Sitamarhi,5557,3576,64.34,2046,36.82,1263,22.72,267,4.81,2005,36.08
Siwan,8079,5692,70.45,3536,43.77,1755,21.72,400,4.95,2453,30.36
Supaul,3837,2490,64.90,1547,40.32,751,19.56,192,5.01,1429,37.23
Vaishali,10878,7610,69.96,5137,47.23,1983,18.23,489,4.50,3289,30.24
