District,TARGET No.,Amt.,DISBURSED No.,Amt.,% ACHIEVEMENT No.,Amt.
Araria,1500,67,111,0.91,7.40,1.36
Arwal,407,18,49,0.46,12.04,2.56
Aurangabad,1655,74,281,2.43,16.98,3.28
Banka,1231,55,135,1.5,10.97,2.73
Begusarai,2748,123,179,3.94,6.51,3.20
Bhagalpur,2612,117,154,1.76,5.90,1.50
Bhojpur,2101,94,51,1.32,2.43,1.40
Buxar,1209,54,11,0.08,0.91,0.15
Darbhanga,2256,101,82,1.01,3.63,1.00
Gaya,3145,141,541,3.86,17.20,2.74
Gopalganj,1923,86,85,3.25,4.42,3.78
Jamui,1029,46,59,0.71,5.73,1.54
Jehanabad,673,30,15,0.45,2.23,1.50
Kaimur (Bhabua),985,44,34,1.11,3.45,2.52
Katihar,1877,84,219,1.88,11.67,2.24
Khagaria,987,44,50,0.73,5.07,1.66
Kishanganj,1006,45,93,0.83,9.24,1.84
Lakhisarai,718,32,17,0.46,2.37,1.44
Madhepura,1008,45,39,0.62,3.87,1.38
Madhubani,2302,103,128,1.06,5.56,1.03
Munger,1078,48,35,0.3,3.25,0.63
Muzaffarpur,4636,208,526,21.88,11.35,10.52
Nalanda,1989,89,100,1.17,5.03,1.31
Nawada,1410,63,93,1.24,6.60,1.97
Pashchim Champaran,2034,91,78,2.32,3.83,2.55
Patna,13574,610,730,9.12,5.38,1.50
Purbi Champaran,2901,130,173,3.08,5.96,2.37
Purnia,2213,99,153,4.31,6.91,4.35
Rohtas,2146,96,71,0.68,3.31,0.71
Saharsa,718,32,40,0.32,5.57,1.00
Samastipur,2723,122,111,5.58,4.08,4.57
Saran,2567,115,133,1.29,5.18,1.12
Sheikhpura,497,22,69,1.06,13.88,4.82
Sheohar,248,11,13,0.14,5.24,1.27
Sitamarhi,1364,61,79,4.19,5.79,6.87
Siwan,3011,135,173,2.48,5.75,1.84
Supaul,1008,45,22,0.66,2.18,1.47
Vaishali,2591,116,182,6.63,7.02,5.72
