District,TARGET AMT.,DISBURSED NO. OF AC,AMT.,%AGE ACHIV. AMT.
Araria,554,427,430.22,77.66
Arwal,222,70,38.20,17.21
Aurangabad,538,245,240.72,44.74
Banka,337,85,57.23,16.98
Begusarai,1060,464,705.13,66.52
Bhagalpur,1305,432,585.21,44.84
Bhojpur,1008,291,288.26,28.60
Buxar,590,335,125.24,21.23
Darbhanga,949,392,488.17,51.44
Gaya,1444,550,606.07,41.97
Gopalganj,464,205,196.38,42.32
Jamui,330,90,84.23,25.52
Jehanabad,398,99,46.27,11.63
Kaimur (Bhabua),462,171,110.27,23.87
Katihar,790,361,426.74,54.02
Khagaria,352,159,174.86,49.68
Kishanganj,407,121,141.38,34.74
Lakhisarai,294,46,21.84,7.43
Madhepura,348,154,140.77,40.45
Madhubani,891,247,218.09,24.48
Munger,471,87,59.01,12.53
Muzaffarpur,1584,828,1108.58,69.99
Nalanda,784,428,278.82,35.56
Nawada,409,230,118.76,29.04
Pashchim Champaran,844,396,374.45,44.37
Patna,5635,4159,6076.11,107.83
Purbi Champaran,1112,482,607.54,54.63
Purnia,1068,533,842.30,78.87
Rohtas,838,339,319.30,38.10
Saharsa,351,189,227.15,64.72
Samastipur,1072,518,452.44,42.21
Saran,1080,271,218.98,20.28
Sheikhpura,217,88,40.92,18.86
Sheohar,150,27,14.20,9.47
Sitamarhi,594,205,177.59,29.90
Siwan,997,260,212.68,21.33
Supaul,453,184,141.66,31.27
Vaishali,598,341,319.57,53.44
