district,agri_npa_crop_loan_no,agri_npa_crop_loan,agri_npa_term_loan_no,agri_npa_term_loan,agri_npa_total_farm_credit_no,agri_npa_total_farm_credit,agri_npa_infrastructure_no,agri_npa_infrastructure,agri_npa_ancillary_no,agri_npa_ancillary,agri_npa_total_no,agri_npa_total
Araria,88,0.69,0,0.00,6,0.50,1007,8.07,6356,35.94,7457,45.21
Arwal,0,0.00,0,0.00,1,0.00,176,2.48,1277,11.34,1454,13.83
Aurangabad,87,0.22,0,0.00,12,2.10,461,8.41,3313,27.15,3873,37.88
Banka,135,1.31,0,0.00,3,0.68,349,2.97,2871,13.43,3358,18.40
Begusarai,132,2.18,0,0.00,14,2.61,831,9.10,8835,49.92,9812,63.81
Bhagalpur,726,10.17,1,0.05,24,3.52,1051,10.94,6336,49.55,8138,74.23
Bhojpur,34,2.39,1,0.01,24,2.15,715,7.75,8868,40.41,9642,52.71
Buxar,55,0.78,2,0.15,12,0.92,471,5.23,2336,19.90,2876,26.98
Darbhanga,78,1.78,1,0.01,19,2.22,829,10.84,11626,47.53,12553,62.38
Gaya,131,0.46,2,0.15,53,6.08,1601,20.74,11268,88.86,13055,116.30
Gopalganj,157,1.37,0,0.00,23,1.47,883,8.29,3876,25.37,4939,36.50
Jamui,14,0.34,0,0.00,31,1.12,586,5.92,3591,21.73,4222,29.12
Jehanabad,1,0.27,0,0.00,18,4.97,279,3.28,2046,13.47,2344,22.00
Kaimur (Bhabua),25,0.13,0,0.00,5,0.72,289,4.14,1964,13.96,2283,18.95
Katihar,67,1.07,0,0.00,12,1.30,1039,10.99,4487,26.96,5605,40.32
Khagaria,32,0.10,0,0.00,10,1.02,505,6.42,3842,21.46,4389,29.00
Kishanganj,26,0.29,0,0.00,9,0.68,570,4.07,2363,13.69,2968,18.72
Lakhisarai,1,0.00,0,0.00,2,0.11,390,2.82,1699,11.48,2092,14.41
Madhepura,74,0.27,0,0.00,3,0.26,453,3.61,3748,19.73,4278,23.87
Madhubani,45,0.37,0,0.00,10,1.40,884,8.84,7009,35.02,7948,45.64
Munger,31,0.48,0,0.00,177,5.37,586,10.37,2939,24.25,3733,40.46
Muzaffarpur,123,1.47,6,0.95,91,13.13,2955,33.04,19793,107.92,22968,156.50
Nalanda,60,0.74,0,0.00,16,1.93,784,9.68,5733,31.02,6593,43.36
Nawada,40,0.62,0,0.00,12,1.55,317,4.66,3746,23.45,4115,30.28
Pashchim Champaran,104,0.77,1,0.02,7,0.52,1033,10.03,5534,40.49,6679,51.82
Patna,394,9.16,8,0.74,336,60.75,7853,108.84,48103,559.20,56694,738.68
Purbi Champaran,145,1.39,0,0.00,19,2.61,1489,14.68,11300,65.07,12953,83.75
Purnia,165,1.83,1,0.10,30,2.42,919,9.64,9719,51.23,10834,65.22
Rohtas,387,5.24,2,0.05,21,2.37,662,8.17,4850,37.21,5922,53.03
Saharsa,30,0.22,0,0.00,7,1.04,489,5.91,3219,17.56,3745,24.73
Samastipur,179,3.72,2,0.02,21,1.53,1220,14.96,15023,68.08,16445,88.30
Saran,49,0.52,0,0.00,15,1.47,932,10.48,8310,43.49,9306,55.95
Sheikhpura,16,0.49,0,0.00,2,0.11,150,1.46,910,6.99,1078,9.06
Sheohar,3,0.07,0,0.00,2,0.06,404,2.94,803,6.28,1212,9.34
Sitamarhi,47,0.67,0,0.00,6,0.51,1001,8.68,5951,30.77,7005,40.65
Siwan,116,0.33,1,0.12,12,1.26,715,7.22,6573,38.19,7417,47.12
Supaul,8,0.21,0,0.00,1,0.73,832,4.83,3823,17.22,4664,23.00
Vaishali,166,1.86,1,0.30,27,7.25,1783,16.00,7572,57.44,9549,82.85
