district,shishu_account,amount,kishor_account,amount,tarun_account,amount,tarun_plus_account,amount,total_account,amount
Araria,13158,417.23,24581,417.23,1082,417.23,95,417.23,38916,417.23
Arwal,2098,58.23,3321,58.23,243,58.23,6,58.23,5668,58.23
Aurangabad,7992,273.86,14120,273.86,912,273.86,70,273.86,23094,273.86
Banka,6458,186.77,10919,186.77,499,186.77,25,186.77,17901,186.77
Begusarai,17686,542.71,34653,542.71,1487,542.71,94,542.71,53920,542.71
Bhagalpur,17771,561.82,33108,561.82,1530,561.82,77,561.82,52486,561.82
Bhojpur,8483,282.28,15324,282.28,1036,282.28,63,282.28,24906,282.28
Buxar,6841,215.61,11964,215.61,780,215.61,43,215.61,19628,215.61
Darbhanga,15698,570.14,36543,570.14,1604,570.14,147,570.14,53992,570.14
Gaya,43598,644.80,39171,644.80,1855,644.80,108,644.80,84732,644.80
Gopalganj,8467,317.76,17943,317.76,1017,317.76,127,317.76,27554,317.76
Jamui,7291,195.54,12019,195.54,577,195.54,14,195.54,19901,195.54
Jehanabad,3308,135.18,7508,135.18,439,135.18,10,135.18,11265,135.18
Kaimur (Bhabua),5861,151.47,8660,151.47,599,151.47,27,151.47,15147,151.47
Katihar,16438,539.16,30340,539.16,1498,539.16,176,539.16,48452,539.16
Khagaria,8363,232.83,12491,232.83,713,232.83,70,232.83,21637,232.83
Kishanganj,12653,372.17,24007,372.17,505,372.17,55,372.17,37220,372.17
Lakhisarai,2682,113.63,7083,113.63,345,113.63,16,113.63,10126,113.63
Madhepura,4524,217.55,11050,217.55,640,217.55,72,217.55,16286,217.55
Madhubani,14023,409.40,19389,409.40,1704,409.40,149,409.40,35265,409.40
Munger,6288,173.69,8916,173.69,610,173.69,38,173.69,15852,173.69
Muzaffarpur,29936,1013.49,60964,1013.49,2872,1013.49,395,1013.49,94167,1013.49
Nalanda,8901,328.22,17768,328.22,1292,328.22,93,328.22,28054,328.22
Nawada,8536,273.58,15444,273.58,606,273.58,105,273.58,24691,273.58
Pashchim Champaran,13905,466.82,24188,466.82,1472,466.82,233,466.82,39798,466.82
Patna,77965,2303.29,149145,2303.29,6260,2303.29,719,2303.29,234089,2303.29
Purbi Champaran,14896,650.93,34691,650.93,2069,650.93,394,650.93,52050,650.93
Purnia,11260,586.95,29345,586.95,1655,586.95,238,586.95,42498,586.95
Rohtas,12818,335.85,16724,335.85,1307,335.85,81,335.85,30930,335.85
Saharsa,5681,215.90,11539,215.90,621,215.90,82,215.90,17923,215.90
Samastipur,23686,706.52,38831,706.52,2185,706.52,177,706.52,64879,706.52
Saran,21711,665.72,43144,665.72,1914,665.72,225,665.72,66994,665.72
Sheikhpura,1650,70.65,3348,70.65,369,70.65,4,70.65,5371,70.65
Sheohar,1220,52.11,2373,52.11,294,52.11,13,52.11,3900,52.11
Sitamarhi,9451,349.10,14550,349.10,1271,349.10,174,349.10,25446,349.10
Siwan,14600,506.14,30820,506.14,1312,506.14,143,506.14,46875,506.14
Supaul,3903,215.30,8752,215.30,847,215.30,111,215.30,13613,215.30
Vaishali,22275,637.44,32633,637.44,1943,637.44,244,637.44,57095,637.44
