district,target,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,sanction_no,margin_money_claimed_no_of_prj,mm_in_lakh,disbursement_made_no_of_prj,mm_in_lakh,disbursement_no,no_of_application_rejected_by_bank_no_of_prj,mm_involve_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh
Araria,2,0,0,0,0,0.00,1,0,0,0,0.00,0,0,0,0
Arwal,2,1,11.49,0,11.49,0.00,0,0,0,0,0.00,0,11.49,1,11.49
Aurangabad,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Banka,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Begusarai,2,2,4.5,0,4.5,0.00,0,0,0,0,0.00,0,4.5,2,4.5
Bhagalpur,3,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Bhojpur,2,2,3.76,0,3.76,0.00,0,0,0,0,0.00,0,3.76,2,3.76
Buxar,2,1,15,0,15,0.00,2,0,0,0,0.00,0,15,1,15
Darbhanga,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Gaya,3,2,11,0,11,0.00,0,0,0,0,0.00,0,11,2,11
Gopalganj,2,0,0,1,0,50.00,1,0,0,0,0.00,0,0,0,0
Jamui,2,0,0,0,0,0.00,1,1.65,1,1.65,50.00,0,0,0,0
Jehanabad,2,0,0,0,0,0.00,0,7.5,1,7.5,50.00,0,0,0,0
Kaimur (Bhabua),2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Katihar,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Khagaria,2,0,0,0,0,0.00,1,0,0,0,0.00,0,0,0,0
Kishanganj,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Lakhisarai,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Madhepura,2,2,3.55,1,3.55,50.00,0,0,0,0,0.00,0,3.55,1,3.55
Madhubani,2,1,10.5,0,10.5,0.00,0,0,0,0,0.00,0,10.5,1,10.5
Munger,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Muzaffarpur,4,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Nalanda,2,0,0,0,0,0.00,2,0,0,0,0.00,0,0,0,0
Nawada,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Pashchim Champaran,3,8,18,3,18,100.00,1,0,0,0,0.00,1,18,5,18
Patna,3,0,0,0,0,0.00,1,1.17,1,1.17,33.33,0,0,0,0
Purbi Champaran,2,5,19.95,0,19.95,0.00,2,0.75,1,0.75,50.00,1,19.95,4,19.95
Purnia,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Rohtas,2,1,7.5,0,7.5,0.00,0,0,0,0,0.00,0,7.5,1,7.5
Saharsa,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Samastipur,3,2,12.48,0,12.48,0.00,0,0,0,0,0.00,1,12.48,1,12.48
Saran,2,2,9,0,9,0.00,3,0,0,0,0.00,0,9,2,9
Sheikhpura,2,0,0,0,0,0.00,1,0,0,0,0.00,0,0,0,0
Sheohar,2,1,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Sitamarhi,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Siwan,2,1,1.5,0,1.5,0.00,1,0,0,0,0.00,0,1.5,1,1.5
Supaul,2,1,1.5,0,1.5,0.00,0,0,0,0,0.00,0,1.5,1,1.5
Vaishali,2,3,8.5,0,8.5,0.00,0,0,0,0,0.00,0,8.5,3,8.5
