District,Rural,Semi-Urban,Urban,Total
Araria,86,85,2,173
Arwal,42,25,1,68
Aurangabad,123,53,36,212
Banka,86,51,1,138
Begusarai,86,102,50,238
Bhagalpur,101,101,95,297
Bhojpur,124,66,60,250
Buxar,86,42,32,160
Darbhanga,119,67,75,261
Gaya,189,52,100,341
Gopalganj,129,73,0,202
Jamui,75,55,1,131
Jehanabad,59,10,30,99
Kaimur (Bhabua),90,41,1,132
Katihar,107,41,48,196
Khagaria,39,80,3,122
Kishanganj,64,20,30,114
Lakhisarai,44,47,1,92
Madhepura,39,85,1,125
Madhubani,125,162,4,291
Munger,62,34,53,149
Muzaffarpur,204,80,135,419
Nalanda,145,68,50,263
Nawada,75,86,0,161
Pashchim Champaran,106,81,51,238
Patna,205,210,607,1022
Purbi Champaran,108,156,53,317
Purnia,98,67,81,246
Rohtas,134,62,59,255
Saharsa,47,26,32,105
Samastipur,170,139,2,311
Saran,169,62,50,281
Sheikhpura,31,34,1,66
Sheohar,20,26,0,46
Sitamarhi,56,118,4,178
Siwan,146,66,56,268
Supaul,49,80,0,129
Vaishali,144,76,49,269
