district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,4680,8.01,1131,8.01,24.17,8.01
Arwal,1480,1.68,93,1.68,6.28,1.68
Aurangabad,5040,1.61,261,1.61,5.18,1.61
Banka,4000,14.20,1933,14.20,48.33,14.20
Begusarai,8280,9.83,2919,9.83,35.25,9.83
Bhagalpur,7760,8.44,2331,8.44,30.04,8.44
Bhojpur,6400,3.28,641,3.28,10.02,3.28
Buxar,3560,0.65,92,0.65,2.58,0.65
Darbhanga,7000,8.36,1819,8.36,25.99,8.36
Gaya,9480,5.73,700,5.73,7.38,5.73
Gopalganj,5840,6.73,1107,6.73,18.96,6.73
Jamui,3280,6.09,498,6.09,15.18,6.09
Jehanabad,2320,2.84,159,2.84,6.85,2.84
Kaimur (Bhabua),3120,2.14,171,2.14,5.48,2.14
Katihar,5720,7.26,1421,7.26,24.84,7.26
Khagaria,3080,36.58,4033,36.58,130.94,36.58
Kishanganj,3160,3.00,484,3.00,15.32,3.00
Lakhisarai,2520,10.33,904,10.33,35.87,10.33
Madhepura,3080,7.49,783,7.49,25.42,7.49
Madhubani,6920,5.24,1348,5.24,19.48,5.24
Munger,3480,8.94,1267,8.94,36.41,8.94
Muzaffarpur,14000,11.86,5703,11.86,40.74,11.86
Nalanda,6320,9.40,2261,9.40,35.78,9.40
Nawada,4440,0.67,109,0.67,2.45,0.67
Pashchim Champaran,6160,9.46,2185,9.46,35.47,9.46
Patna,40640,5.95,7588,5.95,18.67,5.95
Purbi Champaran,8800,7.52,2225,7.52,25.28,7.52
Purnia,6600,5.17,1282,5.17,19.42,5.17
Rohtas,6600,2.51,559,2.51,8.47,2.51
Saharsa,2360,13.92,1198,13.92,50.76,13.92
Samastipur,8360,19.03,5195,19.03,62.14,19.03
Saran,7960,5.04,1597,5.04,20.06,5.04
Sheikhpura,1600,9.45,712,9.45,44.50,9.45
Sheohar,1080,37.33,1379,37.33,127.69,37.33
Sitamarhi,4240,14.05,2066,14.05,48.73,14.05
Siwan,9400,4.08,1264,4.08,13.45,4.08
Supaul,3160,4.58,422,4.58,13.35,4.58
Vaishali,7640,11.27,2189,11.27,28.65,11.27
