district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,74902,21.93,19747,21.93,26.36,21.93
Arwal,28283,5.94,2601,5.94,9.20,5.94
Aurangabad,146198,5.87,12102,5.87,8.28,5.87
Banka,56774,10.21,9054,10.21,15.95,10.21
Begusarai,123252,23.57,41473,23.57,33.65,23.57
Bhagalpur,133897,14.50,25501,14.50,19.05,14.50
Bhojpur,123320,11.27,28720,11.27,23.29,11.27
Buxar,75407,9.21,11674,9.21,15.48,9.21
Darbhanga,120517,17.19,37194,17.19,30.86,17.19
Gaya,155698,24.34,89846,24.34,57.71,24.34
Gopalganj,143173,7.68,17929,7.68,12.52,7.68
Jamui,50801,9.47,7251,9.47,14.27,9.47
Jehanabad,41376,12.26,4818,12.26,11.64,12.26
Kaimur (Bhabua),91448,7.05,8553,7.05,9.35,7.05
Katihar,80156,23.94,27350,23.94,34.12,23.94
Khagaria,63175,15.08,11301,15.08,17.89,15.08
Kishanganj,45262,30.90,21656,30.90,47.85,30.90
Lakhisarai,44471,10.57,5426,10.57,12.20,10.57
Madhepura,51521,15.53,13690,15.53,26.57,15.53
Madhubani,102600,11.11,17555,11.11,17.11,11.11
Munger,53535,7.96,5607,7.96,10.47,7.96
Muzaffarpur,204546,19.21,66342,19.21,32.43,19.21
Nalanda,114976,9.99,12970,9.99,11.28,9.99
Nawada,63391,11.04,9165,11.04,14.46,11.04
Pashchim Champaran,96775,17.00,22568,17.00,23.32,17.00
Patna,247281,42.33,211802,42.33,85.65,42.33
Purbi Champaran,145767,13.20,31628,13.20,21.70,13.20
Purnia,80516,20.51,19242,20.51,23.90,20.51
Rohtas,106271,8.73,13070,8.73,12.30,8.73
Saharsa,59074,12.15,10068,12.15,17.04,12.15
Samastipur,135408,17.10,34224,17.10,25.27,17.10
Saran,126920,15.59,36048,15.59,28.40,15.59
Sheikhpura,24399,14.55,3598,14.55,14.75,14.55
Sheohar,19504,17.63,5535,17.63,28.38,17.63
Sitamarhi,70728,15.89,16508,15.89,23.34,15.89
Siwan,125908,23.83,71725,23.83,56.97,23.83
Supaul,59146,8.89,7660,8.89,12.95,8.89
Vaishali,151812,34.11,134542,34.11,88.62,34.11
