district,agriculture_target,achie,ach,msme_target,achie,ach,o_p_s_target,achie,ach,tps_target,achie,ach,n_p_s_target,achie,ach,grand_total_target,achie,ach
Araria,2249,2947.39,48.91,2122,2947.39,48.91,227,2947.39,48.91,4598,2947.39,48.91,1428,2947.39,48.91,6026,2947.39,48.91
Arwal,810,743.77,34.02,860,743.77,34.02,60,743.77,34.02,1730,743.77,34.02,456,743.77,34.02,2186,743.77,34.02
Aurangabad,4516,2719.91,32.79,2071,2719.91,32.79,215,2719.91,32.79,6802,2719.91,32.79,1493,2719.91,32.79,8295,2719.91,32.79
Banka,1743,1132.23,24.78,1569,1132.23,24.78,216,1132.23,24.78,3528,1132.23,24.78,1042,1132.23,24.78,4570,1132.23,24.78
Begusarai,3572,4747.65,48.47,4071,4747.65,48.47,302,4747.65,48.47,7945,4747.65,48.47,1850,4747.65,48.47,9795,4747.65,48.47
Bhagalpur,4065,4505.21,37.58,5004,4505.21,37.58,405,4505.21,37.58,9474,4505.21,37.58,2514,4505.21,37.58,11988,4505.21,37.58
Bhojpur,3815,2845.39,29.85,3848,2845.39,29.85,233,2845.39,29.85,7896,2845.39,29.85,1637,2845.39,29.85,9533,2845.39,29.85
Buxar,2275,1590.52,27.43,2270,1590.52,27.43,157,1590.52,27.43,4702,1590.52,27.43,1096,1590.52,27.43,5798,1590.52,27.43
Darbhanga,3692,3876.42,40.77,3640,3876.42,40.77,242,3876.42,40.77,7574,3876.42,40.77,1933,3876.42,40.77,9507,3876.42,40.77
Gaya,4602,6262.14,47.33,5529,6262.14,47.33,343,6262.14,47.33,10474,6262.14,47.33,2758,6262.14,47.33,13232,6262.14,47.33
Gopalganj,4406,2101.29,27.10,1794,2101.29,27.10,219,2101.29,27.10,6419,2101.29,27.10,1334,2101.29,27.10,7753,2101.29,27.10
Jamui,1525,1142.78,30.56,1276,1142.78,30.56,146,1142.78,30.56,2947,1142.78,30.56,793,1142.78,30.56,3740,1142.78,30.56
Jehanabad,1228,1057.22,28.98,1546,1057.22,28.98,77,1057.22,28.98,2851,1057.22,28.98,797,1057.22,28.98,3648,1057.22,28.98
Kaimur (Bhabua),2780,1597.18,28.14,1781,1597.18,28.14,135,1597.18,28.14,4696,1597.18,28.14,979,1597.18,28.14,5675,1597.18,28.14
Katihar,2382,3369.74,45.88,3048,3369.74,45.88,241,3369.74,45.88,5671,3369.74,45.88,1673,3369.74,45.88,7344,3369.74,45.88
Khagaria,1914,1381.60,33.08,1349,1381.60,33.08,139,1381.60,33.08,3402,1381.60,33.08,774,1381.60,33.08,4176,1381.60,33.08
Kishanganj,1329,1592.86,40.25,1568,1592.86,40.25,156,1592.86,40.25,3053,1592.86,40.25,904,1592.86,40.25,3957,1592.86,40.25
Lakhisarai,1334,786.91,24.70,1137,786.91,24.70,108,786.91,24.70,2579,786.91,24.70,607,786.91,24.70,3186,786.91,24.70
Madhepura,1538,1419.02,34.28,1348,1419.02,34.28,122,1419.02,34.28,3008,1419.02,34.28,1131,1419.02,34.28,4139,1419.02,34.28
Madhubani,3109,2782.04,31.99,3425,2782.04,31.99,260,2782.04,31.99,6794,2782.04,31.99,1902,2782.04,31.99,8696,2782.04,31.99
Munger,1613,1241.25,26.61,1805,1241.25,26.61,167,1241.25,26.61,3585,1241.25,26.61,1080,1241.25,26.61,4665,1241.25,26.61
Muzaffarpur,6045,8104.26,44.72,6029,8104.26,44.72,436,8104.26,44.72,12510,8104.26,44.72,5611,8104.26,44.72,18121,8104.26,44.72
Nalanda,3247,3105.99,38.14,3004,3105.99,38.14,233,3105.99,38.14,6484,3105.99,38.14,1660,3105.99,38.14,8144,3105.99,38.14
Nawada,1857,1726.71,37.57,1576,1726.71,37.57,169,1726.71,37.57,3602,1726.71,37.57,994,1726.71,37.57,4596,1726.71,37.57
Pashchim Champaran,2940,3119.69,37.98,3248,3119.69,37.98,250,3119.69,37.98,6438,3119.69,37.98,1776,3119.69,37.98,8214,3119.69,37.98
Patna,7415,42600.21,61.73,21429,42600.21,61.73,1092,42600.21,61.73,29936,42600.21,61.73,39077,42600.21,61.73,69013,42600.21,61.73
Purbi Champaran,4443,5001.75,43.06,4262,5001.75,43.06,351,5001.75,43.06,9056,5001.75,43.06,2559,5001.75,43.06,11615,5001.75,43.06
Purnia,2436,5133.12,57.35,4105,5133.12,57.35,286,5133.12,57.35,6827,5133.12,57.35,2123,5133.12,57.35,8950,5133.12,57.35
Rohtas,3229,3485.12,41.28,3215,3485.12,41.28,266,3485.12,41.28,6710,3485.12,41.28,1733,3485.12,41.28,8443,3485.12,41.28
Saharsa,1789,1639.15,39.09,1357,1639.15,39.09,102,1639.15,39.09,3248,1639.15,39.09,945,1639.15,39.09,4193,1639.15,39.09
Samastipur,4192,4303.44,39.84,4101,4303.44,39.84,325,4303.44,39.84,8618,4303.44,39.84,2183,4303.44,39.84,10801,4303.44,39.84
Saran,3795,3087.36,29.83,4124,3087.36,29.83,329,3087.36,29.83,8248,3087.36,29.83,2103,3087.36,29.83,10351,3087.36,29.83
Sheikhpura,729,568.57,27.41,835,568.57,27.41,70,568.57,27.41,1634,568.57,27.41,440,568.57,27.41,2074,568.57,27.41
Sheohar,582,371.76,24.11,587,371.76,24.11,39,371.76,24.11,1208,371.76,24.11,334,371.76,24.11,1542,371.76,24.11
Sitamarhi,2158,2220.40,37.74,2268,2220.40,37.74,162,2220.40,37.74,4588,2220.40,37.74,1296,2220.40,37.74,5884,2220.40,37.74
