district,social_pmjjby_enrolment,social_pmjjby_total_enrolment,social_pmjjby_eligible,social_pmjjby_renewals,social_pmsby_enrolment,social_pmsby_total_enrolment,social_pmsby_eligible,social_pmsby_renewals,social_apy_enrolment,social_apy_total_enrolment
Araria,33093,205620,1676849,129852,64581,735734,2374621,632747,11244,180572
Arwal,11116,99299,523333,67688,18432,259629,738988,209612,2584,51097
Aurangabad,35555,329481,1673044,245745,69355,935667,2389123,748501,15433,207705
Banka,35348,213302,1334431,143617,57620,553508,1864634,490740,12822,141737
Begusarai,41106,355336,2004461,237249,69299,797621,2733791,721005,13562,207127
Bhagalpur,41549,310431,2259789,209075,72922,806922,3037111,722094,13544,180062
Bhojpur,28668,276311,1616425,211223,61838,991118,2423173,820258,14022,200895
Buxar,21267,191579,1069102,139047,45587,624174,1578253,506004,9503,125394
Darbhanga,32233,342483,2713132,222958,66963,882099,3664041,756573,13061,194694
Gaya,62243,545069,3103617,409209,135229,1597742,4138041,1359024,33170,383653
Gopalganj,23358,256176,2213189,191302,53765,744850,2982946,668396,14939,183669
Jamui,31419,255183,1047018,184243,41563,594824,1502491,583705,9478,116260
Jehanabad,10305,104179,707875,76445,22416,375249,1021425,298176,4588,76116
Kaimur (Bhabua),17319,166506,1009029,117399,39711,538940,1441063,450504,8086,101920
Katihar,34851,255281,2323648,181545,71864,744227,3040355,649153,12771,152454
Khagaria,19048,180939,1074248,127155,32957,467556,1542581,434831,8486,104851
Kishanganj,19545,125046,1155660,79788,41449,460227,1647779,395761,6354,91285
Lakhisarai,11259,107297,605220,80665,22222,270750,821018,273117,5841,57180
Madhepura,22622,181109,1289315,132874,38141,551710,1797117,492196,10981,142732
Madhubani,32543,362154,3071769,242859,76497,1083069,4107883,928087,17678,228303
Munger,16037,158641,948027,122577,29923,399236,1312245,394224,9570,90638
Muzaffarpur,45539,517790,4021362,321393,93742,1353575,5260522,1143155,16794,341316
Nalanda,33769,301521,1657442,229853,66624,1111139,2599117,889156,15991,224312
Nawada,27900,253042,1322813,179751,58436,821812,1915740,676850,17470,179347
Pashchim Champaran,40680,359929,2753861,238022,93611,1103845,3722687,940909,19905,226863
Patna,66430,602281,6834880,481295,144389,1781882,9411830,1642524,27818,371761
Purbi Champaran,48287,438172,3382230,306001,98365,1204939,4709305,1053376,18210,207339
Purnia,34897,267205,2198129,196786,69262,963452,3080734,868297,13890,252950
Rohtas,28049,249561,1841171,190529,54713,865612,2736059,670143,9625,157378
Saharsa,21985,181172,1314108,122082,35504,511044,1751379,442602,8066,115495
Samastipur,50223,457498,2921190,339615,93357,1215972,4083921,1188044,18535,260389
Saran,38094,374568,3161480,271742,80006,1114246,4374650,987811,19989,251389
Sheikhpura,8053,78387,431604,62857,16382,201838,589530,239147,3751,43861
Sheohar,8265,58077,373012,31542,12103,146159,502527,121468,1686,27972
Sitamarhi,26464,312677,2225589,185526,59928,854507,3009444,734707,9447,147906
Siwan,33015,314380,3331280,225561,73367,996295,4325133,871444,17328,229379
Supaul,22999,216647,1647465,149492,44472,654856,2219141,575074,11825,140543
Vaishali,35700,341846,3562555,236054,76579,953290,4601618,864379,16085,210853
