district,agri_crop_loan_no,agri_crop_loan,agri_term_loan_no,agri_term_loan,agri_total_farm_credit_no,agri_total_farm_credit,agri_infrastructure_no,agri_infrastructure,agri_ancillary_no,agri_ancillary,agri_total_no,agri_total
Araria,383,8.22,30,7.65,1140,201.31,13605,263.50,68175,1364.55,83333,1845.23
Arwal,2,0.04,5,0.95,229,43.63,4096,118.32,14398,273.58,18730,436.52
Aurangabad,214,7.57,42,6.31,1299,226.73,14195,408.57,50424,1098.81,66174,1748.00
Banka,250,9.09,14,2.22,485,91.79,6841,155.81,30016,639.84,37606,898.75
Begusarai,350,28.04,65,16.85,3264,582.88,26279,677.14,113983,2201.95,143941,3506.85
Bhagalpur,888,31.99,152,31.46,5616,1126.43,29439,771.57,111937,2733.54,148032,4694.99
Bhojpur,146,8.27,41,8.52,2715,479.09,17889,505.96,87956,1649.49,108747,2651.33
Buxar,208,4.18,25,4.49,1057,167.96,13041,337.32,44836,885.71,59167,1399.66
Darbhanga,1508,9.14,97,26.13,4302,790.69,26502,793.83,115624,2432.08,148033,4051.87
Gaya,302,8.65,439,55.95,5136,944.22,34926,1113.13,143383,3151.35,184186,5273.30
Gopalganj,972,10.11,31,5.65,965,162.22,18311,430.32,68006,1184.25,88285,1792.54
Jamui,31,4.26,8,2.11,490,99.33,7641,213.27,39194,817.09,47364,1136.06
Jehanabad,13,0.69,11,1.51,917,142.30,9429,225.06,31807,576.88,42177,946.45
Kaimur (Bhabua),87,5.23,13,3.69,601,101.89,7810,217.80,33087,745.28,41598,1073.89
Katihar,210,3.94,60,12.99,2380,381.20,16719,479.60,80753,1574.74,100122,2452.47
Khagaria,133,5.46,25,3.80,521,110.35,10123,230.29,36144,718.37,46946,1068.28
Kishanganj,216,10.64,25,6.43,790,136.22,8911,188.40,42513,889.56,52455,1231.26
Lakhisarai,11,0.45,15,2.35,362,71.14,6379,154.94,24003,514.66,30770,743.53
Madhepura,302,4.72,17,4.14,631,130.39,10156,226.76,42502,970.98,53608,1336.99
Madhubani,195,8.17,55,10.13,1927,313.03,24029,551.85,93779,1774.23,119985,2657.40
Munger,63,2.59,25,5.28,1072,159.02,13744,386.91,50750,1161.89,65654,1715.68
Muzaffarpur,309,21.17,227,51.23,8422,1453.91,58861,1501.82,251299,4884.44,319118,7912.58
Nalanda,152,5.50,51,13.48,2297,464.70,20818,528.71,91106,1573.35,114424,2585.74
Nawada,116,2.11,26,5.55,1264,214.76,12239,310.92,53164,920.24,66809,1453.58
Pashchim Champaran,356,15.86,44,9.88,1808,227.78,25165,579.45,87531,1936.62,114904,2769.59
Patna,900,2843.71,1362,356.66,51033,11731.52,227729,5980.22,744272,34700.34,1025296,55612.46
Purbi Champaran,643,18.53,65,14.56,2352,418.31,29496,827.94,125835,2705.14,158391,3984.48
Purnia,497,24.37,95,21.24,4790,826.85,19730,471.01,113528,2194.31,138640,3537.78
Rohtas,495,9.11,52,8.30,1658,295.05,19110,518.55,73683,1643.89,94998,2474.91
Saharsa,194,4.72,40,9.47,1262,231.88,10065,321.13,37432,990.86,48993,1558.06
Samastipur,415,11.76,72,14.13,2475,471.19,31072,861.93,124712,1983.77,158746,3342.78
Saran,324,5.83,52,9.27,2518,360.32,24468,667.11,110620,2022.35,137982,3064.89
Sheikhpura,28,3.42,5,0.92,289,56.55,5408,110.34,16773,366.52,22503,537.75
Sheohar,22,0.60,7,1.35,170,29.14,6040,109.54,11612,216.47,17851,357.10
Sitamarhi,303,8.35,64,15.28,1619,296.39,19162,444.45,65067,1240.50,86215,2004.98
Siwan,259,5.02,52,10.69,1986,326.46,22033,553.35,99318,1557.28,123648,2452.80
Supaul,333,23.30,21,4.37,644,133.49,9516,245.99,44118,1021.39,54632,1428.54
Vaishali,320,9.49,66,15.75,2903,586.35,35048,789.65,119550,1888.09,157887,3289.33
