District,"MSME Micro Enterprises (Manufacturing +
Service) (including Khadi & Village
Industries) A/c",Amt,"Small Enterprises (Manufacturing +
Service)s A/c",Amt,"Medium Enterprises
(Manufacturing + Service) A/c",Amt,"Other finance to MSMEs (As
indicated in Master Direction on
PSL) A/c",Amt,Total MSMEs (PS) A/c,Amt
Araria,41479,1067.34,527,391.62,31,39.67,11,5.01,42048,1503.65
Arwal,7812,214.73,112,40.09,2,0.01,10,0.22,7936,255.05
Aurangabad,24712,949.16,428,271.75,106,30.04,30,1.2,25276,1252.15
Banka,22506,498.48,221,111.67,5,17.82,28,2.52,22760,630.49
Begusarai,52663,1854.08,1423,842.57,185,365.96,154,3.07,54425,3065.68
Bhagalpur,69585,2182.26,966,691.4,267,198.3,196,4.19,71014,3076.14
Bhojpur,32499,972.11,511,296.57,21,11.42,46,1.85,33077,1281.95
Buxar,22938,648.85,541,148.99,10,2.14,13,0.96,23502,800.95
Darbhanga,50390,1599.99,749,437.13,59,90.39,53,2.62,51251,2130.13
Gaya,64456,2524.87,1183,709.32,106,157.76,134,3.24,65879,3395.2
Gopalganj,23535,872.02,338,229.87,238,76.21,36,0.5,24147,1178.6
Jamui,23317,437.18,170,87.59,15,15.5,35,2.09,23537,542.37
Jehanabad,18325,451.2,209,56.17,40,7.06,10,0.17,18584,514.61
Kaimur (Bhabua),15301,456.79,258,99.32,14,4.19,16,0.61,15589,560.91
Katihar,37533,1169.18,516,417.51,81,105.52,24,7.21,38154,1699.44
Khagaria,21481,479.82,243,163.03,4,1.49,32,0.68,21760,645.02
Kishanganj,25116,556,212,109.39,15,106.43,14,0.43,25357,772.25
Lakhisarai,12770,328.69,163,37.49,3,0.26,23,0.38,12959,366.81
Madhepura,23599,604.47,259,142.06,18,24.28,35,0.59,23911,771.41
Madhubani,36187,1170.04,512,205.04,24,15.1,39,1.01,36762,1391.2
Munger,25370,548.24,444,70.13,38,3.95,62,1.03,25914,623.35
Muzaffarpur,89402,3761.83,1854,1353.93,125,151.85,259,13.77,91640,5281.38
Nalanda,52713,1360.45,824,290.35,72,31.61,149,3.06,53758,1685.48
Nawada,29396,680.01,698,140.9,52,42.84,36,1.68,30182,865.42
Pashchim Champaran,30406,1171.47,654,390.75,27,70.18,103,2.09,31190,1634.5
Patna,163047,10933.55,7576,6784.95,1773,3573.57,1205,80.2,173601,21372.27
Purbi Champaran,53732,1946.28,798,592.06,78,49.49,136,6.93,54744,2594.76
Purnia,63333,2229.76,927,846.65,76,318.01,74,1.8,64410,3396.22
Rohtas,38676,1485.25,656,328.52,60,98.4,49,1,39441,1913.16
Saharsa,24451,659.15,344,249.7,19,19.4,31,4.85,24845,933.1
Samastipur,52536,1800.85,922,481.91,53,29.78,135,2.54,53646,2315.08
Saran,53285,1487.51,599,252.56,41,32.9,99,3.25,54024,1776.22
Sheikhpura,8617,281.42,172,60.54,7,1.64,20,1.14,8816,344.75
Sheohar,5930,175.48,56,18.42,6,2.07,2,0.04,5994,196.02
Sitamarhi,30805,1044.94,374,191.57,34,20.52,213,5.79,31426,1262.81
Siwan,52376,1482.54,489,216.89,64,51.71,39,3.97,52968,1755.11
Supaul,24171,619.04,314,128.29,16,2.54,45,0.79,24546,750.66
Vaishali,49528,1553.14,571,336.52,49,88.28,109,5.02,50257,1982.95
