District,Other Priority Sector Export Credit A/c,Amt,Education (PS) A/c,Amt,Housing (PS) A/c,Amt,Social Infrastructure A/c,Amt,Renewable Energy A/c,Amt,Other Priority A/c,Amt,"Total Other Priority
Sector (OPS) A/c",Amt
Araria,0,0.00,108,1.73,185,10.35,1,0.41,6,0.10,6288,39.05,6588,51.64
Arwal,0,0.00,52,0.71,42,2.54,0,0.00,13,0.19,948,4.71,1055,8.16
Aurangabad,0,0.00,248,3.16,267,19.89,0,0.00,27,0.33,3159,18.01,3701,41.39
Banka,0,0.00,105,1.41,150,7.08,15,0.06,28,0.42,4423,100.53,4721,109.51
Begusarai,0,0.00,332,5.47,610,27.52,5,0.03,102,1.84,5838,96.87,6887,131.73
Bhagalpur,0,0.00,682,10.93,666,44.21,2,0.11,197,3.37,9725,134.12,11272,192.73
Bhojpur,0,0.00,305,4.49,531,35.15,0,0.00,94,1.67,4297,23.24,5227,64.55
Buxar,0,0.00,163,2.62,210,13.39,0,0.00,20,0.34,1753,11.58,2146,27.93
Darbhanga,0,0.00,428,7.36,435,24.44,16,0.66,54,0.83,3062,23.70,3995,57.00
Gaya,0,0.00,991,17.61,655,46.21,1,0.00,203,3.53,5449,34.73,7299,102.07
Gopalganj,0,0.00,145,2.22,302,11.11,1,0.01,20,0.29,1903,15.30,2371,28.93
Jamui,0,0.00,67,0.90,91,7.53,0,0.00,23,0.37,2157,19.14,2338,27.95
Jehanabad,0,0.00,157,1.96,185,17.84,1,0.04,19,0.31,1735,7.91,2097,28.07
Kaimur (Bhabua),0,0.00,89,1.26,170,9.51,0,0.00,29,0.56,2649,14.73,2937,26.07
Katihar,0,0.00,150,2.78,351,29.32,2,0.11,16,0.23,6413,27.14,6932,59.58
Khagaria,0,0.00,87,1.36,64,4.98,4,0.03,24,0.41,33965,15.38,34144,22.16
Kishanganj,0,0.00,69,1.17,127,6.71,0,0.00,13,0.25,3795,28.53,4004,36.66
Lakhisarai,0,0.00,84,1.10,96,8.02,46,0.20,20,0.33,1405,11.37,1651,21.03
Madhepura,0,0.00,64,1.25,91,6.07,1,0.08,37,0.56,1668,11.32,1861,19.29
Madhubani,0,0.00,296,4.51,465,21.36,2,0.20,25,0.42,2619,14.29,3407,40.78
Munger,0,0.00,146,2.32,178,12.01,0,0.00,66,1.08,3660,43.38,4050,58.79
Muzaffarpur,0,0.00,733,12.73,947,52.06,0,0.00,246,4.61,13995,41.45,15921,110.84
Nalanda,0,0.00,257,3.81,325,17.57,0,0.00,169,2.69,4750,198.71,5501,222.79
Nawada,0,0.00,132,2.08,275,15.11,0,0.00,81,1.40,2642,14.28,3130,32.87
Pashchim Champaran,0,0.00,223,3.76,388,16.35,1,0.07,92,1.50,1829,13.68,2533,35.36
Patna,0,0.00,3608,70.65,3817,286.44,731,35.89,1341,23.13,21276,161.00,30773,577.12
Purbi Champaran,0,0.00,393,6.32,470,15.29,81,0.63,117,2.34,4984,28.41,6045,52.98
Purnia,0,0.00,294,4.89,661,42.79,1,0.10,75,1.34,11654,46.55,12685,95.68
Rohtas,0,0.00,298,4.39,349,22.68,1,0.01,59,0.95,3832,22.61,4539,50.64
Saharsa,0,0.00,117,1.98,110,5.70,1,0.10,28,0.48,3396,30.39,3652,38.65
Samastipur,0,0.00,383,5.31,571,27.73,1,0.00,142,2.33,24800,41.04,25897,76.41
Saran,0,0.00,329,4.42,330,20.98,4,0.02,82,1.55,6391,41.94,7136,68.92
Sheikhpura,0,0.00,72,1.11,44,2.83,0,0.00,15,0.28,647,4.69,778,8.90
Sheohar,0,0.00,39,0.60,56,1.55,0,0.00,3,0.06,146,0.69,244,2.89
Sitamarhi,0,0.00,221,3.44,269,12.81,0,0.00,204,3.85,1691,11.06,2385,31.17
Siwan,0,0.00,200,3.02,347,16.06,14,0.06,33,0.51,4685,29.01,5279,48.66
Supaul,0,0.00,67,0.91,117,7.02,1,0.00,35,0.43,864,6.12,1084,14.48
Vaishali,0,0.00,347,5.48,573,27.72,0,0.00,122,2.09,4547,28.62,5589,63.91
