district,target_amt,disbursed_no_of_ac,amt,age_achiv_amt
Araria,23,9,8.48,36.87
Arwal,20,7,0.12,0.60
Aurangabad,24,14,0.48,2.00
Banka,21,15,7.43,35.38
Begusarai,28,79,1.73,6.18
Bhagalpur,31,130,2.31,7.45
Bhojpur,31,35,1.63,5.26
Buxar,24,7,0.10,0.42
Darbhanga,34,35,2.62,7.71
Gaya,41,101,3.02,7.37
Gopalganj,24,14,0.25,1.04
Jamui,19,14,0.21,1.11
Jehanabad,23,6,0.11,0.48
Kaimur (Bhabua),21,9,0.18,0.86
Katihar,29,14,12.18,42.00
Khagaria,21,18,0.29,1.38
Kishanganj,21,13,0.26,1.24
Lakhisarai,19,18,0.29,1.53
Madhepura,20,29,0.50,2.50
Madhubani,27,14,0.42,1.56
Munger,23,46,0.81,3.52
Muzaffarpur,33,177,17.55,53.18
Nalanda,28,86,1.47,5.25
Nawada,25,23,2.95,11.80
Pashchim Champaran,32,77,1.23,3.84
Patna,57,770,31.76,55.72
Purbi Champaran,29,94,8.48,29.24
Purnia,34,46,1.03,3.03
Rohtas,26,23,0.48,1.85
Saharsa,21,21,5.76,27.43
Samastipur,27,95,2.69,9.96
Saran,32,46,4.88,15.25
Sheikhpura,18,3,0.07,0.39
Sheohar,16,2,0.04,0.25
Sitamarhi,22,168,5.24,23.82
Siwan,32,20,3.81,11.91
Supaul,19,27,0.57,3.00
Vaishali,25,60,2.55,10.20
