district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,export_credit_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,social_infrastructure_target,achie,achie,renewable_energy_target,achie,achie,other_target,achie,achie,total_priority_sector_target,achie,achie
Araria,2249,49.76,49.76,2122,49.76,49.76,0,49.76,49.76,17,49.76,49.76,41,49.76,49.76,12,49.76,49.76,12,49.76,49.76,145,49.76,49.76,4598,49.76,49.76
Arwal,810,34.05,34.05,860,34.05,34.05,0,34.05,34.05,14,34.05,34.05,19,34.05,34.05,2,34.05,34.05,8,34.05,34.05,17,34.05,34.05,1730,34.05,34.05
Aurangabad,4516,31.50,31.50,2071,31.50,31.50,0,31.50,31.50,17,31.50,31.50,52,31.50,31.50,15,31.50,31.50,12,31.50,31.50,119,31.50,31.50,6802,31.50,31.50
Banka,1743,24.17,24.17,1569,24.17,24.17,0,24.17,24.17,19,24.17,24.17,48,24.17,24.17,12,24.17,24.17,13,24.17,24.17,124,24.17,24.17,3528,24.17,24.17
Begusarai,3572,45.50,45.50,4071,45.50,45.50,0,45.50,45.50,26,45.50,45.50,84,45.50,45.50,14,45.50,45.50,13,45.50,45.50,165,45.50,45.50,7945,45.50,45.50
Bhagalpur,4065,32.27,32.27,5004,32.27,32.27,0,32.27,32.27,27,32.27,32.27,90,32.27,32.27,12,32.27,32.27,15,32.27,32.27,261,32.27,32.27,9474,32.27,32.27
Bhojpur,3815,24.23,24.23,3848,24.23,24.23,0,24.23,24.23,22,24.23,24.23,69,24.23,24.23,13,24.23,24.23,13,24.23,24.23,116,24.23,24.23,7896,24.23,24.23
Buxar,2275,24.26,24.26,2270,24.26,24.26,0,24.26,24.26,20,24.26,24.26,46,24.26,24.26,12,24.26,24.26,12,24.26,24.26,67,24.26,24.26,4702,24.26,24.26
Darbhanga,3692,36.34,36.34,3640,36.34,36.34,0,36.34,36.34,20,36.34,36.34,79,36.34,36.34,12,36.34,36.34,13,36.34,36.34,118,36.34,36.34,7574,36.34,36.34
Gaya,4602,39.82,39.82,5529,39.82,39.82,0,39.82,39.82,28,39.82,39.82,102,39.82,39.82,13,39.82,39.82,16,39.82,39.82,184,39.82,39.82,10474,39.82,39.82
Gopalganj,4406,23.78,23.78,1794,23.78,23.78,0,23.78,23.78,17,23.78,23.78,51,23.78,23.78,14,23.78,23.78,12,23.78,23.78,125,23.78,23.78,6419,23.78,23.78
Jamui,1525,25.05,25.05,1276,25.05,25.05,0,25.05,25.05,17,25.05,25.05,36,25.05,25.05,12,25.05,25.05,12,25.05,25.05,69,25.05,25.05,2947,25.05,25.05
Jehanabad,1228,25.42,25.42,1546,25.42,25.42,0,25.42,25.42,16,25.42,25.42,25,25.42,25.42,12,25.42,25.42,13,25.42,25.42,11,25.42,25.42,2851,25.42,25.42
Kaimur (Bhabua),2780,26.23,26.23,1781,26.23,26.23,0,26.23,26.23,16,26.23,26.23,38,26.23,26.23,12,26.23,26.23,12,26.23,26.23,57,26.23,26.23,4696,26.23,26.23
Katihar,2382,46.04,46.04,3048,46.04,46.04,0,46.04,46.04,20,46.04,46.04,60,46.04,46.04,12,46.04,46.04,12,46.04,46.04,137,46.04,46.04,5671,46.04,46.04
Khagaria,1914,30.40,30.40,1349,30.40,30.40,0,30.40,30.40,15,30.40,30.40,31,30.40,30.40,12,30.40,30.40,12,30.40,30.40,69,30.40,30.40,3402,30.40,30.40
Kishanganj,1329,38.39,38.39,1568,38.39,38.39,0,38.39,38.39,15,38.39,38.39,35,38.39,38.39,12,38.39,38.39,12,38.39,38.39,82,38.39,38.39,3053,38.39,38.39
Lakhisarai,1334,20.96,20.96,1137,20.96,20.96,0,20.96,20.96,16,20.96,20.96,29,20.96,20.96,12,20.96,20.96,13,20.96,20.96,38,20.96,20.96,2579,20.96,20.96
Madhepura,1538,34.16,34.16,1348,34.16,34.16,0,34.16,34.16,15,34.16,34.16,36,34.16,34.16,12,34.16,34.16,12,34.16,34.16,47,34.16,34.16,3008,34.16,34.16
Madhubani,3109,29.85,29.85,3425,29.85,29.85,0,29.85,29.85,18,29.85,29.85,81,29.85,29.85,13,29.85,29.85,12,29.85,29.85,136,29.85,29.85,6794,29.85,29.85
Munger,1613,19.62,19.62,1805,19.62,19.62,0,19.62,19.62,16,19.62,19.62,45,19.62,19.62,12,19.62,19.62,12,19.62,19.62,82,19.62,19.62,3585,19.62,19.62
Muzaffarpur,6045,43.54,43.54,6029,43.54,43.54,0,43.54,43.54,38,43.54,43.54,127,43.54,43.54,14,43.54,43.54,18,43.54,43.54,239,43.54,43.54,12510,43.54,43.54
Nalanda,3247,35.04,35.04,3004,35.04,35.04,0,35.04,35.04,22,35.04,35.04,70,35.04,35.04,13,35.04,35.04,12,35.04,35.04,116,35.04,35.04,6484,35.04,35.04
Nawada,1857,35.08,35.08,1576,35.08,35.08,0,35.08,35.08,18,35.08,35.08,45,35.08,35.08,13,35.08,35.08,14,35.08,35.08,79,35.08,35.08,3602,35.08,35.08
Pashchim Champaran,2940,34.89,34.89,3248,34.89,34.89,0,34.89,34.89,19,34.89,34.89,62,34.89,34.89,13,34.89,34.89,15,34.89,34.89,141,34.89,34.89,6438,34.89,34.89
Patna,7415,74.41,74.41,21429,74.41,74.41,0,74.41,74.41,148,74.41,74.41,410,74.41,74.41,45,74.41,74.41,48,74.41,74.41,441,74.41,74.41,29936,74.41,74.41
Purbi Champaran,4443,39.48,39.48,4262,39.48,39.48,0,39.48,39.48,24,39.48,39.48,84,39.48,39.48,13,39.48,39.48,14,39.48,39.48,216,39.48,39.48,9056,39.48,39.48
Purnia,2436,59.77,59.77,4105,59.77,59.77,0,59.77,59.77,22,59.77,59.77,70,59.77,59.77,11,59.77,59.77,12,59.77,59.77,171,59.77,59.77,6827,59.77,59.77
Rohtas,3229,39.94,39.94,3215,39.94,39.94,0,39.94,39.94,19,39.94,39.94,67,39.94,39.94,13,39.94,39.94,13,39.94,39.94,154,39.94,39.94,6710,39.94,39.94
Saharsa,1789,35.97,35.97,1357,35.97,35.97,0,35.97,35.97,16,35.97,35.97,31,35.97,35.97,11,35.97,35.97,12,35.97,35.97,32,35.97,35.97,3248,35.97,35.97
Samastipur,4192,38.40,38.40,4101,38.40,38.40,0,38.40,38.40,19,38.40,38.40,83,38.40,38.40,12,38.40,38.40,13,38.40,38.40,198,38.40,38.40,8618,38.40,38.40
Saran,3795,25.20,25.20,4124,25.20,25.20,0,25.20,25.20,19,25.20,25.20,71,25.20,25.20,12,25.20,25.20,12,25.20,25.20,215,25.20,25.20,8248,25.20,25.20
