district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,59123,62.71,19857,62.71,33.59,62.71
Arwal,20160,113.12,14845,113.12,73.64,113.12
Aurangabad,118379,30.71,37325,30.71,31.53,30.71
Banka,46232,36.94,17505,36.94,37.86,36.94
Begusarai,88159,42.53,42229,42.53,47.90,42.53
Bhagalpur,106013,22.16,24228,22.16,22.85,22.16
Bhojpur,101642,29.04,36864,29.04,36.27,29.04
Buxar,59419,32.03,19649,32.03,33.07,32.03
Darbhanga,97125,25.37,21223,25.37,21.85,25.37
Gaya,119124,39.65,48913,39.65,41.06,39.65
Gopalganj,116011,23.79,24683,23.79,21.28,23.79
Jamui,39638,34.70,26629,34.70,67.18,34.70
Jehanabad,30974,57.60,14914,57.60,48.15,57.60
Kaimur (Bhabua),72529,46.65,22978,46.65,31.68,46.65
Katihar,62160,61.33,29756,61.33,47.87,61.33
Khagaria,49937,28.49,25056,28.49,50.18,28.49
Kishanganj,34381,45.74,12605,45.74,36.66,45.74
Lakhisarai,34750,27.74,14732,27.74,42.39,27.74
Madhepura,40009,43.92,13863,43.92,34.65,43.92
Madhubani,82308,36.96,23193,36.96,28.18,36.96
Munger,42454,19.98,12568,19.98,29.60,19.98
Muzaffarpur,159051,27.84,37704,27.84,23.71,27.84
Nalanda,76903,36.61,47361,36.61,61.59,36.61
Nawada,47494,39.05,40379,39.05,85.02,39.05
Pashchim Champaran,77343,43.07,33379,43.07,43.16,43.07
Patna,195795,76.18,34230,76.18,17.48,76.18
Purbi Champaran,116902,40.59,50184,40.59,42.93,40.59
Purnia,64307,50.95,27306,50.95,42.46,50.95
Rohtas,85195,45.69,34282,45.69,40.24,45.69
Saharsa,46010,31.37,10119,31.37,21.99,31.37
Samastipur,112677,47.11,63595,47.11,56.44,47.11
Saran,98382,28.00,20935,28.00,21.28,28.00
Sheikhpura,18972,39.91,9854,39.91,51.94,39.91
Sheohar,14900,44.62,5009,44.62,33.62,44.62
Sitamarhi,56531,45.76,20271,45.76,35.86,45.76
Siwan,95567,31.36,20395,31.36,21.34,31.36
Supaul,43863,46.07,16463,46.07,37.53,46.07
Vaishali,268901,13.17,29580,13.17,11.00,13.17
