District,Application Sourced No.,Amount,Sanctioned No.,Amount,Disbursed No.,Amount,Rejected No.,Amount,Pending No.,Amount
Araria,47,97.1,6,11.66,5,7.09,33,65.79,8,16.76
Arwal,56,117.91,15,27.2,10,13.71,30,61.56,11,25.49
Aurangabad,68,162.88,20,39.25,19,29.39,45,111.2,3,5.6
Banka,112,246.46,31,61.12,20,32.5,64,141.48,17,34.43
Begusarai,240,549.05,90,182.15,83,140.68,114,259.19,34,81.57
Bhagalpur,526,1146.07,232,465.81,193,293.82,234,490.32,59,128.4
Bhojpur,265,622.19,98,194.69,84,141.04,120,286.13,46,112.63
Buxar,96,208.14,17,30.06,13,17.8,53,119.13,25,51.59
Darbhanga,206,417.49,61,117.81,55,82.38,121,245.14,24,47.84
Gaya,606,1449.17,235,493.76,200,320.82,325,764.84,44,106.08
Gopalganj,125,267.14,25,46.07,19,27.11,76,163.45,24,54.04
Jamui,95,193.49,30,56.38,20,32,59,116.59,6,11.9
Jehanabad,59,121.96,20,37.25,17,25.07,31,63.8,8,18.71
Kaimur (Bhabua),BHABUA,92,224.11,30,63.88,26,46.92,49,122.14,13
Katihar,91,203.78,20,38.23,11,15.88,63,134.51,8,27.2
Khagaria,160,344.13,43,87.31,36,54.59,103,211.72,13,25
Kishanganj,58,138.71,13,31.44,9,17.1,41,94.36,4,8
Lakhisarai,69,142.84,16,30.81,15,21.7,34,68.85,18,39.4
Madhepura,94,211.84,36,67.73,34,50.97,50,116.98,8,17.07
Madhubani,98,202.96,25,48.56,20,32.25,61,118.97,11,28.51
Munger,173,383.22,80,150.73,67,102.74,74,171.58,19,40.34
Muzaffarpur,842,1864.32,304,604.02,249,401.96,485,1076.77,52,111.04
Nalanda,395,910.07,156,307.55,131,206.1,199,466.48,40,97.34
Nawada,289,638.97,102,195.01,79,124.02,165,355.08,22,60.78
Pashchim Champaran,380,821.21,106,198.45,90,123.92,261,565.2,12,26.06
Patna,2999,6909.61,1570,3165.74,1431,2298.47,1155,2719.57,260,626.99
Purbi Champaran,435,1004.04,138,269.68,112,161.55,283,660.43,14,36.35
Purnia,235,540.88,93,185.17,70,111.9,126,293.08,16,44.44
Rohtas,187,425.37,73,145.92,60,95.78,95,220.64,19,44.05
Saharsa,106,237.11,33,73.73,27,48.9,68,148.04,5,7.69
Samastipur,718,1511.72,200,373.8,168,251.9,414,877.35,102,216.65
Saran,380,847.24,97,212.93,72,130.97,264,560.57,17,47.88
Sheikhpura,48,111.93,19,36.42,13,20.21,23,55.95,6,13
Sheohar,48,109.94,10,19,8,14.98,35,80.14,3,5.03
Sitamarhi,681,1703.79,251,517.9,210,341.02,399,1042.4,29,73.4
Siwan,134,267.76,37,64.13,30,40.37,80,158.86,17,40.25
Supaul,111,247.01,33,65.79,25,41.75,66,142.85,12,28.34
Vaishali,820,1784.26,198,377.44,148,233.62,545,1190.43,75,166.54
