district,kcc_ah_new_target_no,amt,disbursed_no,amt,no,amt,kcc_ah_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_kcc_ah_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,812,35.28,1669,35.28,59.73,35.28,419,35.28,1669,35.28,135.58,35.28,1231,35.28,1669,35.28,135.58,35.28
Arwal,588,7.41,443,7.41,68.88,7.41,223,7.41,443,7.41,54.62,7.41,811,7.41,443,7.41,54.62,7.41
Aurangabad,840,24.00,1715,24.00,191.07,24.00,697,24.00,1715,24.00,111.58,24.00,1537,24.00,1715,24.00,111.58,24.00
Banka,728,17.55,1066,17.55,57.42,17.55,390,17.55,1066,17.55,95.35,17.55,1118,17.55,1066,17.55,95.35,17.55
Begusarai,1007,19.57,1408,19.57,44.19,19.57,809,19.57,1408,19.57,77.53,19.57,1816,19.57,1408,19.57,77.53,19.57
Bhagalpur,1119,22.41,1853,22.41,51.74,22.41,975,22.41,1853,22.41,88.49,22.41,2094,22.41,1853,22.41,88.49,22.41
Bhojpur,1034,11.25,1224,11.25,97.49,11.25,891,11.25,1224,11.25,63.58,11.25,1925,11.25,1224,11.25,63.58,11.25
Buxar,728,16.02,910,16.02,98.63,16.02,530,16.02,910,16.02,72.34,16.02,1258,16.02,910,16.02,72.34,16.02
Darbhanga,1091,17.17,1697,17.17,23.28,17.17,1060,17.17,1697,17.17,78.89,17.17,2151,17.17,1697,17.17,78.89,17.17
Gaya,1314,10.06,1407,10.06,72.15,10.06,1143,10.06,1407,10.06,57.26,10.06,2457,10.06,1407,10.06,57.26,10.06
Gopalganj,895,12.91,771,12.91,43.02,12.91,669,12.91,771,12.91,49.30,12.91,1564,12.91,771,12.91,49.30,12.91
Jamui,644,17.00,1316,17.00,27.17,17.00,474,17.00,1316,17.00,117.71,17.00,1118,17.00,1316,17.00,117.71,17.00
Jehanabad,728,6.47,427,6.47,15.66,6.47,335,6.47,427,6.47,40.17,6.47,1063,6.47,427,6.47,40.17,6.47
Kaimur (Bhabua),672,15.16,431,15.16,45.98,15.16,362,15.16,431,15.16,41.68,15.16,1034,15.16,431,15.16,41.68,15.16
Katihar,896,10.80,740,10.80,15.85,10.80,503,10.80,740,10.80,52.89,10.80,1399,10.80,740,10.80,52.89,10.80
Khagaria,728,41.39,2418,41.39,69.78,41.39,557,41.39,2418,41.39,188.17,41.39,1285,41.39,2418,41.39,188.17,41.39
Kishanganj,644,16.58,664,16.58,26.09,16.58,279,16.58,664,16.58,71.94,16.58,923,16.58,664,16.58,71.94,16.58
Lakhisarai,616,19.88,574,19.88,21.92,19.88,335,19.88,574,19.88,60.36,19.88,951,19.88,574,19.88,60.36,19.88
Madhepura,672,15.22,767,15.22,31.55,15.22,363,15.22,767,15.22,74.11,15.22,1035,15.22,767,15.22,74.11,15.22
Madhubani,1035,11.28,1227,11.28,41.64,11.28,1086,11.28,1227,11.28,57.85,11.28,2121,11.28,1227,11.28,57.85,11.28
Munger,728,19.91,966,19.91,68.41,19.91,502,19.91,966,19.91,78.54,19.91,1230,19.91,966,19.91,78.54,19.91
Muzaffarpur,1483,37.90,2902,37.90,39.45,37.90,1644,37.90,2902,37.90,92.80,37.90,3127,37.90,2902,37.90,92.80,37.90
Nalanda,1007,18.88,1654,18.88,125.92,18.88,1031,18.88,1654,18.88,81.16,18.88,2038,18.88,1654,18.88,81.16,18.88
Nawada,811,9.91,648,9.91,65.97,9.91,473,9.91,648,9.91,50.47,9.91,1284,9.91,648,9.91,50.47,9.91
Pashchim Champaran,867,43.83,2526,43.83,42.68,43.83,808,43.83,2526,43.83,150.81,43.83,1675,43.83,2526,43.83,150.81,43.83
Patna,2100,5.97,961,5.97,22.76,5.97,3034,5.97,961,5.97,18.72,5.97,5134,5.97,961,5.97,18.72,5.97
Purbi Champaran,1147,61.44,4055,61.44,25.98,61.44,1003,61.44,4055,61.44,188.60,61.44,2150,61.44,4055,61.44,188.60,61.44
Purnia,952,4.73,366,4.73,17.33,4.73,725,4.73,366,4.73,21.82,4.73,1677,4.73,366,4.73,21.82,4.73
Rohtas,978,9.25,848,9.25,72.19,9.25,892,9.25,848,9.25,45.35,9.25,1870,9.25,848,9.25,45.35,9.25
Saharsa,672,18.85,784,18.85,17.26,18.85,279,18.85,784,18.85,82.44,18.85,951,18.85,784,18.85,82.44,18.85
Samastipur,1119,38.68,3550,38.68,156.75,38.68,1310,38.68,3550,38.68,146.15,38.68,2429,38.68,3550,38.68,146.15,38.68
Saran,1063,8.25,772,8.25,15.99,8.25,976,8.25,772,8.25,37.86,8.25,2039,8.25,772,8.25,37.86,8.25
Sheikhpura,588,25.03,746,25.03,70.07,25.03,223,25.03,746,25.03,91.99,25.03,811,25.03,746,25.03,91.99,25.03
Sheohar,560,42.50,850,42.50,37.68,42.50,112,42.50,850,42.50,126.49,42.50,672,42.50,850,42.50,126.49,42.50
Sitamarhi,811,29.80,1458,29.80,54.01,29.80,558,29.80,1458,29.80,106.50,29.80,1369,29.80,1458,29.80,106.50,29.80
Siwan,1147,7.35,613,7.35,9.07,7.35,920,7.35,613,7.35,29.66,7.35,2067,7.35,613,7.35,29.66,7.35
Supaul,700,10.66,622,10.66,18.71,10.66,363,10.66,622,10.66,58.51,10.66,1063,10.66,622,10.66,58.51,10.66
Vaishali,1035,26.29,1216,26.29,38.45,26.29,864,26.29,1216,26.29,64.03,26.29,1899,26.29,1216,26.29,64.03,26.29
