district,social_pmjjby_claims_received,social_pmjjby_total_claims,social_pmjjby_claims_settled,social_pmjjby_total_settled,social_pmsby_claims_received,social_pmsby_total_claims,social_pmsby_claims_settled,social_pmsby_total_settled
Araria,144,775,142,778,11,68,7,44
Arwal,36,189,21,179,13,70,13,60
Aurangabad,79,433,49,381,24,143,14,99
Banka,44,341,31,322,11,59,7,33
Begusarai,83,648,62,585,14,164,13,119
Bhagalpur,67,518,53,470,18,124,8,79
Bhojpur,76,546,53,495,27,179,14,125
Buxar,64,461,47,405,21,120,13,94
Darbhanga,65,742,67,695,8,83,4,57
Gaya,164,722,132,642,40,206,22,133
Gopalganj,89,802,77,759,10,91,1,51
Jamui,90,505,69,460,12,119,10,90
Jehanabad,75,288,60,262,16,99,11,54
Kaimur (Bhabua),50,381,34,329,16,118,14,82
Katihar,63,464,65,446,8,60,9,30
Khagaria,48,339,34,318,21,95,13,69
Kishanganj,86,499,82,491,6,30,3,16
Lakhisarai,40,317,32,294,11,85,6,59
Madhepura,69,598,72,581,5,53,2,32
Madhubani,76,733,73,673,14,217,7,70
Munger,37,338,27,306,10,82,7,60
Muzaffarpur,156,1513,152,1418,31,304,12,184
Nalanda,92,567,59,513,28,213,16,157
Nawada,49,421,37,384,16,114,12,77
Pashchim Champaran,158,1255,148,1207,11,99,3,65
Patna,203,1206,144,1097,46,299,22,205
Purbi Champaran,180,1553,167,1496,12,124,3,69
Purnia,200,1700,196,1677,9,73,4,48
Rohtas,82,650,61,556,14,163,11,102
Saharsa,113,682,111,670,4,47,1,30
Samastipur,155,1114,133,1014,26,185,15,118
Saran,122,1006,113,944,16,194,4,106
Sheikhpura,33,238,18,215,10,76,8,59
Sheohar,14,67,9,62,1,16,0,13
Sitamarhi,87,676,84,625,12,125,5,65
Siwan,88,823,81,792,9,118,0,77
Supaul,58,502,60,482,6,61,3,39
Vaishali,67,789,79,755,15,143,6,78
