district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,1500,1.36,111,1.36,7.40,1.36
Arwal,407,2.56,49,2.56,12.04,2.56
Aurangabad,1655,3.28,281,3.28,16.98,3.28
Banka,1231,2.73,135,2.73,10.97,2.73
Begusarai,2748,3.20,179,3.20,6.51,3.20
Bhagalpur,2612,1.50,154,1.50,5.90,1.50
Bhojpur,2101,1.40,51,1.40,2.43,1.40
Buxar,1209,0.15,11,0.15,0.91,0.15
Darbhanga,2256,1.00,82,1.00,3.63,1.00
Gaya,3145,2.74,541,2.74,17.20,2.74
Gopalganj,1923,3.78,85,3.78,4.42,3.78
Jamui,1029,1.54,59,1.54,5.73,1.54
Jehanabad,673,1.50,15,1.50,2.23,1.50
Kaimur (Bhabua),985,2.52,34,2.52,3.45,2.52
Katihar,1877,2.24,219,2.24,11.67,2.24
Khagaria,987,1.66,50,1.66,5.07,1.66
Kishanganj,1006,1.84,93,1.84,9.24,1.84
Lakhisarai,718,1.44,17,1.44,2.37,1.44
Madhepura,1008,1.38,39,1.38,3.87,1.38
Madhubani,2302,1.03,128,1.03,5.56,1.03
Munger,1078,0.63,35,0.63,3.25,0.63
Muzaffarpur,4636,10.52,526,10.52,11.35,10.52
Nalanda,1989,1.31,100,1.31,5.03,1.31
Nawada,1410,1.97,93,1.97,6.60,1.97
Pashchim Champaran,2034,2.55,78,2.55,3.83,2.55
Patna,13574,1.50,730,1.50,5.38,1.50
Purbi Champaran,2901,2.37,173,2.37,5.96,2.37
Purnia,2213,4.35,153,4.35,6.91,4.35
Rohtas,2146,0.71,71,0.71,3.31,0.71
Saharsa,718,1.00,40,1.00,5.57,1.00
Samastipur,2723,4.57,111,4.57,4.08,4.57
Saran,2567,1.12,133,1.12,5.18,1.12
Sheikhpura,497,4.82,69,4.82,13.88,4.82
Sheohar,248,1.27,13,1.27,5.24,1.27
Sitamarhi,1364,6.87,79,6.87,5.79,6.87
Siwan,3011,1.84,173,1.84,5.75,1.84
Supaul,1008,1.47,22,1.47,2.18,1.47
Vaishali,2591,5.72,182,5.72,7.02,5.72
