district,depositor_education_awarness_fund_deaf_base_data_as_on_31_08,amount_in_rs_crore,total_settlement_as_on_30_11_2025_n_u_m_ber_of_accounts,amount_in_rs_crore,activation_as_on_30_11_2025_n_u_m_ber_of_accounts,amount_in_rs_crore
Araria,175816,0.99,79,0.99,0.04,0.99
Arwal,57327,1.68,68,1.68,0.12,1.68
Aurangabad,160756,8.12,171,8.12,0.11,8.12
Banka,147020,3.23,144,3.23,0.10,3.23
Begusarai,194212,3.14,200,3.14,0.10,3.14
Bhagalpur,305150,2.88,360,2.88,0.12,2.88
Bhojpur,198014,3.88,326,3.88,0.16,3.88
Buxar,142928,2.81,179,2.81,0.13,2.81
Darbhanga,274777,5.72,240,5.72,0.09,5.72
Gaya,395447,3.48,308,3.48,0.08,3.48
Gopalganj,222693,2.07,170,2.07,0.08,2.07
Jamui,78933,1.52,129,1.52,0.16,1.52
Jehanabad,84026,3.54,105,3.54,0.12,3.54
Kaimur (Bhabua),120027,5.27,227,5.27,0.19,5.27
Katihar,233403,2.06,180,2.06,0.08,2.06
Khagaria,124466,2.94,186,2.94,0.15,2.94
Kishanganj,98122,5.89,72,5.89,0.07,5.89
Lakhisarai,38440,2.27,75,2.27,0.20,2.27
Madhepura,152621,5.90,158,5.90,0.10,5.90
Madhubani,347832,3.24,259,3.24,0.07,3.24
Munger,136322,2.48,206,2.48,0.15,2.48
Muzaffarpur,548914,1.76,447,1.76,0.08,1.76
Nalanda,221398,3.97,232,3.97,0.10,3.97
Nawada,120635,2.10,117,2.10,0.10,2.10
Pashchim Champaran,129731,2.88,173,2.88,0.13,2.88
Patna,945934,3.84,1263,3.84,0.13,3.84
Purbi Champaran,215177,4.92,384,4.92,0.18,4.92
Purnia,204327,8.25,258,8.25,0.13,8.25
Rohtas,228283,2.25,322,2.25,0.14,2.25
Saharsa,169804,3.21,208,3.21,0.12,3.21
Samastipur,267965,3.39,293,3.39,0.11,3.39
Saran,351105,1.63,304,1.63,0.09,1.63
Sheikhpura,35269,2.15,51,2.15,0.14,2.15
Sheohar,55577,3.36,45,3.36,0.08,3.36
Sitamarhi,228627,10.18,177,10.18,0.08,10.18
Siwan,381858,0.54,221,0.54,0.06,0.54
Supaul,185085,1.60,146,1.60,0.08,1.60
Vaishali,313205,2.86,223,2.86,0.07,2.86
