District,AGRICULTURE TARGET,ACHIE,%ACH,MSME TARGET,ACHIE,%ACH,O P S TARGET,ACHIE,%ACH,TPS TARGET,ACHIE,%ACH,N P S TARGET,ACHIE,%ACH,GRAND TOTAL TARGET,ACHIE,%ACH
Araria,2249,889.15,39.54,2122,1347.24,63.49,227,51.64,22.75,4598,2288.04,49.76,1428,659.35,46.17,6026,2947.39,48.91
Arwal,810,355.35,43.87,860,225.62,26.23,60,8.16,13.60,1730,589.13,34.05,456,154.64,33.91,2186,743.77,34.02
Aurangabad,4516,967.35,21.42,2071,1134.20,54.77,215,41.39,19.25,6802,2142.94,31.50,1493,576.97,38.65,8295,2719.91,32.79
Banka,1743,380.13,21.81,1569,363.05,23.14,216,109.51,50.70,3528,852.69,24.17,1042,279.54,26.83,4570,1132.23,24.78
Begusarai,3572,1177.04,32.95,4071,2306.47,56.66,302,131.73,43.62,7945,3615.24,45.50,1850,1132.41,61.21,9795,4747.65,48.47
Bhagalpur,4065,727.84,17.91,5004,2136.45,42.69,405,192.73,47.59,9474,3057.01,32.27,2514,1448.19,57.61,11988,4505.21,37.58
Bhojpur,3815,671.74,17.61,3848,1177.18,30.59,233,64.55,27.70,7896,1913.47,24.23,1637,931.92,56.93,9533,2845.39,29.85
Buxar,2275,472.36,20.76,2270,640.65,28.22,157,27.93,17.79,4702,1140.94,24.26,1096,449.58,41.02,5798,1590.52,27.43
Darbhanga,3692,789.36,21.38,3640,1905.81,52.36,242,57.00,23.55,7574,2752.17,36.34,1933,1124.25,58.16,9507,3876.42,40.77
Gaya,4602,1450.85,31.53,5529,2618.22,47.35,343,102.07,29.76,10474,4171.15,39.82,2758,2090.99,75.82,13232,6262.14,47.33
Gopalganj,4406,588.83,13.36,1794,908.92,50.66,219,28.93,13.21,6419,1526.69,23.78,1334,574.61,43.07,7753,2101.29,27.10
Jamui,1525,303.58,19.91,1276,406.55,31.86,146,27.95,19.14,2947,738.08,25.05,793,404.70,51.03,3740,1142.78,30.56
Jehanabad,1228,354.07,28.83,1546,342.44,22.15,77,28.07,36.45,2851,724.59,25.42,797,332.63,41.74,3648,1057.22,28.98
Kaimur (Bhabua),2780,694.07,24.97,1781,511.62,28.73,135,26.07,19.31,4696,1231.76,26.23,979,365.43,37.33,5675,1597.18,28.14
Katihar,2382,995.73,41.80,3048,1555.54,51.03,241,59.58,24.72,5671,2610.85,46.04,1673,758.89,45.36,7344,3369.74,45.88
Khagaria,1914,432.47,22.60,1349,579.46,42.95,139,22.16,15.94,3402,1034.09,30.40,774,347.51,44.90,4176,1381.60,33.08
Kishanganj,1329,463.63,34.89,1568,671.61,42.83,156,36.66,23.50,3053,1171.90,38.39,904,420.95,46.57,3957,1592.86,40.25
Lakhisarai,1334,234.83,17.60,1137,284.67,25.04,108,21.03,19.47,2579,540.53,20.96,607,246.38,40.59,3186,786.91,24.70
Madhepura,1538,416.61,27.09,1348,591.70,43.89,122,19.29,15.81,3008,1027.59,34.16,1131,391.43,34.61,4139,1419.02,34.28
Madhubani,3109,724.15,23.29,3425,1263.13,36.88,260,40.78,15.68,6794,2028.05,29.85,1902,753.99,39.64,8696,2782.04,31.99
Munger,1613,204.82,12.70,1805,439.88,24.37,167,58.79,35.20,3585,703.48,19.62,1080,537.76,49.79,4665,1241.25,26.61
Muzaffarpur,6045,1522.36,25.18,6029,3813.93,63.26,436,110.84,25.42,12510,5447.13,43.54,5611,2657.13,47.36,18121,8104.26,44.72
Nalanda,3247,640.75,19.73,3004,1408.68,46.89,233,222.79,95.62,6484,2272.22,35.04,1660,833.77,50.23,8144,3105.99,38.14
Nawada,1857,445.27,23.98,1576,785.60,49.85,169,32.87,19.45,3602,1263.75,35.08,994,462.96,46.58,4596,1726.71,37.57
Pashchim Champaran,2940,781.91,26.60,3248,1429.12,44.00,250,35.36,14.14,6438,2246.38,34.89,1776,873.31,49.17,8214,3119.69,37.98
Patna,7415,5092.39,68.68,21429,16604.43,77.49,1092,577.12,52.85,29936,22273.94,74.41,39077,20326.28,52.02,69013,42600.21,61.73
Purbi Champaran,4443,1243.45,27.99,4262,2278.59,53.46,351,52.98,15.09,9056,3575.02,39.48,2559,1426.73,55.75,11615,5001.75,43.06
Purnia,2436,1012.00,41.54,4105,2972.98,72.42,286,95.68,33.45,6827,4080.66,59.77,2123,1052.45,49.57,8950,5133.12,57.35
Rohtas,3229,854.98,26.48,3215,1774.56,55.20,266,50.64,19.04,6710,2680.17,39.94,1733,804.95,46.45,8443,3485.12,41.28
Saharsa,1789,379.87,21.23,1357,749.64,55.24,102,38.65,37.89,3248,1168.16,35.97,945,470.99,49.84,4193,1639.15,39.09
Samastipur,4192,1288.67,30.74,4101,1943.89,47.40,325,76.41,23.51,8618,3308.97,38.40,2183,994.47,45.56,10801,4303.44,39.84
Saran,3795,792.06,20.87,4124,1217.34,29.52,329,68.92,20.95,8248,2078.32,25.20,2103,1009.04,47.98,10351,3087.36,29.83
Sheikhpura,729,161.75,22.19,835,224.73,26.91,70,8.90,12.71,1634,395.37,24.20,440,173.19,39.36,2074,568.57,27.41
Sheohar,582,157.89,27.13,587,124.72,21.25,39,2.89,7.41,1208,285.50,23.63,334,86.25,25.82,1542,371.76,24.11
Sitamarhi,2158,588.03,27.25,2268,1017.04,44.84,162,31.17,19.24,4588,1636.24,35.66,1296,584.16,45.07,5884,2220.40,37.74
Siwan,3698,1041.80,28.17,3821,1167.58,30.56,293,48.66,16.61,7812,2258.03,28.90,1771,922.97,52.12,9583,3181.00,33.19
Supaul,1739,411.96,23.69,1744,629.46,36.09,124,14.48,11.68,3607,1055.90,29.27,1128,519.38,46.04,4735,1575.27,33.27
Vaishali,7209,1416.71,19.65,2234,1621.88,72.60,303,63.91,21.09,9746,3102.50,31.83,2086,946.42,45.37,11832,4048.92,34.22
