District,Branch,Deposits,Advances,CD Ratio
Araria,173,6411.25,5617.43,87.62
Arwal,68,2737.25,1194.63,43.64
Aurangabad,212,10723.21,5167.95,48.19
Banka,138,6027.29,2926.27,48.55
Begusarai,238,14210.75,10445.04,73.50
Bhagalpur,297,21086.96,10550.73,50.03
Bhojpur,250,14938.05,6306.28,42.22
Buxar,160,8540.73,3709.25,43.43
Darbhanga,261,17918.90,8950.49,49.95
Gaya,341,24347.63,13526.86,55.56
Gopalganj,202,11741.21,5399.31,45.99
Jamui,131,6551.72,3024.98,46.17
Jehanabad,99,5342.08,2320.74,43.44
Kaimur (Bhabua),132,5540.66,3267.19,58.97
Katihar,196,9764.76,7356.58,75.34
Khagaria,122,5402.72,3305.55,61.18
Kishanganj,114,4744.42,3674.28,77.44
Lakhisarai,92,4566.13,1959.41,42.91
Madhepura,125,5164.88,3706.86,71.77
Madhubani,291,13223.62,7046.49,53.29
Munger,149,10288.55,3321.88,32.29
Muzaffarpur,419,27153.34,19160.51,70.56
Nalanda,263,15684.00,6592.80,42.04
Nawada,161,7864.56,4161.88,52.92
Pashchim Champaran,238,9257.86,7640.05,82.53
Patna,1022,188902.82,93622.97,49.56
Purbi Champaran,317,14951.83,11505.50,76.95
Purnia,246,10947.87,10605.00,96.87
Rohtas,255,14182.88,7033.28,49.59
Saharsa,105,6298.65,4112.76,65.30
Samastipur,311,15740.46,9640.35,61.25
Saran,281,18638.11,7899.26,42.38
Sheikhpura,66,3045.23,1491.14,48.97
Sheohar,46,1541.53,1099.84,71.35
Sitamarhi,178,9586.81,5557.47,57.97
Siwan,268,17475.44,8079.03,46.23
Supaul,129,5816.36,3836.83,65.97
Vaishali,269,15056.87,10877.79,72.24
