district,msme_medium_target,msme_medium_disbursed_no,msme_medium_disbursed_amt,msme_medium_pct
Araria,8414,72.83,67201,409.95
Arwal,1477,8.68,8170,31.63
Aurangabad,9260,65.6,50096,233.15
Banka,4984,48.79,39439,198.78
Begusarai,13504,168.06,79707,598.83
Bhagalpur,9044,77.93,53532,280.67
Bhojpur,6845,46.68,36123,148.64
Buxar,6221,44.04,30496,136
Darbhanga,15974,209.86,106943,747.62
Gaya,16803,124.58,85119,394.74
Gopalganj,11345,119.15,75789,417.81
Jamui,6710,58.7,35466,194.89
Jehanabad,1053,11.03,5011,38.85
Kaimur (Bhabua),8896,58.26,33252,153.27
Katihar,9806,141.48,75437,579.93
Khagaria,5698,66.2,46381,298.59
Kishanganj,8193,66.04,35727,278.01
Lakhisarai,3250,24.58,20495,84.46
Madhepura,4051,37.67,54450,282.32
Madhubani,13640,127.6,102220,643.14
Munger,4324,42.66,26662,147.37
Muzaffarpur,25906,288.44,177212,1224.02
Nalanda,7875,56.72,43176,173.85
Nawada,7852,63.78,36612,199.02
Pashchim Champaran,18284,130.44,127206,564.03
Patna,42007,629.62,309813,2523.35
Purbi Champaran,22739,173.07,140287,706.85
Purnia,6230,62.49,69567,431.01
Rohtas,12898,102.33,63422,348.44
Saharsa,4090,55.92,35088,281.31
Samastipur,17964,190.09,107551,718.07
Saran,23135,208.1,124638,637.44
Sheikhpura,2161,15.42,13042,50.99
Sheohar,2001,16.88,12730,73.04
Sitamarhi,10431,91.67,61274,441.72
Siwan,11286,99.97,90458,457.78
Supaul,3362,24.44,24971,187.43
Vaishali,15459,162.75,97744,674.08
