District,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20
Araria,STATE,BANK,OF,INDIA,19-02-2010,YES,YES,YES,YES,YES,YES,0,35,1090,297,8655,6814,3897,SRLM,62
Arwal,PUNJAB,NATIONAL,BANK,12-12-2011,YES,YES,YES,YES,YES,YES,125,35,1158,402,11585,9615,3674,SRLM,91,
Aurangabad,PUNJAB,NATIONAL,BANK,29-02-2012,YES,YES,YES,YES,YES,YES,0,17,575,369,10899,8136,3769,SRLM,89,
Banka,UCO,BANK,30-06-2011,YES,YES,YES,YES,YES,YES,0,12,352,300,9319,5867,2611,SRLM,96,,
Begusarai,UCO,BANK,29-07-2011,YES,YES,YES,YES,YES,YES,650,16,503,369,11217,8106,3931,SRLM,1,,
Bhagalpur,UCO,BANK,14-03-2011,YES,YES,YES,YES,YES,YES,0,16,507,313,9666,6199,2552,SRLM,24,,
Bhojpur,PUNJAB,NATIONAL,BANK,28-03-2012,YES,YES,YES,YES,YES,YES,80,12,373,299,9093,6395,2499,SRLM,72,
Buxar,PUNJAB,NATIONAL,BANK,26-12-2012,YES,YES,YES,YES,YES,YES,0,34,1055,306,8390,5687,2329,SRLM,19,
Darbhanga,CENTRAL,BANK,OF,INDIA,27-11-2010,YES,YES,YES,YES,YES,YES,8,17,1064,793,9504,6561,2720,SRLM,67
Gaya,PUNJAB,NATIONAL,BANK,24-03-2010,YES,YES,YES,YES,YES,YES,165,18,596,510,14535,9681,4481,SRLM,0,
Gopalganj,CENTRAL,BANK,OF,INDIA,10-02-2011,YES,YES,YES,YES,YES,YES,10,15,876,622,7667,5149,2179,SRLM,50
Jamui,STATE,BANK,OF,INDIA,26-03-2011,YES,YES,YES,YES,YES,YES,0,38,1151,300,8573,6564,3940,SRLM,93
Jehanabad,PUNJAB,NATIONAL,BANK,30-09-2011,YES,YES,YES,YES,YES,YES,0,38,1228,375,10898,7490,6075,SRLM,0,
Kaimur (Bhabua),PUNJAB,NATIONAL,BANK,29-12-2011,YES,YES,YES,YES,YES,YES,0,39,1225,360,10023,6721,2226,SRLM,119,
Katihar,CENTRAL,BANK,OF,INDIA,01-10-2011,YES,YES,YES,YES,YES,YES,12,9,1054,811,7742,447,276,SRLM,54
Khagaria,UNION,BANK,OF,INDIA,23-03-2009,YES,YES,YES,YES,YES,NO,4,9,298,314,9670,6330,2337,SRLM,28
Kishanganj,STATE,BANK,OF,INDIA,19-03-2010,YES,YES,YES,YES,YES,YES,0,34,1059,332,9934,7617,4509,SRLM,103
Lakhisarai,PUNJAB,NATIONAL,BANK,28-09-2010,YES,YES,YES,YES,YES,NO,0,34,1065,341,9279,6225,2188,NA,15,
Madhepura,STATE,BANK,OF,INDIA,27-03-2009,YES,YES,YES,YES,YES,YES,50,38,1077,316,8760,6268,3657,SRLM,128
