District,Application Sourced No.,Amount,Sanctioned No.,Amount,Disbursed No.,Amount,Rejected No.,Amount,Pending No.,Amount
Araria,115,238.58,30,55.95,18,29.32,76,153.72,8,16.76
Arwal,112,231.61,48,86.59,35,50.53,53,111.48,11,25.49
Aurangabad,188,394.33,82,154.4,51,81.09,101,217.08,5,9.6
Banka,212,455.13,64,120.47,42,67.29,129,272.92,19,42.43
Begusarai,471,1102.12,190,399.6,169,319.02,241,557.54,37,87.97
Bhagalpur,910,1948.56,429,837.76,350,540.67,414,864.13,64,136.8
Bhojpur,449,1025.44,188,366.54,150,251.76,213,498.83,47,114.63
Buxar,177,376.33,65,123.8,43,73.65,85,182.84,26,53.4
Darbhanga,361,745.09,139,272.85,98,151.88,194,395.74,24,47.84
Gaya,927,2124.89,403,818.04,326,518.6,476,1081.32,45,108.98
Gopalganj,160,343.36,35,62.65,23,32.47,101,222.13,24,54.04
Jamui,173,349.89,50,96.36,34,55.38,116,226.45,7,13.4
Jehanabad,101,203.62,38,69.42,33,49.65,54,108.79,9,20.71
Kaimur (Bhabua),BHABUA,158,360.79,69,136.98,50,90.71,74,174.23,13
Katihar,188,415.28,47,85.65,23,32.31,132,291.5,9,29.35
Khagaria,204,431.86,59,115.92,49,73.67,131,266.03,13,25
Kishanganj,112,263.58,41,85.07,24,42.54,67,152.56,4,8
Lakhisarai,112,223.03,35,63.59,26,34.5,58,113.31,18,39.4
Madhepura,152,335.64,50,92.21,43,64.01,94,214.4,8,17.07
Madhubani,242,504.57,100,187.89,51,85.83,130,264.67,11,28.51
Munger,249,539.31,116,216.02,98,148.38,111,253.68,21,43.05
Muzaffarpur,1365,2961.57,518,1006.5,427,672.39,785,1715.05,56,118.68
Nalanda,784,1764.88,373,736.04,317,505.43,362,823.75,46,108.44
Nawada,412,897.04,159,297.89,113,176.76,230,496.03,23,63.42
Pashchim Champaran,641,1355.01,162,304.74,130,184.36,465,974.89,12,26.06
Patna,4990,11324.01,2693,5410.81,2440,4026.74,1989,4607.6,277,661.71
Purbi Champaran,777,1716.61,253,487.87,182,274.41,505,1122.86,15,40.35
Purnia,359,827.22,146,295.05,110,189.37,196,449.08,17,45.84
Rohtas,430,944.84,166,325.73,121,193.22,241,539.86,23,52
Saharsa,191,422.62,68,139.09,52,91.08,116,258.5,6,8.44
Samastipur,1054,2283.89,349,647.66,259,401.76,595,1326.03,104,220.86
Saran,570,1290.45,178,378.3,121,228.7,372,820.38,17,47.88
Sheikhpura,103,256.79,43,87.44,26,45.41,54,139.92,6,13
Sheohar,113,248.62,35,69.71,25,47.42,72,157.37,3,5.03
Sitamarhi,1014,2356.64,355,719.98,291,483.47,626,1468.84,29,73.4
Siwan,228,445.47,81,138.98,54,78.13,129,254.5,17,40.25
Supaul,280,567.74,80,155.42,65,106.59,186,355.59,13,31.54
Vaishali,1192,2545.05,354,682.92,277,468.51,757,1620.92,76,169.22
