district,agri_npa_crop_loan_no,agri_npa_crop_loan,agri_npa_term_loan_no,agri_npa_term_loan,agri_npa_total_farm_credit_no,agri_npa_total_farm_credit,agri_npa_infrastructure_no,agri_npa_infrastructure,agri_npa_ancillary_no,agri_npa_ancillary,agri_npa_total_no,agri_npa_total
Araria,42060,310.55,51361,133.09,36448,83.35,8,0.13,227,3.34,93656,447.11
Arwal,13307,116.60,5405,17.00,3351,8.41,3,0.13,118,2.72,18833,136.44
Aurangabad,57157,407.05,29237,81.71,20662,46.99,27,0.36,204,21.74,86625,510.86
Banka,41721,215.19,25318,73.37,20264,47.83,35,0.09,235,12.78,67309,301.43
Begusarai,56102,381.85,91255,222.17,69497,152.06,13,0.26,632,7.35,148002,611.62
Bhagalpur,41163,251.94,26724,86.27,18736,53.71,16,0.42,360,12.02,68263,350.64
Bhojpur,45291,273.27,22749,68.02,18381,44.62,15,0.64,166,3.20,68221,345.14
Buxar,47038,341.19,18706,55.03,14251,27.39,27,0.49,207,5.24,65978,401.95
Darbhanga,19607,137.40,73690,170.26,60506,133.43,9,0.26,194,9.00,93500,316.92
Gaya,72693,511.41,66368,171.78,28698,66.96,143,1.21,437,16.46,139641,700.86
Gopalganj,50719,355.10,34915,100.89,28404,72.25,4,0.17,271,7.85,85909,464.01
Jamui,54693,315.92,14302,47.14,10914,31.80,2,0.01,130,2.56,69127,365.63
Jehanabad,20089,137.58,9351,44.12,6214,15.81,6,0.03,133,4.12,29579,185.85
Kaimur (Bhabua),40113,336.93,9709,37.77,5865,13.43,24,1.33,187,29.55,50033,405.58
Katihar,40492,323.25,48897,137.89,42180,104.62,22,0.08,286,8.86,89697,470.09
Khagaria,65530,284.00,42530,112.83,34132,82.10,1,0.01,189,3.10,108250,399.94
Kishanganj,30258,240.31,10121,25.66,6831,18.08,6,0.06,190,3.14,40575,269.17
Lakhisarai,32285,186.87,9894,32.35,7090,17.59,3,0.01,62,1.64,42244,220.87
Madhepura,24130,222.82,41771,104.60,33330,72.81,42,1.36,324,28.52,66267,357.30
Madhubani,34468,229.14,67577,160.01,52582,107.89,28,0.29,315,4.78,102388,394.22
Munger,28710,143.25,12074,35.16,10003,25.24,6,0.06,136,5.10,40926,183.56
Muzaffarpur,80129,509.65,134449,315.56,98046,214.58,35,11.23,788,24.28,215401,860.71
Nalanda,64584,386.78,19215,72.22,14023,36.82,16,0.32,217,6.76,84032,466.09
Nawada,46390,269.17,25687,77.95,17678,38.73,24,0.21,269,7.78,72370,355.11
Pashchim Champaran,52943,429.00,32044,94.68,24342,65.36,6,0.51,197,6.24,85190,530.43
Patna,61343,578.56,157740,414.85,111383,270.10,49,7.50,1460,232.49,220592,1233.40
Purbi Champaran,91266,720.11,50090,138.54,40551,113.37,4,0.05,502,26.21,141862,884.91
Purnia,57343,455.51,35824,105.53,25974,64.09,79,0.44,523,31.62,93769,593.09
Rohtas,66594,586.77,42117,112.10,30512,68.64,75,1.36,430,41.71,109216,741.94
Saharsa,29255,250.45,28424,64.82,24198,46.58,6,0.39,293,6.90,57978,322.56
Samastipur,83078,503.17,80524,210.25,59064,145.34,16,0.82,388,9.58,164006,723.83
Saran,42987,328.63,53462,164.80,42666,110.97,15,0.28,513,17.05,96977,510.76
Sheikhpura,15420,90.43,3986,14.28,3067,7.87,0,0.00,43,2.05,19449,106.76
Sheohar,12497,83.42,6697,18.86,5050,12.29,0,0.00,83,2.16,19277,104.44
Sitamarhi,46979,353.82,55310,137.48,39270,85.06,4,0.12,247,7.60,102540,499.03
Siwan,36713,292.18,42454,109.86,31904,74.79,66,2.25,347,40.52,79580,444.80
Supaul,40628,318.12,22636,58.29,18276,39.69,10,0.30,544,4.37,63818,381.07
Vaishali,59759,426.85,61774,158.82,44566,107.12,12,1.20,632,12.39,122177,599.26
