District,"KCC FISHERIES OUTSTANDING
AS ON 30.09.2025 NO.",AMT,KCC NPA AS ON 30.09.2025 NO.,AMT,%AGE NPA NO.,AMT,"RUPAY CARD
ISSUED NO.","RUPAY CARD
ACTIVATED NO."
Araria,150,1.31,4,0.04,2.67,3.05,6,6
Arwal,16,0.14,5,0.06,31.25,42.86,2,1
Aurangabad,95,0.6,10,0.04,10.53,6.67,2,2
Banka,146,2.56,18,0.08,12.33,3.13,12,12
Begusarai,242,3.55,37,0.12,15.29,3.38,15,1
Bhagalpur,140,1.34,45,0.16,32.14,11.94,1,1
Bhojpur,64,0.57,11,0.03,17.19,5.26,1,1
Buxar,66,0.53,21,0.06,31.82,11.32,0,0
Darbhanga,130,2.31,7,0.08,5.38,3.46,11,4
Gaya,110,1.21,33,0.09,30.00,7.44,8,2
Gopalganj,167,3.5,2,0.01,1.20,0.29,5,1
Jamui,64,0.44,16,0.04,25.00,9.09,4,4
Jehanabad,61,0.48,17,0.04,27.87,8.33,3,3
Kaimur (Bhabua),60,0.18,24,0.07,40.00,38.89,0,0
Katihar,1023,23.31,0,0.00,0.00,0.00,3,1
Khagaria,158,3.81,16,0.23,10.13,6.04,4,0
Kishanganj,83,2.05,0,0.00,0.00,0.00,0,0
Lakhisarai,53,0.29,16,0.04,30.19,13.79,3,3
Madhepura,88,1.54,0,0.00,0.00,0.00,3,2
Madhubani,1136,23.22,73,0.99,6.43,4.26,81,34
Munger,29,0.37,6,0.02,20.69,5.41,1,0
Muzaffarpur,234,4.33,11,0.10,4.70,2.31,18,7
Nalanda,119,2.93,27,0.11,22.69,3.75,12,2
Nawada,69,0.35,21,0.06,30.43,17.14,1,0
Pashchim Champaran,108,1.33,27,0.06,25.00,4.51,4,2
Patna,101,1.53,23,0.09,22.77,5.88,11,6
Purbi Champaran,159,2.48,3,0.05,1.89,2.02,12,7
Purnia,1120,19.39,0,0.00,0.00,0.00,0,0
Rohtas,157,1.71,37,0.11,23.57,6.43,2,3
Saharsa,258,3.27,2,0.00,0.78,0.00,11,10
Samastipur,163,2.01,27,0.17,16.56,8.46,11,11
Saran,152,3.55,0,0.00,0.00,0.00,6,2
Sheikhpura,53,0.98,10,0.03,18.87,3.06,11,11
Sheohar,26,0.35,0,0.00,0.00,0.00,1,1
Sitamarhi,68,1.48,6,0.08,8.82,5.41,5,3
Siwan,150,4.52,0,0.00,0.00,0.00,33,5
Supaul,98,1.43,0,0.00,0.00,0.00,2,0
Vaishali,71,1.25,2,0.01,2.82,0.80,14,4
