district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,1109,3.39,131,3.39,11.81,3.39
Arwal,270,1.88,16,1.88,5.93,1.88
Aurangabad,1107,1.06,39,1.06,3.52,1.06
Banka,906,2.37,73,2.37,8.06,2.37
Begusarai,2042,3.52,327,3.52,16.01,3.52
Bhagalpur,1710,3.61,244,3.61,14.27,3.61
Bhojpur,1442,2.02,57,2.02,3.95,2.02
Buxar,805,0.88,19,0.88,2.36,0.88
Darbhanga,1575,3.38,232,3.38,14.73,3.38
Gaya,2344,0.71,66,0.71,2.82,0.71
Gopalganj,1207,2.28,96,2.28,7.95,2.28
Jamui,639,1.05,24,1.05,3.76,1.05
Jehanabad,404,0.50,6,0.50,1.49,0.50
Kaimur (Bhabua),637,0.79,14,0.79,2.20,0.79
Katihar,1272,8.18,451,8.18,35.46,8.18
Khagaria,571,6.94,165,6.94,28.90,6.94
Kishanganj,669,3.40,69,3.40,10.31,3.40
Lakhisarai,504,1.80,30,1.80,5.95,1.80
Madhepura,602,3.11,70,3.11,11.63,3.11
Madhubani,1473,8.66,260,8.66,17.65,8.66
Munger,776,1.52,54,1.52,6.96,1.52
Muzaffarpur,3443,2.78,454,2.78,13.19,2.78
Nalanda,1343,4.15,164,4.15,12.21,4.15
Nawada,905,3.63,116,3.63,12.82,3.63
Pashchim Champaran,1640,1.39,102,1.39,6.22,1.39
Patna,9345,3.43,1543,3.43,16.51,3.43
Purbi Champaran,2242,2.00,145,2.00,6.47,2.00
Purnia,1440,4.30,252,4.30,17.50,4.30
Rohtas,1407,3.14,143,3.14,10.16,3.14
Saharsa,437,5.15,95,5.15,21.74,5.15
Samastipur,1875,2.05,135,2.05,7.20,2.05
Saran,1707,3.35,266,3.35,15.58,3.35
Sheikhpura,236,8.29,20,8.29,8.47,8.29
Sheohar,202,5.33,56,5.33,27.72,5.33
Sitamarhi,872,2.27,75,2.27,8.60,2.27
Siwan,2245,2.01,170,2.01,7.57,2.01
Supaul,604,1.72,42,1.72,6.95,1.72
Vaishali,1943,1.48,106,1.48,5.46,1.48
