district,kcc_fisheries_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_fisheries_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_fisheries_ah_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,220,1.15,18,1.15,5.63,1.15,100,1.15,18,1.15,5.63,1.15,320,1.15,18,1.15,5.63,1.15
Arwal,180,0.10,0,0.10,0.00,0.10,50,0.10,0,0.10,0.00,0.10,230,0.10,0,0.10,0.00,0.10
Aurangabad,200,1.38,32,1.38,9.14,1.38,150,1.38,32,1.38,9.14,1.38,350,1.38,32,1.38,9.14,1.38
Banka,180,2.10,35,2.10,15.22,2.10,50,2.10,35,2.10,15.22,2.10,230,2.10,35,2.10,15.22,2.10
Begusarai,240,6.00,8,6.00,2.35,6.00,100,6.00,8,6.00,2.35,6.00,340,6.00,8,6.00,2.35,6.00
Bhagalpur,240,0.80,9,0.80,2.31,0.80,150,0.80,9,0.80,2.31,0.80,390,0.80,9,0.80,2.31,0.80
Bhojpur,220,0.64,10,0.64,2.70,0.64,150,0.64,10,0.64,2.70,0.64,370,0.64,10,0.64,2.70,0.64
Buxar,180,0.20,5,0.20,2.17,0.20,50,0.20,5,0.20,2.17,0.20,230,0.20,5,0.20,2.17,0.20
Darbhanga,240,1.75,48,1.75,10.91,1.75,200,1.75,48,1.75,10.91,1.75,440,1.75,48,1.75,10.91,1.75
Gaya,260,0.65,9,0.65,1.96,0.65,200,0.65,9,0.65,1.96,0.65,460,0.65,9,0.65,1.96,0.65
Gopalganj,200,1.08,29,1.08,9.67,1.08,100,1.08,29,1.08,9.67,1.08,300,1.08,29,1.08,9.67,1.08
Jamui,160,0.33,4,0.33,1.90,0.33,50,0.33,4,0.33,1.90,0.33,210,0.33,4,0.33,1.90,0.33
Jehanabad,180,0.50,3,0.50,1.30,0.50,50,0.50,3,0.50,1.30,0.50,230,0.50,3,0.50,1.30,0.50
Kaimur (Bhabua),160,0.00,0,0.00,0.00,0.00,50,0.00,0,0.00,0.00,0.00,210,0.00,0,0.00,0.00,0.00
Katihar,260,5.00,144,5.00,25.71,5.00,300,5.00,144,5.00,25.71,5.00,560,5.00,144,5.00,25.71,5.00
Khagaria,240,3.43,4,3.43,1.18,3.43,100,3.43,4,3.43,1.18,3.43,340,3.43,4,3.43,1.18,3.43
Kishanganj,180,0.91,8,0.91,2.86,0.91,100,0.91,8,0.91,2.86,0.91,280,0.91,8,0.91,2.86,0.91
Lakhisarai,160,0.11,3,0.11,1.43,0.11,50,0.11,3,0.11,1.43,0.11,210,0.11,3,0.11,1.43,0.11
Madhepura,180,1.80,10,1.80,4.35,1.80,50,1.80,10,1.80,4.35,1.80,230,1.80,10,1.80,4.35,1.80
Madhubani,320,7.22,167,7.22,24.93,7.22,350,7.22,167,7.22,24.93,7.22,670,7.22,167,7.22,24.93,7.22
Munger,180,0.09,1,0.09,0.36,0.09,100,0.09,1,0.09,0.36,0.09,280,0.09,1,0.09,0.36,0.09
Muzaffarpur,260,2.15,40,2.15,6.56,2.15,350,2.15,40,2.15,6.56,2.15,610,2.15,40,2.15,6.56,2.15
Nalanda,220,2.27,23,2.27,5.48,2.27,200,2.27,23,2.27,5.48,2.27,420,2.27,23,2.27,5.48,2.27
Nawada,200,0.50,10,0.50,3.33,0.50,100,0.50,10,0.50,3.33,0.50,300,0.50,10,0.50,3.33,0.50
Pashchim Champaran,200,0.57,15,0.57,3.75,0.57,200,0.57,15,0.57,3.75,0.57,400,0.57,15,0.57,3.75,0.57
Patna,360,0.27,6,0.27,0.79,0.27,400,0.27,6,0.27,0.79,0.27,760,0.27,6,0.27,0.79,0.27
Purbi Champaran,220,5.73,71,5.73,16.90,5.73,200,5.73,71,5.73,16.90,5.73,420,5.73,71,5.73,16.90,5.73
Purnia,340,2.28,82,2.28,11.08,2.28,400,2.28,82,2.28,11.08,2.28,740,2.28,82,2.28,11.08,2.28
Rohtas,200,0.85,6,0.85,1.71,0.85,150,0.85,6,0.85,1.71,0.85,350,0.85,6,0.85,1.71,0.85
Saharsa,160,1.00,20,1.00,9.52,1.00,50,1.00,20,1.00,9.52,1.00,210,1.00,20,1.00,9.52,1.00
Samastipur,240,2.53,10,2.53,2.04,2.53,250,2.53,10,2.53,2.04,2.53,490,2.53,10,2.53,2.04,2.53
Saran,220,1.53,64,1.53,15.24,1.53,200,1.53,64,1.53,15.24,1.53,420,1.53,64,1.53,15.24,1.53
Sheikhpura,160,0.22,5,0.22,2.38,0.22,50,0.22,5,0.22,2.38,0.22,210,0.22,5,0.22,2.38,0.22
Sheohar,240,0.38,2,0.38,0.69,0.38,50,0.38,2,0.38,0.69,0.38,290,0.38,2,0.38,0.69,0.38
Sitamarhi,180,0.73,10,0.73,3.57,0.73,100,0.73,10,0.73,3.57,0.73,280,0.73,10,0.73,3.57,0.73
Siwan,240,0.79,23,0.79,6.76,0.79,100,0.79,23,0.79,6.76,0.79,340,0.79,23,0.79,6.76,0.79
Supaul,160,1.22,8,1.22,3.81,1.22,50,1.22,8,1.22,3.81,1.22,210,1.22,8,1.22,3.81,1.22
Vaishali,220,0.29,4,0.29,1.08,0.29,150,0.29,4,0.29,1.08,0.29,370,0.29,4,0.29,1.08,0.29
