district,aadhaar_operative_casa,aadhaar_seeded_casa,aadhaar_authenticated_casa
Araria,2749758,2359491,1755558
Arwal,816275,647568,464141
Aurangabad,2916342,2479973,1321991
Banka,2146020,1920616,1632896
Begusarai,3605682,3094492,2246095
Bhagalpur,3715975,3138574,2591327
Bhojpur,3396516,2905706,1914318
Buxar,2093541,1793668,1202474
Darbhanga,3618070,2940009,2025298
Gaya,5217827,4560597,2758865
Gopalganj,2936212,2426030,1602921
Jamui,2045165,1631587,1305186
Jehanabad,1248407,1003820,624652
Kaimur (Bhabua),1797141,1537659,1001622
Katihar,3109396,2439010,1826649
Khagaria,1845342,1306682,1135912
Kishanganj,1824832,1599270,1152910
Lakhisarai,1206076,992623,737508
Madhepura,1913086,1537649,1093962
Madhubani,4199320,3479337,2152798
Munger,1666775,1314119,963363
Muzaffarpur,5495300,4601583,3174958
Nalanda,3381969,2727769,1849174
Nawada,2609268,2111243,1393461
Pashchim Champaran,3926172,3238399,2247750
Patna,9882446,7286374,4865546
Purbi Champaran,5050208,4050073,2868228
Purnia,3338838,2716063,2065009
Rohtas,3434556,2878661,1798678
Saharsa,1735130,1389814,915654
Samastipur,4989702,3772876,2788651
Saran,4433040,3534971,2374385
Sheikhpura,792021,643828,429896
Sheohar,598172,553285,438712
Sitamarhi,3256999,2891040,2004737
Siwan,4496993,3907208,2695872
Supaul,2157471,1762758,1186944
Vaishali,4896472,4241631,3449773
