district,application_sourced_no,amount,sanctioned_no,amount,disbursed_no,amount,rejected_no,amount,pending_no,amount
Araria,115,16.76,30,16.76,18,16.76,76,16.76,8,16.76
Arwal,112,25.49,48,25.49,35,25.49,53,25.49,11,25.49
Aurangabad,188,9.6,82,9.6,51,9.6,101,9.6,5,9.6
Banka,212,42.43,64,42.43,42,42.43,129,42.43,19,42.43
Begusarai,471,87.97,190,87.97,169,87.97,241,87.97,37,87.97
Bhagalpur,910,136.8,429,136.8,350,136.8,414,136.8,64,136.8
Bhojpur,449,114.63,188,114.63,150,114.63,213,114.63,47,114.63
Buxar,177,53.4,65,53.4,43,53.4,85,53.4,26,53.4
Darbhanga,361,47.84,139,47.84,98,47.84,194,47.84,24,47.84
Gaya,927,108.98,403,108.98,326,108.98,476,108.98,45,108.98
Gopalganj,160,54.04,35,54.04,23,54.04,101,54.04,24,54.04
Jamui,173,13.4,50,13.4,34,13.4,116,13.4,7,13.4
Jehanabad,101,20.71,38,20.71,33,20.71,54,20.71,9,20.71
Katihar,188,29.35,47,29.35,23,29.35,132,29.35,9,29.35
Khagaria,204,25,59,25,49,25,131,25,13,25
Kishanganj,112,8,41,8,24,8,67,8,4,8
Lakhisarai,112,39.4,35,39.4,26,39.4,58,39.4,18,39.4
Madhepura,152,17.07,50,17.07,43,17.07,94,17.07,8,17.07
Madhubani,242,28.51,100,28.51,51,28.51,130,28.51,11,28.51
Munger,249,43.05,116,43.05,98,43.05,111,43.05,21,43.05
Muzaffarpur,1365,118.68,518,118.68,427,118.68,785,118.68,56,118.68
Nalanda,784,108.44,373,108.44,317,108.44,362,108.44,46,108.44
Nawada,412,63.42,159,63.42,113,63.42,230,63.42,23,63.42
Pashchim Champaran,641,26.06,162,26.06,130,26.06,465,26.06,12,26.06
Patna,4990,661.71,2693,661.71,2440,661.71,1989,661.71,277,661.71
Purbi Champaran,777,40.35,253,40.35,182,40.35,505,40.35,15,40.35
Purnia,359,45.84,146,45.84,110,45.84,196,45.84,17,45.84
Rohtas,430,52,166,52,121,52,241,52,23,52
Saharsa,191,8.44,68,8.44,52,8.44,116,8.44,6,8.44
Samastipur,1054,220.86,349,220.86,259,220.86,595,220.86,104,220.86
Saran,570,47.88,178,47.88,121,47.88,372,47.88,17,47.88
Sheikhpura,103,13,43,13,26,13,54,13,6,13
Sheohar,113,5.03,35,5.03,25,5.03,72,5.03,3,5.03
Sitamarhi,1014,73.4,355,73.4,291,73.4,626,73.4,29,73.4
Siwan,228,40.25,81,40.25,54,40.25,129,40.25,17,40.25
Supaul,280,31.54,80,31.54,65,31.54,186,31.54,13,31.54
Vaishali,1192,169.22,354,169.22,277,169.22,757,169.22,76,169.22
