district,msme_micro_no,msme_micro_amt,msme_small_no,msme_small_amt,msme_medium_no,msme_medium_amt,msme_other_no,msme_other_amt,msme_total_no,msme_total_amt
Araria,17119,872.36,427,430.22,23,36.18,9,8.48,17578,1347.24
Arwal,4177,177.32,70,38.20,21,9.98,7,0.12,4275,225.62
Aurangabad,12157,879.61,245,240.72,26,13.39,14,0.48,12442,1134.20
Banka,6849,277.19,85,57.23,5,21.20,15,7.43,6954,363.05
Begusarai,20724,1313.07,464,705.13,43,286.54,79,1.73,21310,2306.47
Bhagalpur,23815,1407.75,432,585.21,26,141.18,130,2.31,24403,2136.45
Bhojpur,11383,853.30,291,288.26,19,33.99,35,1.63,11728,1177.18
Buxar,8297,514.74,335,125.24,2,0.57,7,0.10,8641,640.65
Darbhanga,34189,1329.48,392,488.17,45,85.55,35,2.62,34661,1905.81
Gaya,23721,1741.75,550,606.07,61,267.38,101,3.02,24433,2618.22
Gopalganj,19823,640.38,205,196.38,41,71.91,14,0.25,20083,908.92
Jamui,8308,298.00,90,84.23,11,24.11,14,0.21,8423,406.55
Jehanabad,7644,283.43,99,46.27,21,12.63,6,0.11,7770,342.44
Kaimur (Bhabua),8392,393.49,171,110.27,8,7.68,9,0.18,8580,511.62
Katihar,18239,1000.72,361,426.74,38,115.90,14,12.18,18652,1555.54
Khagaria,7931,404.15,159,174.86,1,0.16,18,0.29,8109,579.46
Kishanganj,11719,430.92,121,141.38,15,99.05,13,0.26,11868,671.61
Lakhisarai,4981,261.86,46,21.84,3,0.67,18,0.29,5048,284.67
Madhepura,11074,442.37,154,140.77,10,8.06,29,0.50,11267,591.70
Madhubani,31385,1019.90,247,218.09,15,24.71,14,0.42,31661,1263.13
Munger,7222,376.89,87,59.01,21,3.16,46,0.81,7376,439.88
Muzaffarpur,35202,2518.47,828,1108.58,78,169.33,177,17.55,36285,3813.93
Nalanda,28094,1050.80,428,278.82,62,77.58,86,1.47,28670,1408.68
Nawada,10659,630.37,230,118.76,22,33.52,23,2.95,10934,785.60
Pashchim Champaran,20890,969.21,396,374.45,14,84.22,77,1.23,21377,1429.12
Patna,51828,7201.50,4159,6076.11,982,3295.05,770,31.76,57739,16604.43
Purbi Champaran,29769,1539.66,482,607.54,54,122.90,94,8.48,30399,2278.59
Purnia,26532,1755.34,533,842.30,68,374.31,46,1.03,27179,2972.98
Rohtas,14254,1180.79,339,319.30,58,273.99,23,0.48,14674,1774.56
Saharsa,11283,495.95,189,227.15,13,20.78,21,5.76,11506,749.64
Samastipur,23157,1452.21,518,452.44,26,36.56,95,2.69,23796,1943.89
Saran,23778,985.85,271,218.98,18,7.63,46,4.88,24113,1217.34
Sheikhpura,3634,180.08,88,40.92,7,3.65,3,0.07,3732,224.73
Sheohar,3267,107.71,27,14.20,4,2.77,2,0.04,3300,124.72
Sitamarhi,19345,817.96,205,177.59,24,16.25,168,5.24,19742,1017.04
Siwan,25838,900.14,260,212.68,22,50.95,20,3.81,26140,1167.58
Supaul,12447,483.54,184,141.66,12,3.69,27,0.57,12670,629.46
Vaishali,30639,1202.30,341,319.57,23,97.46,60,2.55,31063,1621.88
