district,kcc_fisheries_outstanding_as_on_30_09_2025_no,amt,kcc_npa_as_on_30_09_2025_no,amt,age_npa_no,amt,rupay_card_issued_no,rupay_card_activated_no
Araria,150,3.05,4,3.05,2.67,3.05,6,6
Arwal,16,42.86,5,42.86,31.25,42.86,2,1
Aurangabad,95,6.67,10,6.67,10.53,6.67,2,2
Banka,146,3.13,18,3.13,12.33,3.13,12,12
Begusarai,242,3.38,37,3.38,15.29,3.38,15,1
Bhagalpur,140,11.94,45,11.94,32.14,11.94,1,1
Bhojpur,64,5.26,11,5.26,17.19,5.26,1,1
Buxar,66,11.32,21,11.32,31.82,11.32,0,0
Darbhanga,130,3.46,7,3.46,5.38,3.46,11,4
Gaya,110,7.44,33,7.44,30.00,7.44,8,2
Gopalganj,167,0.29,2,0.29,1.20,0.29,5,1
Jamui,64,9.09,16,9.09,25.00,9.09,4,4
Jehanabad,61,8.33,17,8.33,27.87,8.33,3,3
Kaimur (Bhabua),60,38.89,24,38.89,40.00,38.89,0,0
Katihar,1023,0.00,0,0.00,0.00,0.00,3,1
Khagaria,158,6.04,16,6.04,10.13,6.04,4,0
Kishanganj,83,0.00,0,0.00,0.00,0.00,0,0
Lakhisarai,53,13.79,16,13.79,30.19,13.79,3,3
Madhepura,88,0.00,0,0.00,0.00,0.00,3,2
Madhubani,1136,4.26,73,4.26,6.43,4.26,81,34
Munger,29,5.41,6,5.41,20.69,5.41,1,0
Muzaffarpur,234,2.31,11,2.31,4.70,2.31,18,7
Nalanda,119,3.75,27,3.75,22.69,3.75,12,2
Nawada,69,17.14,21,17.14,30.43,17.14,1,0
Pashchim Champaran,108,4.51,27,4.51,25.00,4.51,4,2
Patna,101,5.88,23,5.88,22.77,5.88,11,6
Purbi Champaran,159,2.02,3,2.02,1.89,2.02,12,7
Purnia,1120,0.00,0,0.00,0.00,0.00,0,0
Rohtas,157,6.43,37,6.43,23.57,6.43,2,3
Saharsa,258,0.00,2,0.00,0.78,0.00,11,10
Samastipur,163,8.46,27,8.46,16.56,8.46,11,11
Saran,152,0.00,0,0.00,0.00,0.00,6,2
Sheikhpura,53,3.06,10,3.06,18.87,3.06,11,11
Sheohar,26,0.00,0,0.00,0.00,0.00,1,1
Sitamarhi,68,5.41,6,5.41,8.82,5.41,5,3
Siwan,150,0.00,0,0.00,0.00,0.00,33,5
Supaul,98,0.00,0,0.00,0.00,0.00,2,0
Vaishali,71,0.80,2,0.80,2.82,0.80,14,4
