district,other_priority_sector_export_credit_a_c,amt,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,total_other_priority_sector_ops_a_c,amt
Araria,0,287.43,738,287.43,1449,287.43,1,287.43,22,287.43,32640,287.43,34850,287.43
Arwal,0,53.11,346,53.11,238,53.11,0,53.11,28,53.11,5650,53.11,6262,53.11
Aurangabad,0,306.94,1522,306.94,1816,306.94,2,306.94,55,306.94,18229,306.94,21624,306.94
Banka,0,254.25,579,254.25,875,254.25,22,254.25,41,254.25,20802,254.25,22319,254.25
Begusarai,0,585.72,1755,585.72,3190,585.72,11,585.72,204,585.72,27628,585.72,32788,585.72
Bhagalpur,1,797.17,2211,797.17,4728,797.17,1,797.17,293,797.17,34928,797.17,42162,797.17
Bhojpur,0,471.24,1423,471.24,3077,471.24,2,471.24,137,471.24,16129,471.24,20768,471.24
Buxar,0,230.40,773,230.40,1584,230.40,0,230.40,50,230.40,10953,230.40,13360,230.40
Darbhanga,0,582.23,2421,582.23,3801,582.23,87,582.23,87,582.23,18656,582.23,25052,582.23
Gaya,0,925.37,3984,925.37,5423,925.37,8,925.37,289,925.37,27057,925.37,36761,925.37
Gopalganj,0,247.44,803,247.44,2078,247.44,1,247.44,24,247.44,19715,247.44,22621,247.44
Jamui,0,117.39,367,117.39,550,117.39,0,117.39,34,117.39,15729,117.39,16680,117.39
Jehanabad,0,139.28,774,139.28,1033,139.28,3,139.28,38,139.28,3597,139.28,5445,139.28
Kaimur (Bhabua),0,165.26,549,165.26,881,165.26,1,165.26,52,165.26,12976,165.26,14459,165.26
Katihar,0,450.85,804,450.85,2428,450.85,1,450.85,29,450.85,24424,450.85,27686,450.85
Khagaria,0,113.04,539,113.04,584,113.04,7,113.04,36,113.04,12522,113.04,13688,113.04
Kishanganj,0,224.98,497,224.98,1245,224.98,0,224.98,19,224.98,17060,224.98,18821,224.98
Lakhisarai,0,98.06,558,98.06,486,98.06,321,98.06,28,98.06,7494,98.06,8887,98.06
Madhepura,0,179.10,498,179.10,835,179.10,3,179.10,46,179.10,10712,179.10,12094,179.10
Madhubani,0,374.63,2075,374.63,2444,374.63,3,374.63,46,374.63,18980,374.63,23548,374.63
Munger,0,242.40,725,242.40,1261,242.40,0,242.40,82,242.40,14705,242.40,16773,242.40
Muzaffarpur,0,1209.40,3742,1209.40,8400,1209.40,1,1209.40,349,1209.40,44333,1209.40,56825,1209.40
Nalanda,0,361.53,1687,361.53,2222,361.53,3,361.53,285,361.53,20118,361.53,24315,361.53
Nawada,0,274.24,761,274.24,1900,274.24,3,274.24,110,274.24,16606,274.24,19380,274.24
Pashchim Champaran,0,399.30,1242,399.30,2121,399.30,4,399.30,122,399.30,27592,399.30,31081,399.30
Patna,0,5817.66,13173,5817.66,35091,5817.66,3481,5817.66,1932,5817.66,76715,5817.66,130392,5817.66
Purbi Champaran,0,473.16,1786,473.16,2859,473.16,557,473.16,183,473.16,33050,473.16,38435,473.16
Purnia,0,659.64,1465,659.64,5077,659.64,2,659.64,94,659.64,33210,659.64,39848,659.64
Rohtas,0,423.46,1705,423.46,2784,423.46,5,423.46,103,423.46,24142,423.46,28739,423.46
Saharsa,0,185.41,712,185.41,1079,185.41,0,185.41,43,185.41,15338,185.41,17172,185.41
Samastipur,0,543.87,2111,543.87,3335,543.87,11,543.87,187,543.87,31250,543.87,36894,543.87
Saran,0,433.14,1491,433.14,2323,433.14,11,433.14,120,433.14,30994,433.14,34939,433.14
Sheikhpura,0,77.19,368,77.19,462,77.19,76,77.19,28,77.19,6081,77.19,7015,77.19
Sheohar,0,40.27,165,40.27,371,40.27,0,40.27,3,40.27,2317,40.27,2856,40.27
Sitamarhi,0,267.10,1158,267.10,1790,267.10,1,267.10,269,267.10,8506,267.10,11724,267.10
Siwan,0,400.24,1380,400.24,2198,400.24,15,400.24,45,400.24,26978,400.24,30616,400.24
Supaul,0,192.18,657,192.18,973,192.18,3,192.18,71,192.18,5502,192.18,7206,192.18
Vaishali,0,489.34,1782,489.34,3438,489.34,0,489.34,235,489.34,30860,489.34,36315,489.34
