district,msme_medium_target,msme_medium_disbursed_no,msme_medium_disbursed_amt,msme_medium_pct
Araria,177701,1173.40,40301,464.68
Arwal,32202,186.97,9801,84.42
Aurangabad,136144,910.40,35852,340.46
Banka,97666,576.63,17683,162.06
Begusarai,394929,2346.52,66552,714.25
Bhagalpur,213609,2206.43,50313,665.29
Bhojpur,156909,1071.03,39249,400.28
Buxar,95133,645.85,25515,236.02
Darbhanga,254511,1924.70,66543,733.52
Gaya,365388,2709.83,98148,875.14
Gopalganj,142087,961.12,41108,463.18
Jamui,94319,533.41,19341,178.81
Jehanabad,44949,404.76,14001,145.94
Kaimur (Bhabua),82598,533.50,22444,217.56
Katihar,221701,1439.29,57654,607.05
Khagaria,105912,720.70,37911,258.21
Kishanganj,118630,769.12,37518,395.15
Lakhisarai,58454,405.30,12345,135.31
Madhepura,136548,845.61,23922,281.84
Madhubani,181562,1234.94,43554,505.54
Munger,75661,633.99,15518,194.66
Muzaffarpur,549347,4143.22,123714,1419.03
Nalanda,132855,1212.54,39508,442.65
Nawada,109344,823.81,34660,285.64
Pashchim Champaran,183577,1270.49,41550,484.52
Patna,1026306,13371.51,258975,3498.23
Purbi Champaran,259902,2183.66,70752,866.93
Purnia,212090,1817.97,57196,723.53
Rohtas,149029,1099.76,37457,378.44
Saharsa,96041,865.00,25928,316.17
Samastipur,268327,1976.54,73208,674.74
Saran,267034,1742.36,75798,782.45
Sheikhpura,32748,281.37,7979,93.41
Sheohar,20319,172.85,6122,66.05
Sitamarhi,109439,1003.50,30544,415.22
Siwan,243127,1490.31,56185,599.47
Supaul,63702,650.58,20276,286.88
Vaishali,182117,1624.55,56133,700.74
