District,CHRISTIANS No.,Amt.,MUSLIMS No.,Amt.,BUDDHISTS No.,Amt.,SIKHS No.,Amt.,ZORASTRIANS No.,Amt.,JAINS No.,Amt.,TOTAL No.,Amt.
Araria,40,1.28,18008,269.52,9,0.18,14,0.80,0,0.00,53,20.26,18124,291.95
Arwal,7,0.12,1070,11.97,1,0.01,6,0.23,0,0.00,4,0.03,1088,12.34
Aurangabad,16,0.59,3793,52.73,10,0.09,10,0.79,0,0.00,19,0.26,3848,54.44
Banka,13,0.79,2244,29.39,1,0.05,5,0.07,3,0.07,4,0.14,2270,30.48
Begusarai,38,0.70,11892,130.62,183,2.78,10,0.50,2,0.05,11,0.25,12136,134.86
Bhagalpur,117,2.12,12358,164.65,52,0.74,18,0.70,1,0.12,25,11.56,12571,179.84
Bhojpur,55,0.93,6439,59.50,28,0.38,19,2.99,0,0.00,23,9.96,6564,73.70
Buxar,10,0.07,2221,25.18,8,0.13,10,0.47,0,0.00,10,0.16,2259,25.97
Darbhanga,66,1.51,9583,158.08,72,1.40,17,0.90,0,0.00,16,1.39,9754,163.30
Gaya,663,4.72,15502,195.31,5515,24.69,616,3.96,50,0.18,53,12.98,22399,241.72
Gopalganj,33,1.19,5393,98.86,19,0.24,9,0.16,0,0.00,5,0.01,5459,100.40
Jamui,36,0.90,3074,35.49,7,0.05,13,0.27,0,0.00,8,0.11,3138,36.85
Jehanabad,5,0.09,1603,23.59,2,0.10,3,0.07,0,0.00,4,0.08,1617,23.91
Kaimur (Bhabua),8,0.24,2779,35.19,5,0.06,8,0.95,0,0.00,5,1.16,2805,37.58
Katihar,242,2.33,21973,299.78,9,0.09,57,1.31,0,0.00,12,0.11,22293,303.66
Khagaria,12,0.15,3179,30.08,4,0.02,6,0.08,0,0.00,6,0.43,3207,30.74
Kishanganj,181,3.14,29702,368.70,7,0.07,15,1.03,0,0.00,23,2.15,29928,375.12
Lakhisarai,6,0.28,962,7.61,2,0.01,3,0.11,1,0.01,1,0.02,975,8.00
Madhepura,26,0.15,6412,59.76,9,0.03,6,0.23,0,0.00,9,0.09,6462,60.22
Madhubani,28,0.71,7497,101.16,10,0.75,21,1.79,0,0.00,14,0.74,7570,105.13
Munger,17,0.28,1871,37.91,3,0.03,10,1.07,0,0.00,7,0.96,1908,40.22
Muzaffarpur,107,3.18,19493,237.46,265,5.01,50,4.95,1,2.32,22,0.44,19938,253.33
Nalanda,66,2.39,3565,52.37,29,0.64,11,0.40,0,0.00,10,0.36,3681,56.12
Nawada,141,0.43,4395,48.38,17,0.38,4,0.03,0,0.00,11,0.12,4568,49.34
Pashchim Champaran,89,2.89,8451,139.51,21,0.75,47,2.68,2,0.01,19,0.86,8629,146.68
Patna,377,27.15,48509,541.83,847,15.37,149,14.03,10,0.08,66,8.21,49958,606.47
Purbi Champaran,81,3.08,12228,189.94,260,47.81,25,0.55,3,3.35,19,1.36,12616,246.04
Purnia,142,2.57,28351,410.28,37,0.62,18,2.11,1,0.02,27,30.81,28576,446.35
Rohtas,117,1.06,4419,66.76,9,0.10,54,3.13,2,0.02,4,0.05,4605,71.13
Saharsa,19,0.43,4850,69.27,5,0.01,12,0.93,0,0.00,4,0.23,4890,70.91
Samastipur,50,1.06,9000,115.78,24,0.42,37,0.51,1,0.01,20,0.36,9132,118.07
Saran,43,1.67,5991,91.52,29,0.35,27,0.80,1,0.01,22,1.11,6113,95.42
Sheikhpura,22,0.15,552,6.99,7,0.03,3,0.03,0,0.00,3,0.07,587,7.27
Sheohar,1,0.01,991,13.57,4,0.18,3,0.11,0,0.00,3,0.04,1002,13.90
Sitamarhi,19,0.51,5104,85.84,9,0.10,65,1.85,0,0.00,25,0.15,5222,88.46
Siwan,101,0.71,21546,206.18,83,0.67,11,4.98,1,0.01,26,0.39,21768,212.92
Supaul,21,0.45,3672,55.11,12,0.22,15,0.47,1,0.01,7,0.21,3728,56.48
Vaishali,87,1.05,37636,201.54,39,0.60,23,0.40,1,0.01,8,0.39,37794,203.93
