district,total_gram_pancha_yat,gram_panchay_at_covered,gp_covered,pmjdy_opened,pmjjby_target,pmjjby_enrolled,ach_pmjjby,pmsby_target,pmsby_enrolled,ach_pmsby,apy_subscri_bed,re_kyc_done_for_pmjdy_acc_a,re_kyc_done_for_other_than_pmjdy_acc_b,total_re_kyc_done_a_b,nominati_ons_done_in_pmjdy_acc,nomination_s_done_other_than_pmjdy_acc
Araria,211,192,91.00,26554,32468,18416,56.72,50886,31747,62.39,5535,32309,29685,61994,2663,1769
Arwal,64,55,85.94,20733,14295,6016,42.08,21388,12686,59.31,2632,15297,20928,36225,1623,681
Aurangabad,202,167,82.67,35208,58727,18056,30.75,64364,34659,53.85,7848,12979,30929,43908,1509,1513
Banka,182,161,88.46,15601,29030,15506,53.41,38039,17476,45.94,4964,17073,21680,38753,13161,2903
Begusarai,217,206,94.93,28419,48820,22337,45.75,64670,38820,60.03,7164,45678,84545,130223,10796,5178
Bhagalpur,238,213,89.50,20476,51170,16674,32.59,72492,28516,39.34,7574,43854,62661,106515,5215,5110
Bhojpur,226,199,88.05,15333,68993,12999,18.84,72005,29030,40.32,6456,22932,17135,40067,642,865
Buxar,136,102,75.00,17333,41012,8175,19.93,49176,18246,37.10,3256,14412,22393,36805,3065,3311
Darbhanga,322,311,96.58,25751,65091,18244,28.03,86632,37100,42.82,5957,27179,38338,65517,1549,2219
Gaya,318,310,97.48,43184,98269,31722,32.28,112755,71229,63.17,17359,32343,43390,75733,2092,1907
Gopalganj,232,225,96.98,17444,46755,13138,28.10,56557,27026,47.79,4772,31387,30611,61998,9262,9262
Jamui,152,132,86.84,11505,35841,11044,30.81,49299,16998,34.48,3659,19259,22758,42017,10807,6413
Jehanabad,93,79,84.95,8501,22464,14602,65.00,33700,25275,75.00,2101,7506,22102,29608,2203,2609
Kaimur (Bhabua),146,107,73.29,12540,32547,6857,21.07,46663,15411,33.03,3598,9537,14480,24017,1579,653
Katihar,234,204,87.18,14880,37416,22706,60.69,52568,39810,75.73,6834,13860,51367,65227,3467,2997
Khagaria,113,111,98.23,18752,27450,13849,50.45,40115,20938,52.19,5270,20210,39361,59571,8541,17951
Kishanganj,125,103,82.40,13611,22635,10493,46.36,37333,23575,63.15,4171,16093,31153,47246,1389,1668
Lakhisarai,76,72,94.74,4354,21527,3799,17.65,32003,6947,21.71,1810,8342,9122,17464,3213,419
Madhepura,160,138,86.25,13782,28417,11983,42.17,42236,17559,41.57,5159,22436,27053,49489,3003,4448
Madhubani,388,336,86.60,26813,78008,16485,21.13,84356,40146,47.59,7797,46064,61424,107488,13126,16120
Munger,96,85,88.54,6031,28903,5312,18.38,41518,6995,16.85,2709,14304,18006,32310,2792,2368
Muzaffarpur,381,307,80.58,48964,91954,22174,24.11,108294,46287,42.74,6952,44605,45910,90515,5709,4837
Nalanda,230,230,100.00,23077,62734,17217,27.44,65414,32702,49.99,8365,39154,46574,85728,1384,1379
Nawada,182,182,100.00,11518,37836,5966,15.77,46758,17919,38.32,6313,12516,23900,36416,550,516
Pashchim Champaran,303,257,84.82,68146,67065,33211,49.52,77690,59626,76.75,10522,47222,48807,96029,13524,8167
Patna,313,276,88.18,1779,139483,20799,14.91,183564,34264,18.67,5937,25930,51451,77381,1453,826
Purbi Champaran,396,273,68.94,24570,81332,15819,19.45,93585,26538,28.36,5180,40513,31580,72093,20,12
Purnia,230,204,88.70,34345,47991,18738,39.04,72201,33871,46.91,5940,28980,37511,66491,14426,11612
Rohtas,229,211,92.14,33700,57344,11264,19.64,63884,24718,38.69,5046,20298,36405,56703,1740,2143
Saharsa,135,125,92.59,15247,30515,13082,42.87,43430,22898,52.72,5872,16523,25013,41536,5097,5416
Samastipur,347,320,92.22,34439,83816,63588,75.87,92600,83223,89.87,4931,39704,48091,87795,7002,5747
Saran,317,249,78.55,13968,71131,13234,18.61,79543,21378,26.88,5222,23545,22509,46054,6182,8531
Sheikhpura,49,41,83.67,2606,14347,3018,21.04,21648,3600,16.63,662,3507,1833,5340,1648,1236
Sheohar,53,53,100.00,5805,11012,6450,58.57,18250,9123,49.99,4403,6840,8931,15771,7456,8484
Sitamarhi,260,242,93.08,24418,50358,13154,26.12,65443,29080,44.44,4259,19025,45230,64255,4824,8719
Siwan,284,249,87.68,32570,62027,18227,29.39,70203,45395,64.66,11004,54337,63811,118148,13847,17681
Supaul,174,151,86.78,12749,31026,10833,34.92,42613,19999,46.93,5764,12677,26039,38716,1806,1730
Vaishali,278,268,96.40,25238,58160,18714,32.18,74470,41179,55.30,8619,17380,51182,68562,5820,6892
