district,non_priority_sector_agriculture_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,personal_loan_target,achie,achie,other_target,achie,achie,total_non_priority_sector_target,achie,achie
Araria,0,46.17,46.17,23,46.17,46.17,187,46.17,46.17,153,46.17,46.17,1065,46.17,46.17,1428,46.17,46.17
Arwal,0,33.91,33.91,13,33.91,33.91,63,33.91,33.91,42,33.91,33.91,338,33.91,33.91,456,33.91,33.91
Aurangabad,0,38.65,38.65,24,38.65,38.65,200,38.65,38.65,160,38.65,38.65,1109,38.65,38.65,1493,38.65,38.65
Banka,0,26.83,26.83,20,26.83,26.83,138,26.83,26.83,101,26.83,26.83,783,26.83,26.83,1042,26.83,26.83
Begusarai,0,61.21,61.21,30,61.21,61.21,248,61.21,61.21,182,61.21,61.21,1390,61.21,61.21,1850,61.21,61.21
Bhagalpur,0,57.61,57.61,38,57.61,57.61,347,57.61,57.61,244,57.61,57.61,1885,57.61,57.61,2514,57.61,57.61
Bhojpur,0,56.93,56.93,27,56.93,56.93,227,56.93,56.93,153,56.93,56.93,1230,56.93,56.93,1637,56.93,56.93
Buxar,0,41.02,41.02,19,41.02,41.02,148,41.02,41.02,106,41.02,41.02,823,41.02,41.02,1096,41.02,41.02
Darbhanga,0,58.16,58.16,29,58.16,58.16,259,58.16,58.16,189,58.16,58.16,1456,58.16,58.16,1933,58.16,58.16
Gaya,0,75.82,75.82,45,75.82,75.82,393,75.82,75.82,250,75.82,75.82,2070,75.82,75.82,2758,75.82,75.82
Gopalganj,0,43.07,43.07,22,43.07,43.07,181,43.07,43.07,132,43.07,43.07,999,43.07,43.07,1334,43.07,43.07
Jamui,0,51.03,51.03,17,51.03,51.03,105,51.03,51.03,75,51.03,51.03,596,51.03,51.03,793,51.03,51.03
Jehanabad,0,41.74,41.74,19,41.74,41.74,113,41.74,41.74,70,41.74,41.74,595,41.74,41.74,797,41.74,41.74
Kaimur (Bhabua),0,37.33,37.33,19,37.33,37.33,131,37.33,37.33,95,37.33,37.33,734,37.33,37.33,979,37.33,37.33
Katihar,0,45.36,45.36,23,45.36,45.36,211,45.36,45.36,185,45.36,45.36,1254,45.36,45.36,1673,45.36,45.36
Khagaria,0,44.90,44.90,17,44.90,44.90,103,44.90,44.90,73,44.90,44.90,581,44.90,44.90,774,44.90,44.90
Kishanganj,0,46.57,46.57,16,46.57,46.57,113,46.57,46.57,100,46.57,46.57,675,46.57,46.57,904,46.57,46.57
Lakhisarai,0,40.59,40.59,15,40.59,40.59,80,40.59,40.59,67,40.59,40.59,445,40.59,40.59,607,40.59,40.59
Madhepura,0,34.61,34.61,21,34.61,34.61,144,34.61,34.61,124,34.61,34.61,842,34.61,34.61,1131,34.61,34.61
Madhubani,0,39.64,39.64,30,39.64,39.64,250,39.64,39.64,203,39.64,39.64,1419,39.64,39.64,1902,39.64,39.64
Munger,0,49.79,49.79,19,49.79,49.79,149,49.79,49.79,103,49.79,49.79,809,49.79,49.79,1080,49.79,49.79
Muzaffarpur,0,47.36,47.36,52,47.36,47.36,487,47.36,47.36,860,47.36,47.36,4212,47.36,47.36,5611,47.36,47.36
Nalanda,0,50.23,50.23,24,50.23,50.23,233,50.23,50.23,156,50.23,50.23,1247,50.23,50.23,1660,50.23,50.23
Nawada,0,46.58,46.58,22,46.58,46.58,138,46.58,46.58,95,46.58,46.58,739,46.58,46.58,994,46.58,46.58
Pashchim Champaran,0,49.17,49.17,28,49.17,49.17,232,49.17,49.17,189,49.17,49.17,1327,49.17,49.17,1776,49.17,49.17
Patna,0,52.02,52.02,184,52.02,52.02,1629,52.02,52.02,7970,52.02,52.02,29294,52.02,52.02,39077,52.02,52.02
Purbi Champaran,0,55.75,55.75,40,55.75,55.75,334,55.75,55.75,276,55.75,55.75,1909,55.75,55.75,2559,55.75,55.75
Purnia,0,49.57,49.57,30,49.57,49.57,280,49.57,49.57,226,49.57,49.57,1587,49.57,49.57,2123,49.57,49.57
Rohtas,0,46.45,46.45,28,46.45,46.45,234,46.45,46.45,173,46.45,46.45,1298,46.45,46.45,1733,46.45,46.45
Saharsa,0,49.84,49.84,20,49.84,49.84,121,49.84,49.84,101,49.84,49.84,703,49.84,49.84,945,49.84,49.84
Samastipur,0,45.56,45.56,30,45.56,45.56,287,45.56,45.56,231,45.56,45.56,1635,45.56,45.56,2183,45.56,45.56
Saran,0,47.98,47.98,32,47.98,47.98,280,47.98,47.98,210,47.98,47.98,1581,47.98,47.98,2103,47.98,47.98
Sheikhpura,0,39.36,39.36,14,39.36,39.36,64,39.36,39.36,39,39.36,39.36,323,39.36,39.36,440,39.36,39.36
Sheohar,0,25.82,25.82,14,25.82,25.82,48,25.82,25.82,29,25.82,25.82,243,25.82,25.82,334,25.82,25.82
Sitamarhi,0,45.07,45.07,21,45.07,45.07,171,45.07,45.07,139,45.07,45.07,965,45.07,45.07,1296,45.07,45.07
Siwan,0,52.12,52.12,26,52.12,52.12,244,52.12,52.12,170,52.12,52.12,1331,52.12,52.12,1771,52.12,52.12
Supaul,0,46.04,46.04,20,46.04,46.04,141,46.04,46.04,126,46.04,46.04,841,46.04,46.04,1128,46.04,46.04
Vaishali,0,45.37,45.37,29,45.37,45.37,287,45.37,45.37,203,45.37,45.37,1567,45.37,45.37,2086,45.37,45.37
