district,shishu_loans_up_to_rs_50_000_outstanding_no,amt,out_of_which_under_npa_no,amt,kishore_loans_from_rs_50_001_to_rs_5_00_lakh_outstanding_no,amt,out_of_which_under_npa_no,amt,tarun_loans_from_rs_5_00_lakh_above_to_rs_10_00_lakh_outstan,amt,out_of_which_under_npa_no,amt,tarun_plus_loans_from_rs_10_00_lakh_above_to_rs_20_00_lakh_o,amt,out_of_which_under_npa_no,amt,total_pmmy_loans_outstanding_no,amt,out_of_which_under_npa_no,amt,age_npa_no,amt
Araria,110955,15.93,57739,15.93,111014,15.93,57739,15.93,3527,15.93,57739,15.93,138,15.93,57739,15.93,225634,15.93,57739,15.93,25.59,15.93
Arwal,15106,17.16,6629,17.16,12389,17.16,6629,17.16,1325,17.16,6629,17.16,12,17.16,6629,17.16,28832,17.16,6629,17.16,22.99,17.16
Aurangabad,61263,15.72,32257,15.72,61830,15.72,32257,15.72,3776,15.72,32257,15.72,128,15.72,32257,15.72,126997,15.72,32257,15.72,25.40,15.72
Banka,58090,14.06,27725,14.06,51996,14.06,27725,14.06,2484,14.06,27725,14.06,40,14.06,27725,14.06,112610,14.06,27725,14.06,24.62,14.06
Begusarai,130114,13.76,66143,13.76,161143,13.76,66143,13.76,5155,13.76,66143,13.76,128,13.76,66143,13.76,296540,13.76,66143,13.76,22.30,13.76
Bhagalpur,101194,9.14,31911,9.14,123797,9.14,31911,9.14,6305,9.14,31911,9.14,120,9.14,31911,9.14,231416,9.14,31911,9.14,13.79,9.14
Bhojpur,50332,15.51,21909,15.51,56836,15.51,21909,15.51,3367,15.51,21909,15.51,124,15.51,21909,15.51,110659,15.51,21909,15.51,19.80,15.51
Buxar,39030,17.34,17318,17.34,45722,17.34,17318,17.34,2737,17.34,17318,17.34,71,17.34,17318,17.34,87560,17.34,17318,17.34,19.78,17.34
Darbhanga,122775,14.21,69093,14.21,144187,14.21,69093,14.21,5343,14.21,69093,14.21,315,14.21,69093,14.21,272620,14.21,69093,14.21,25.34,14.21
Gaya,189765,14.84,69739,14.84,165670,14.84,69739,14.84,11599,14.84,69739,14.84,200,14.84,69739,14.84,367234,14.84,69739,14.84,18.99,14.84
Gopalganj,66461,14.55,36656,14.55,80821,14.55,36656,14.55,3349,14.55,36656,14.55,215,14.55,36656,14.55,150846,14.55,36656,14.55,24.30,14.55
Jamui,50188,15.01,20031,15.01,54917,15.01,20031,15.01,2214,15.01,20031,15.01,37,15.01,20031,15.01,107356,15.01,20031,15.01,18.66,15.01
Jehanabad,20961,15.86,10351,15.86,26501,15.86,10351,15.86,2244,15.86,10351,15.86,15,15.86,10351,15.86,49721,15.86,10351,15.86,20.82,15.86
Kaimur (Bhabua),30213,15.43,11168,15.43,34627,15.43,11168,15.43,2162,15.43,11168,15.43,44,15.43,11168,15.43,67046,15.43,11168,15.43,16.66,15.43
Katihar,91588,10.25,36397,10.25,124113,10.25,36397,10.25,4687,10.25,36397,10.25,218,10.25,36397,10.25,220606,10.25,36397,10.25,16.50,10.25
Khagaria,76079,18.81,45655,18.81,61544,18.81,45655,18.81,2435,18.81,45655,18.81,87,18.81,45655,18.81,140145,18.81,45655,18.81,32.58,18.81
Kishanganj,57624,6.83,12620,6.83,84432,6.83,12620,6.83,1678,6.83,12620,6.83,80,6.83,12620,6.83,143814,6.83,12620,6.83,8.78,6.83
