District,TARGET AMT.,DISBURSED NO. OF AC,AMT.,%AGE ACHIV. AMT.
Araria,1378,17119,872.36,63.31
Arwal,548,4177,177.32,32.36
Aurangabad,1345,12157,879.61,65.40
Banka,1086,6849,277.19,25.52
Begusarai,2656,20724,1313.07,49.44
Bhagalpur,3267,23815,1407.75,43.09
Bhojpur,2504,11383,853.30,34.08
Buxar,1476,8297,514.74,34.87
Darbhanga,2368,34189,1329.48,56.14
Gaya,3604,23721,1741.75,48.33
Gopalganj,1165,19823,640.38,54.97
Jamui,825,8308,298.00,36.12
Jehanabad,1006,7644,283.43,28.17
Kaimur (Bhabua),1159,8392,393.49,33.95
Katihar,1988,18239,1000.72,50.34
Khagaria,866,7931,404.15,46.67
Kishanganj,1018,11719,430.92,42.33
Lakhisarai,733,4981,261.86,35.72
Madhepura,874,11074,442.37,50.61
Madhubani,2230,31385,1019.90,45.74
Munger,1166,7222,376.89,32.32
Muzaffarpur,3929,35202,2518.47,64.10
Nalanda,1952,28094,1050.80,53.83
Nawada,1020,10659,630.37,61.80
Pashchim Champaran,2113,20890,969.21,45.87
Patna,14024,51828,7201.50,51.35
Purbi Champaran,2778,29769,1539.66,55.42
Purnia,2672,26532,1755.34,65.69
Rohtas,2095,14254,1180.79,56.36
Saharsa,875,11283,495.95,56.68
Samastipur,2674,23157,1452.21,54.31
Saran,2685,23778,985.85,36.72
Sheikhpura,534,3634,180.08,33.72
Sheohar,372,3267,107.71,28.95
Sitamarhi,1469,19345,817.96,55.68
Siwan,2486,25838,900.14,36.21
Supaul,1133,12447,483.54,42.68
Vaishali,1427,30639,1202.30,84.25
