District,Cases pending 30.06.2025 No.,Amt.,"Cases filed during the quarter
Sept'25 No.",Amt.,"Cases disposed during the
quarter Sept'25 No.",Amt.,"Cases pending as at the end of
the quarter Sept'25 No.",Amt.,"Cases pending for 6 months or
more as on 30.09.2025 No.",Amt.
Araria,22,19.65,5,1.09,5,0.75,22,19.99,11,2.52
Arwal,8,1.71,0,0.00,0,0.00,8,1.71,7,1.41
Aurangabad,47,7.99,32,3.80,7,0.14,72,11.65,12,3.55
Banka,3,0.60,3,0.60,1,0.20,5,1.00,0,0.00
Begusarai,11,2.21,11,4.87,3,0.63,19,6.45,2,0.20
Bhagalpur,33,22.27,27,5.23,8,0.61,52,26.89,14,20.22
Bhojpur,10,1.59,8,14.91,3,0.14,15,16.36,5,11.33
Buxar,2,0.26,5,1.77,0,0.00,7,2.03,3,1.01
Darbhanga,31,17.82,7,4.69,10,1.71,28,20.80,20,15.55
Gaya,32,10.76,31,7.60,12,1.95,51,16.42,12,3.56
Gopalganj,21,3.20,5,1.14,1,0.04,25,4.30,12,1.16
Jamui,4,0.11,1,0.18,0,0.00,5,0.29,1,0.05
Jehanabad,4,0.71,1,0.16,0,0.00,5,0.87,2,0.50
Kaimur (Bhabua),2,1.75,1,0.87,1,0.15,2,2.47,1,0.21
Katihar,15,2.18,8,1.26,3,0.58,20,2.86,6,0.70
Khagaria,8,1.96,3,1.08,1,0.20,10,2.84,5,1.18
Kishanganj,37,3.83,2,0.11,1,0.09,38,3.85,31,3.10
Lakhisarai,4,1.22,1,0.47,1,0.23,4,1.47,2,0.84
Madhepura,19,2.79,7,1.01,2,0.15,24,3.65,11,1.72
Madhubani,11,2.35,6,0.62,5,0.96,12,2.01,5,0.90
Munger,27,9.56,8,1.47,0,0.00,35,11.03,14,6.02
Muzaffarpur,78,11.52,15,3.51,24,6.75,69,8.27,15,2.26
Nalanda,54,7.62,6,1.87,1,0.32,59,9.17,36,8.05
Nawada,7,1.59,2,0.38,3,0.71,6,1.26,15,7.63
Pashchim Champaran,33,5.45,17,5.09,3,0.73,47,9.84,21,2.95
Patna,96,19.64,129,56.06,19,10.03,206,65.69,12,7.52
Purbi Champaran,38,14.09,11,2.00,15,5.62,34,10.45,15,6.52
Purnia,91,20.88,26,13.01,12,3.46,105,30.44,35,15.76
Rohtas,65,8.64,14,2.26,7,0.99,72,9.92,52,6.60
Saharsa,19,4.56,3,1.33,3,1.15,19,4.74,16,3.56
Samastipur,15,3.37,10,3.74,2,0.50,23,6.61,2,0.24
Saran,33,4.94,3,0.49,8,1.79,28,3.64,15,1.75
Sheikhpura,4,0.67,0,0.00,1,0.19,3,0.48,1,0.07
Sheohar,23,3.67,2,0.29,1,0.08,24,3.88,1,0.84
Sitamarhi,8,0.88,3,0.54,2,0.37,9,1.05,3,0.30
Siwan,20,3.10,6,0.92,2,0.38,24,3.62,10,1.56
Supaul,12,1.12,2,0.32,4,0.39,10,1.05,6,0.65
Vaishali,49,7.54,13,2.92,7,1.82,55,8.64,45,5.08
