district,kcc_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_kcc_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,15512,36.93,17456,36.93,36.35,36.93,32508,36.93,17456,36.93,36.35,36.93,48020,36.93,17456,36.93,36.35,36.93
Arwal,5797,3.95,2240,3.95,9.73,3.95,17222,3.95,2240,3.95,9.73,3.95,23019,3.95,2240,3.95,9.73,3.95
Aurangabad,18653,6.99,7657,6.99,10.61,6.99,53508,6.99,7657,6.99,10.61,6.99,72161,6.99,7657,6.99,10.61,6.99
Banka,12367,7.21,6063,7.21,15.12,7.21,27720,7.21,6063,7.21,15.12,7.21,40087,7.21,6063,7.21,15.12,7.21
Begusarai,21228,16.38,21433,16.38,29.21,16.38,52150,16.38,21433,16.38,29.21,16.38,73378,16.38,21433,16.38,29.21,16.38
Bhagalpur,26656,9.98,10999,9.98,12.45,9.98,61722,9.98,10999,9.98,12.45,9.98,88378,9.98,10999,9.98,12.45,9.98
Bhojpur,22371,4.88,7864,4.88,8.67,4.88,68293,4.88,7864,4.88,8.67,4.88,90664,4.88,7864,4.88,8.67,4.88
Buxar,14439,9.20,7202,9.20,13.30,9.20,39723,9.20,7202,9.20,13.30,9.20,54162,9.20,7202,9.20,13.30,9.20
Darbhanga,23300,18.21,25411,18.21,27.59,18.21,68793,18.21,25411,18.21,27.59,18.21,92093,18.21,25411,18.21,27.59,18.21
Gaya,30299,7.04,13111,7.04,11.95,7.04,79436,7.04,13111,7.04,11.95,7.04,109735,7.04,13111,7.04,11.95,7.04
Gopalganj,18083,26.31,22905,26.31,33.57,26.31,50151,26.31,22905,26.31,33.57,26.31,68234,26.31,22905,26.31,33.57,26.31
Jamui,11866,11.37,11035,11.37,24.28,11.37,33578,11.37,11035,11.37,24.28,11.37,45444,11.37,11035,11.37,24.28,11.37
Jehanabad,8869,7.78,3279,7.78,9.68,7.78,25008,7.78,3279,7.78,9.68,7.78,33877,7.78,3279,7.78,9.68,7.78
Kaimur (Bhabua),11866,19.81,7194,19.81,16.72,19.81,31150,19.81,7194,19.81,16.72,19.81,43016,19.81,7194,19.81,16.72,19.81
Katihar,17582,36.17,20457,36.17,36.61,36.17,38292,36.17,20457,36.17,36.61,36.17,55874,36.17,20457,36.17,36.61,36.17
Khagaria,10795,20.55,11902,20.55,30.96,20.55,27650,20.55,11902,20.55,30.96,20.55,38445,20.55,11902,20.55,30.96,20.55
Kishanganj,10225,39.95,16655,39.95,52.73,39.95,21363,39.95,16655,39.95,52.73,39.95,31588,39.95,16655,39.95,52.73,39.95
Lakhisarai,8296,7.83,3602,7.83,11.67,7.83,22579,7.83,3602,7.83,11.67,7.83,30875,7.83,3602,7.83,11.67,7.83
Madhepura,11153,32.24,12807,32.24,30.58,32.24,30722,32.24,12807,32.24,30.58,32.24,41875,32.24,12807,32.24,30.58,32.24
Madhubani,26084,21.74,33074,21.74,30.90,21.74,80937,21.74,33074,21.74,30.90,21.74,107021,21.74,33074,21.74,30.90,21.74
Munger,13010,5.74,5233,5.74,10.80,5.74,35436,5.74,5233,5.74,10.80,5.74,48446,5.74,5233,5.74,10.80,5.74
Muzaffarpur,37369,26.21,39709,26.21,30.73,26.21,91863,26.21,39709,26.21,30.73,26.21,129232,26.21,39709,26.21,30.73,26.21
Nalanda,23511,5.89,8375,5.89,8.70,5.89,72722,5.89,8375,5.89,8.70,5.89,96233,5.89,8375,5.89,8.70,5.89
Nawada,14440,8.96,6970,8.96,12.68,8.96,40509,8.96,6970,8.96,12.68,8.96,54949,8.96,6970,8.96,12.68,8.96
Pashchim Champaran,22155,44.25,41635,44.25,51.75,44.25,58292,44.25,41635,44.25,51.75,44.25,80447,44.25,41635,44.25,51.75,44.25
Patna,87373,3.91,7607,3.91,2.76,3.91,188150,3.91,7607,3.91,2.76,3.91,275523,3.91,7607,3.91,2.76,3.91
Purbi Champaran,27583,36.36,41547,36.36,40.75,36.36,74364,36.36,41547,36.36,40.75,36.36,101947,36.36,41547,36.36,40.75,36.36
Purnia,21726,41.73,28529,41.73,39.77,41.73,50008,41.73,28529,41.73,39.77,41.73,71734,41.73,28529,41.73,39.77,41.73
Rohtas,23010,11.98,11876,11.98,14.02,11.98,61722,11.98,11876,11.98,14.02,11.98,84732,11.98,11876,11.98,14.02,11.98
Saharsa,9369,42.34,13380,42.34,41.33,42.34,23007,42.34,13380,42.34,41.33,42.34,32376,42.34,13380,42.34,41.33,42.34
Samastipur,27726,18.63,30787,18.63,30.33,18.63,73793,18.63,30787,18.63,30.33,18.63,101519,18.63,30787,18.63,30.33,18.63
Saran,24868,18.87,20728,18.87,22.40,18.87,67651,18.87,20728,18.87,22.40,18.87,92519,18.87,20728,18.87,22.40,18.87
Sheikhpura,6011,10.85,3816,10.85,16.08,10.85,17722,10.85,3816,10.85,16.08,10.85,23733,10.85,3816,10.85,16.08,10.85
Sheohar,4154,33.95,5334,33.95,34.06,33.95,11508,33.95,5334,33.95,34.06,33.95,15662,33.95,5334,33.95,34.06,33.95
Sitamarhi,15797,33.25,20959,33.25,36.53,33.25,41579,33.25,20959,33.25,36.53,33.25,57376,33.25,20959,33.25,36.53,33.25
Siwan,23942,24.53,23936,24.53,26.97,24.53,64794,24.53,23936,24.53,26.97,24.53,88736,24.53,23936,24.53,26.97,24.53
Supaul,11582,43.06,18072,43.06,44.21,43.06,29294,43.06,18072,43.06,44.21,43.06,40876,43.06,18072,43.06,44.21,43.06
Vaishali,24224,25.21,25208,25.21,28.59,25.21,63937,25.21,25208,25.21,28.59,25.21,88161,25.21,25208,25.21,28.59,25.21
