District,Agriculture Disbursement Farm Credit Crop Loan A/c,Amt,Term Loan A/c,Amt,"Out of Farm Credit, total allied
activities A/c",Amt,Agri. Infrastructure A/c,Amt,Ancillary Activities A/c,Amt,Total Agriculture (PS) A/c,Amt
Araria,19857,500.45,19747,228.25,12418,109.19,46,22.83,5629,137.63,45279,889.15
Arwal,14845,307.69,2601,23.36,1265,9.97,11,0.67,249,23.62,17706,355.35
Aurangabad,37325,490.8,12102,119.32,6429,59.25,29,2.63,1558,354.61,51014,967.35
Banka,17505,230.51,9054,80.52,6469,50.48,16,10.34,2226,58.76,28801,380.13
Begusarai,42229,506.06,41473,403.67,23404,192.76,30,21.72,3014,245.6,86746,1177.04
Bhagalpur,24228,317.16,25501,269.88,10177,99.13,37,7.17,3053,133.63,52819,727.84
Bhojpur,36864,398.48,28720,193.14,20683,119.08,30,1.81,1444,78.3,67058,671.74
Buxar,19649,256.85,11674,96.57,6322,45.82,67,5.04,1005,113.9,32395,472.36
Darbhanga,21223,332.56,37194,287.9,26043,175.49,85,2.72,4331,166.18,62833,789.36
Gaya,48913,637.53,89846,526.66,35488,205.52,32,9.91,6179,276.76,144970,1450.85
Gopalganj,24683,372.53,17929,152.91,14454,102.66,3,0.11,3526,63.28,46141,588.83
Jamui,26629,185.64,7251,66.88,4709,36.63,10,0.61,1594,50.44,35484,303.58
Jehanabad,14914,240.77,4818,70.5,1433,12.81,9,1.62,628,41.18,20369,354.07
Kaimur (Bhabua),22978,456.67,8553,89.61,4589,33.32,16,1.97,1317,145.82,32864,694.07
Katihar,29756,514.57,27350,266.71,23914,188.12,33,10.55,6002,203.9,63141,995.73
Khagaria,25056,192.04,11301,132.42,8330,65.32,17,2.05,2090,105.96,38464,432.47
Kishanganj,12605,212.25,21656,194.39,15413,143.39,14,4.61,3055,52.39,37330,463.63
Lakhisarai,14732,130.09,5426,65.32,3586,28.51,6,0.29,826,39.14,20990,234.83
Madhepura,13863,237.17,13690,111.2,10667,74.63,20,3.66,6399,64.58,33972,416.61
Madhubani,23193,410.68,17555,158.46,8507,63.44,22,3.22,6872,151.79,47642,724.15
Munger,12568,114.5,5607,59.23,4216,36.21,16,1.68,574,29.4,18765,204.82
Muzaffarpur,37704,597.71,66342,546.11,40057,307.25,77,11.61,8136,366.94,112259,1522.36
Nalanda,47361,380,12970,159.71,8263,79.39,26,8.34,1558,92.7,61915,640.75
Nawada,40379,250.33,9165,97.25,5654,46.66,7,3.49,946,94.2,50497,445.27
Pashchim Champaran,33379,449.67,22568,228.64,11520,91.37,27,2.82,3553,100.79,59527,781.91
Patna,34230,2013.48,211802,1454.95,161088,2465.24,404,26.74,17329,1597.22,263765,5092.39
Purbi Champaran,50184,640.5,31628,267.36,14399,108.23,19,4.75,14273,330.84,96104,1243.45
Purnia,27306,442.28,19242,229.47,12160,108.36,83,37.1,7729,303.14,54360,1012
Rohtas,34282,525.44,13070,128.92,6119,49.43,38,4.01,1958,196.61,49348,854.98
Saharsa,10119,194.83,10068,99.77,4634,40.64,9,1.73,5605,83.53,25801,379.87
Samastipur,63595,716.54,34224,321.79,17797,158.85,51,24.9,5729,225.44,103599,1288.67
Saran,20935,371.86,36048,274.99,27434,179.83,18,0.6,9114,144.6,66115,792.06
Sheikhpura,9854,102.18,3598,49.32,2279,25.7,3,0.51,195,9.74,13650,161.75
Sheohar,5009,89.68,5535,47.79,3094,24.36,9,0.05,1434,20.36,11987,157.89
Sitamarhi,20271,349.18,16508,156.19,6874,55.06,103,3.34,4824,79.32,41706,588.03
Siwan,20395,404.56,71725,417,56632,312.23,134,2.86,7882,217.38,100136,1041.8
Supaul,16463,272.73,7660,73.1,4713,38.26,12,1.35,6965,64.78,31100,411.96
Vaishali,29580,477.94,134542,719.74,99761,528.19,63,2.89,7360,216.13,171545,1416.71
