District,CHRISTIANS No.,Amt.,MUSLIMS No.,Amt.,BUDDHISTS No.,Amt.,SIKHS No.,Amt.,ZORASTRIANS No.,Amt.,JAINS No.,Amt.,TOTAL No.,Amt.
Araria,204,6.91,84919,801.39,30,0.96,92,2.13,2,0.14,150,19.36,85397,830.97
Arwal,38,0.32,2691,29.83,8,0.18,29,0.50,0,0.00,14,0.07,2780,30.89
Aurangabad,105,2.43,11722,142.13,32,0.39,84,12.42,6,0.27,83,1.05,12032,158.70
Banka,91,1.69,12150,102.67,21,0.44,73,1.38,4,0.13,25,1.25,12364,107.54
Begusarai,181,2.74,63505,374.09,1027,9.94,99,2.21,3,0.04,88,1.11,64903,390.22
Bhagalpur,210,6.51,40550,448.23,427,3.03,128,4.98,2,0.01,86,21.13,41403,483.88
Bhojpur,127,2.57,33944,179.98,33,0.98,102,5.82,1,0.04,73,10.84,34280,200.19
Buxar,58,2.54,6803,71.49,24,0.61,83,4.47,1,0.00,38,0.56,7007,79.71
Darbhanga,243,6.92,37260,490.87,614,6.79,93,3.42,4,0.11,59,2.72,38273,510.87
Gaya,3576,17.07,77537,531.09,19314,57.66,1762,10.37,249,0.45,192,14.14,102630,630.85
Gopalganj,129,2.17,20697,264.29,84,2.72,104,1.79,3,0.08,65,0.73,21082,271.77
Jamui,205,3.42,12394,115.73,46,0.13,114,1.01,1,0.00,41,0.34,12801,120.71
Jehanabad,9,0.20,4224,54.51,7,0.56,15,1.12,0,0.00,7,0.15,4262,56.58
Kaimur (Bhabua),35,0.73,7708,104.75,17,0.23,43,1.43,1,0.05,29,1.48,7833,108.65
Katihar,1050,16.50,81372,935.12,64,0.98,252,6.12,2,0.01,37,0.32,82777,959.04
Khagaria,66,1.33,8962,89.17,24,0.48,60,0.67,5,0.04,29,0.39,9146,92.09
Kishanganj,662,9.43,109284,1114.37,34,0.29,55,2.01,0,0.00,102,3.44,110137,1129.54
Lakhisarai,24,0.67,2735,24.63,3,0.01,32,0.39,10,0.03,16,0.14,2820,25.84
Madhepura,120,1.89,26478,201.20,44,0.35,69,0.66,0,0.00,64,0.66,26775,204.77
Madhubani,180,3.39,42653,406.99,41,1.98,84,3.41,2,0.05,49,1.14,43009,416.85
Munger,111,2.49,7372,100.68,18,0.54,94,1.93,3,0.02,31,1.27,7629,106.94
Muzaffarpur,716,10.83,105534,739.47,1122,16.06,561,20.32,7,1.88,209,2.90,108149,791.49
Nalanda,180,8.77,11255,144.61,194,4.08,84,3.66,9,1.36,53,0.99,11775,163.49
Nawada,64,1.55,11216,122.24,44,1.55,19,0.25,0,0.00,41,0.35,11384,125.99
Pashchim Champaran,534,15.97,39297,449.74,105,2.46,185,5.56,3,0.00,102,1.20,40226,474.98
Patna,1628,76.12,235105,1645.33,2735,55.76,776,72.14,108,0.84,267,15.87,240619,1866.13
Purbi Champaran,339,10.80,51536,638.86,483,51.02,264,2.74,7,0.35,150,2.37,52779,706.21
Purnia,721,13.28,111108,1210.31,239,4.34,140,5.68,3,0.02,100,10.06,112311,1243.74
Rohtas,121,3.29,14696,187.62,90,2.05,398,10.62,12,0.02,51,0.32,15368,203.98
Saharsa,224,3.16,21156,198.43,30,0.15,72,4.27,1,0.00,15,0.61,21498,206.67
Samastipur,308,5.54,27313,310.73,128,2.83,254,4.38,6,0.10,91,1.74,28100,325.30
Saran,210,4.42,21653,251.18,100,1.92,238,5.71,7,0.10,93,1.60,22301,265.08
Sheikhpura,94,2.74,2413,29.91,41,0.91,89,1.57,2,0.07,27,1.38,2666,36.53
Sheohar,9,0.08,4124,43.71,37,0.44,31,0.43,1,0.00,11,0.21,4213,44.87
Sitamarhi,124,2.97,22256,267.20,132,2.79,320,6.15,0,0.00,72,1.12,22904,280.19
Siwan,1169,6.53,142316,662.50,287,2.95,191,8.91,3,0.04,71,1.67,144037,682.66
Supaul,335,3.46,15688,196.03,79,0.82,63,1.93,2,0.01,32,0.94,16199,203.25
Vaishali,645,5.12,284785,769.39,293,6.78,240,5.41,7,0.07,104,2.26,286074,789.04
