District,KCC New Target No.,AMT,Disbursed No.,% Achievement No.,KCC Renew Target No.,Total No. of KCC
Araria,15512,217,1231,7.94,32508,48020
Arwal,5797,81,392,6.76,17222,23019
Aurangabad,18653,261,1831,9.82,53508,72161
Banka,12367,173,1863,15.06,27720,40087
Begusarai,21228,297,1595,7.51,52150,73378
Bhagalpur,26656,373,3079,11.55,61722,88378
Bhojpur,22371,313,2033,9.09,68293,90664
Buxar,14439,202,2652,18.37,39723,54162
Darbhanga,23300,326,615,2.64,68793,92093
Gaya,30299,424,5170,17.06,79436,109735
Gopalganj,18083,253,1458,8.06,50151,68234
Jamui,11866,166,3554,29.95,33578,45444
Jehanabad,8869,124,445,5.02,25008,33877
Kaimur (Bhabua),11866,166,2036,17.16,31150,43016
Katihar,17582,246,940,5.35,38292,55874
Khagaria,10795,151,1438,13.32,27650,38445
Kishanganj,10225,143,732,7.16,21363,31588
Lakhisarai,8296,116,1359,16.38,22579,30875
Madhepura,11153,156,705,6.32,30722,41875
Madhubani,26084,365,1108,4.25,80937,107021
Munger,13010,182,2225,17.10,35436,48446
Muzaffarpur,37369,523,2110,5.65,91863,129232
Nalanda,23511,329,2192,9.32,72722,96233
Nawada,14440,202,2731,18.91,40509,54949
Pashchim Champaran,22155,310,2951,13.32,58292,80447
Patna,87373,1223,1196,1.37,188150,275523
Purbi Champaran,27583,386,1499,5.43,74364,101947
Purnia,21726,304,1824,8.40,50008,71734
Rohtas,23010,322,4425,19.23,61722,84732
Saharsa,9369,131,961,10.26,23007,32376
Samastipur,27726,388,5316,19.17,73793,101519
Saran,24868,348,1528,6.14,67651,92519
Sheikhpura,6011,84,452,7.52,17722,23733
Sheohar,4154,58,304,7.32,11508,15662
Sitamarhi,15797,221,723,4.58,41579,57376
Siwan,23942,335,1027,4.29,64794,88736
Supaul,11582,162,1284,11.09,29294,40876
Vaishali,24224,339,2189,9.04,63937,88161
