District,"AGRICULTURE TOTAL
0/S","TOTAL
NPA",%AGE,"MSME TOTAL
0/S","TOTAL
NPA",%AGE,"OPS TOTAL
0/S","TOTAL
NPA",%AGE,"TOTAL PRIORITY SECTOR TOTAL
0/S","TOTAL
NPA",%AGE,"NPS TOTAL
0/S","TOTAL
NPA",%AGE,"NPA IN TOTAL ADVANCE TOTAL
0/S","TOTAL
NPA",%AGE
Araria,2038,447,21.94,1504,114,7.55,287,31,10.70,3829,591,15.44,1845,45,2.45,5675,637,11.22
Arwal,441,136,30.96,255,28,10.99,53,10,18.40,749,174,23.27,437,14,3.17,1185,188,15.87
Aurangabad,1833,511,27.88,1252,88,7.01,307,31,10.12,3392,630,18.56,1748,38,2.17,5140,668,12.99
Banka,1142,301,26.39,630,120,19.02,254,18,7.21,2027,440,21.69,899,18,2.05,2926,458,15.66
Begusarai,3234,612,18.91,3066,144,4.68,586,32,5.49,6886,787,11.43,3507,64,1.82,10393,851,8.19
Bhagalpur,1950,351,17.98,3076,151,4.91,797,23,2.91,5824,525,9.01,4695,74,1.58,10519,599,5.70
Bhojpur,1817,345,18.99,1282,91,7.11,471,27,5.81,3571,464,12.99,2651,53,1.99,6222,516,8.30
Buxar,1271,402,31.63,801,87,10.83,230,13,5.54,2302,501,21.78,1400,27,1.93,3702,528,14.28
Darbhanga,2197,317,14.42,2130,140,6.55,582,27,4.68,4910,484,9.85,4052,62,1.54,8961,546,6.09
Gaya,3880,701,18.06,3395,243,7.15,925,43,4.62,8201,986,12.03,5273,116,2.21,13474,1103,8.18
Gopalganj,2210,464,21.00,1179,89,7.53,247,24,9.57,3636,576,15.86,1793,37,2.04,5428,613,11.29
Jamui,1186,366,30.83,542,61,11.22,117,15,12.96,1846,442,23.93,1136,29,2.56,2982,471,15.79
Jehanabad,720,186,25.80,515,58,11.18,139,12,8.74,1374,256,18.60,946,22,2.32,2321,278,11.96
Kaimur (Bhabua),1438,406,28.20,561,64,11.38,165,16,9.68,2165,485,22.42,1074,19,1.76,3238,504,15.57
Katihar,2854,470,16.47,1699,88,5.17,451,21,4.74,5004,579,11.58,2452,40,1.64,7457,620,8.31
Khagaria,1445,400,27.67,645,45,7.01,113,16,14.09,2203,461,20.93,1068,29,2.71,3272,490,14.98
Kishanganj,1506,269,17.87,772,53,6.83,225,14,6.26,2503,336,13.42,1231,19,1.52,3735,355,9.50
Lakhisarai,717,221,30.79,367,30,8.15,98,12,11.82,1182,262,22.19,744,14,1.94,1926,277,14.37
Madhepura,1516,357,23.57,771,83,10.73,179,19,10.54,2467,459,18.61,1337,24,1.79,3804,483,12.69
Madhubani,2586,394,15.24,1391,119,8.56,375,34,9.17,4352,548,12.58,2657,46,1.72,7009,593,8.46
Munger,702,184,26.14,623,83,13.29,242,14,5.95,1568,281,17.91,1716,40,2.36,3284,321,9.79
Muzaffarpur,4788,861,17.97,5281,286,5.41,1209,65,5.38,11279,1212,10.74,7913,157,1.98,19192,1368,7.13
Nalanda,1947,466,23.94,1685,159,9.45,362,31,8.52,3994,656,16.43,2586,43,1.68,6580,700,10.63
Nawada,1505,355,23.60,865,79,9.08,274,19,7.09,2644,453,17.14,1454,30,2.08,4098,483,11.80
Pashchim Champaran,2827,530,18.76,1635,117,7.16,399,43,10.69,4861,690,14.20,2770,52,1.87,7630,742,9.72
Patna,10767,1233,11.46,21372,1172,5.48,5818,118,2.03,37957,2524,6.65,55612,739,1.33,93569,3263,3.49
Purbi Champaran,4515,885,19.60,2595,169,6.50,473,33,7.02,7583,1087,14.33,3984,84,2.10,11567,1171,10.12
Purnia,3055,593,19.41,3396,138,4.07,660,34,5.16,7111,765,10.76,3538,65,1.84,10648,831,7.80
Rohtas,2176,742,34.09,1913,181,9.48,423,42,9.89,4513,965,21.39,2475,53,2.14,6988,1018,14.57
Saharsa,1465,323,22.02,933,79,8.50,185,17,9.19,2583,419,16.22,1558,25,1.59,4141,444,10.71
Samastipur,3327,724,21.76,2315,141,6.07,544,38,7.07,6186,903,14.60,3343,88,2.64,9529,991,10.40
Saran,2688,511,19.00,1776,186,10.45,433,31,7.16,4898,727,14.85,3065,56,1.83,7963,783,9.84
Sheikhpura,519,107,20.56,345,31,8.89,77,8,10.51,941,146,15.46,538,9,1.68,1479,155,10.45
Sheohar,525,104,19.91,196,33,16.74,40,4,9.98,761,141,18.56,357,9,2.62,1118,151,13.47
Sitamarhi,2046,499,24.39,1263,109,8.60,267,21,7.70,3576,628,17.57,2005,41,2.03,5581,669,11.98
Siwan,3536,445,12.58,1755,130,7.42,400,31,7.66,5692,606,10.64,2453,47,1.92,8145,653,8.01
Supaul,1547,381,24.63,751,70,9.27,192,16,8.31,2490,467,18.74,1429,23,1.61,3919,490,12.49
Vaishali,5137,599,11.66,1983,152,7.67,489,40,8.24,7610,792,10.40,3289,83,2.52,10899,875,8.02
