district,cases_pending_30_06_2025_no,amt,cases_filed_during_the_quarter_sept_25_no,amt,cases_disposed_during_the_quarter_sept_25_no,amt,cases_pending_as_on_30_09_2025_no,amt
Araria,6573,72,714,72,163,72,7124,72
Arwal,2875,53,146,53,108,53,2913,53
Aurangabad,8360,147,2973,147,222,147,11111,147
Banka,24115,308,105,308,815,308,23405,308
Begusarai,11849,152,459,152,425,152,11883,152
Bhagalpur,28014,352,136,352,959,352,27191,352
Bhojpur,13097,186,241,186,419,186,12919,186
Buxar,10612,184,355,184,253,184,10714,184
Darbhanga,3559,53,181,53,120,53,3620,53
Gaya,5849,78,330,78,83,78,6096,78
Gopalganj,9807,120,579,120,134,120,10252,120
Jamui,7754,107,183,107,170,107,7767,107
Jehanabad,5450,77,222,77,217,77,5455,77
Kaimur (Bhabua),14143,183,430,183,359,183,14214,183
Katihar,12524,150,567,150,293,150,12798,150
Khagaria,9726,126,2143,126,251,126,11618,126
Kishanganj,10093,140,2095,140,164,140,12024,140
Lakhisarai,5220,83,219,83,107,83,5332,83
Madhepura,6733,92,512,92,91,92,7154,92
Madhubani,5749,101,419,101,74,101,6094,101
Munger,10274,107,139,107,425,107,9988,107
Muzaffarpur,22329,287,3588,287,188,287,25729,287
Nalanda,10129,131,347,131,1689,131,8787,131
Nawada,5101,94,439,94,210,94,5330,94
Pashchim Champaran,17437,194,2093,194,103,194,19427,194
Patna,12712,219,594,219,176,219,13130,219
Purbi Champaran,22605,277,678,277,312,277,22971,277
Purnia,13389,194,1355,194,170,194,14574,194
Rohtas,12533,248,345,248,343,248,12535,248
Saharsa,5341,64,858,64,1014,64,5185,64
Samastipur,12042,126,179,126,237,126,11984,126
Saran,10440,141,822,141,119,141,11143,141
Sheikhpura,4208,48,109,48,93,48,4224,48
Sheohar,7604,48,74,48,19,48,7659,48
Sitamarhi,8086,72,740,72,136,72,8690,72
Siwan,9298,122,897,122,72,122,10123,122
Supaul,5069,74,1059,74,95,74,6033,74
Vaishali,8906,103,711,103,80,103,9537,103
