District,TARGET NO.,AMT,Disbursed No.,% Achievement No.
Araria,74902,1041,19747,26.36
Arwal,28283,393,2601,9.20
Aurangabad,146198,2032,12102,8.28
Banka,56774,789,9054,15.95
Begusarai,123252,1713,41473,33.65
Bhagalpur,133897,1861,25501,19.05
Bhojpur,123320,1714,28720,23.29
Buxar,75407,1048,11674,15.48
Darbhanga,120517,1675,37194,30.86
Gaya,155698,2164,89846,57.71
Gopalganj,143173,1990,17929,12.52
Jamui,50801,706,7251,14.27
Jehanabad,41376,575,4818,11.64
Kaimur (Bhabua),91448,1271,8553,9.35
Katihar,80156,1114,27350,34.12
Khagaria,63175,878,11301,17.89
Kishanganj,45262,629,21656,47.85
Lakhisarai,44471,618,5426,12.20
Madhepura,51521,716,13690,26.57
Madhubani,102600,1426,17555,17.11
Munger,53535,744,5607,10.47
Muzaffarpur,204546,2843,66342,32.43
Nalanda,114976,1598,12970,11.28
Nawada,63391,881,9165,14.46
Pashchim Champaran,96775,1345,22568,23.32
Patna,247281,3437,211802,85.65
Purbi Champaran,145767,2026,31628,21.70
Purnia,80516,1119,19242,23.90
Rohtas,106271,1477,13070,12.30
Saharsa,59074,821,10068,17.04
Samastipur,135408,1882,34224,25.27
Saran,126920,1764,36048,28.40
Sheikhpura,24399,339,3598,14.75
Sheohar,19504,271,5535,28.38
Sitamarhi,70728,983,16508,23.34
Siwan,125908,1750,71725,56.97
Supaul,59146,822,7660,12.95
Vaishali,151812,2110,134542,88.62
