district,outstanding_loans_to_women_a_c,amt,loans_disbursed_to_women_from_01_a_c,amt
Araria,177701,464.68,40301,464.68
Arwal,32202,84.42,9801,84.42
Aurangabad,136144,340.46,35852,340.46
Banka,97666,162.06,17683,162.06
Begusarai,394929,714.25,66552,714.25
Bhagalpur,213609,665.29,50313,665.29
Bhojpur,156909,400.28,39249,400.28
Buxar,95133,236.02,25515,236.02
Darbhanga,254511,733.52,66543,733.52
Gaya,365388,875.14,98148,875.14
Gopalganj,142087,463.18,41108,463.18
Jamui,94319,178.81,19341,178.81
Jehanabad,44949,145.94,14001,145.94
Kaimur (Bhabua),82598,217.56,22444,217.56
Katihar,221701,607.05,57654,607.05
Khagaria,105912,258.21,37911,258.21
Kishanganj,118630,395.15,37518,395.15
Lakhisarai,58454,135.31,12345,135.31
Madhepura,136548,281.84,23922,281.84
Madhubani,181562,505.54,43554,505.54
Munger,75661,194.66,15518,194.66
Muzaffarpur,549347,1419.03,123714,1419.03
Nalanda,132855,442.65,39508,442.65
Nawada,109344,285.64,34660,285.64
Pashchim Champaran,183577,484.52,41550,484.52
Patna,1026306,3498.23,258975,3498.23
Purbi Champaran,259902,866.93,70752,866.93
Purnia,212090,723.53,57196,723.53
Rohtas,149029,378.44,37457,378.44
Saharsa,96041,316.17,25928,316.17
Samastipur,268327,674.74,73208,674.74
Saran,267034,782.45,75798,782.45
Sheikhpura,32748,93.41,7979,93.41
Sheohar,20319,66.05,6122,66.05
Sitamarhi,109439,415.22,30544,415.22
Siwan,243127,599.47,56185,599.47
Supaul,63702,286.88,20276,286.88
Vaishali,182117,700.74,56133,700.74
