District,"Depositor Education Awarness Fund (DEAF) Base Data as on
31.08.2025 Number of
Accounts","Amount
(in Rs. Crore)","Total Settlement as on
30.11.2025 N u m ber of
Accounts","Amount
(in Rs. Crore)","% Activation as on
30.11.2025 N u m ber of
Accounts","Amount
(in Rs. Crore)"
Araria,175816,42.64,79,0.42,0.04,0.99
Arwal,57327,15.02,68,0.25,0.12,1.68
Aurangabad,160756,52.13,171,4.23,0.11,8.12
Banka,147020,42.95,144,1.39,0.10,3.23
Begusarai,194212,78.12,200,2.45,0.10,3.14
Bhagalpur,305150,111.07,360,3.20,0.12,2.88
Bhojpur,198014,105.49,326,4.10,0.16,3.88
Buxar,142928,63.79,179,1.79,0.13,2.81
Darbhanga,274777,92.73,240,5.30,0.09,5.72
Gaya,395447,132.35,308,4.60,0.08,3.48
Gopalganj,222693,75.72,170,1.57,0.08,2.07
Jamui,78933,35.33,129,0.54,0.16,1.52
Jehanabad,84026,25.78,105,0.91,0.12,3.54
Kaimur (Bhabua),120027,31.56,227,1.66,0.19,5.27
Katihar,233403,62.14,180,1.28,0.08,2.06
Khagaria,124466,32.68,186,0.96,0.15,2.94
Kishanganj,98122,24.09,72,1.42,0.07,5.89
Lakhisarai,38440,24.84,75,0.56,0.20,2.27
Madhepura,152621,39.93,158,2.36,0.10,5.90
Madhubani,347832,93.94,259,3.04,0.07,3.24
Munger,136322,66.42,206,1.65,0.15,2.48
Muzaffarpur,548914,174.58,447,3.08,0.08,1.76
Nalanda,221398,76.00,232,3.02,0.10,3.97
Nawada,120635,43.57,117,0.92,0.10,2.10
Pashchim Champaran,129731,50.20,173,1.45,0.13,2.88
Patna,945934,740.52,1263,28.42,0.13,3.84
Purbi Champaran,215177,83.46,384,4.11,0.18,4.92
Purnia,204327,61.78,258,5.10,0.13,8.25
Rohtas,228283,75.95,322,1.71,0.14,2.25
Saharsa,169804,47.05,208,1.51,0.12,3.21
Samastipur,267965,101.74,293,3.44,0.11,3.39
Saran,351105,142.68,304,2.33,0.09,1.63
Sheikhpura,35269,12.90,51,0.28,0.14,2.15
Sheohar,55577,10.60,45,0.36,0.08,3.36
Sitamarhi,228627,67.11,177,6.84,0.08,10.18
Siwan,381858,120.04,221,0.65,0.06,0.54
Supaul,185085,37.40,146,0.60,0.08,1.60
Vaishali,313205,95.93,223,2.75,0.07,2.86
