District,"Applications
Received","Applications
Accepted","Applications
Sanctioned","%
Sanctioned","Rejected/
Returned","%
Rejected/
Returned","Pendency
more than
15 days"
Araria,7104,6444,1503,23.32,4762,73.90,179
Arwal,1335,1335,383,28.69,885,66.29,67
Aurangabad,2920,2799,1250,44.66,1497,53.48,52
Banka,6925,6925,2073,29.94,4822,69.63,24
Begusarai,6875,5703,1985,34.81,3634,63.72,50
Bhagalpur,8481,8481,2453,28.92,5676,66.93,352
Bhojpur,4768,4757,1065,22.39,3615,75.99,77
Buxar,6083,6081,1537,25.28,4539,74.64,5
Darbhanga,6474,6474,1841,28.44,4489,69.34,144
Gaya,9886,8676,2341,26.98,6249,72.03,86
Gopalganj,3675,3675,1398,38.04,2088,56.82,189
Jamui,4471,4361,797,18.28,3400,77.96,157
Jehanabad,4935,4929,1802,36.56,3091,62.71,36
Kaimur (Bhabua),3447,3447,1036,30.06,2382,69.10,29
Katihar,7077,7077,1551,21.92,5307,74.99,219
Khagaria,5255,5255,1134,21.58,4121,78.42,0
Kishanganj,5721,5721,1294,22.62,4190,73.24,237
Lakhisarai,4501,4501,1679,37.30,2803,62.28,14
Madhepura,6416,6416,2604,40.59,3780,58.92,32
Madhubani,13929,13900,1606,11.55,12253,88.15,41
Munger,4544,4544,752,16.55,3699,81.40,93
Muzaffarpur,13693,13693,3404,24.86,10029,73.24,260
Nalanda,1648,1648,736,44.66,585,35.50,327
Nawada,7395,7342,1928,26.26,5272,71.81,107
Pashchim Champaran,3342,3342,969,28.99,2336,69.90,37
Patna,6544,6534,1550,23.72,4900,74.99,84
Purnia,7190,7166,1570,21.91,5317,74.20,279
Rohtas,9274,9274,1351,14.57,7650,82.49,273
Saharsa,6852,6852,2193,32.01,4659,67.99,0
Samastipur,8743,7495,3058,40.80,4248,56.68,189
Saran,4260,4260,670,15.73,3483,81.76,106
Sheikhpura,2024,1930,475,24.61,1399,72.49,56
Sheohar,2612,2578,961,37.28,1615,62.65,0
Sitamarhi,9825,9751,3480,35.69,6271,64.31,0
Siwan,2231,2183,487,22.31,1538,70.45,158
Supaul,1639,1637,442,27.00,1173,71.66,22
Vaishali,7491,7491,2270,30.30,5101,68.10,120
