district,agri_crop_loan_no,agri_crop_loan,agri_term_loan_no,agri_term_loan,agri_total_farm_credit_no,agri_total_farm_credit,agri_infrastructure_no,agri_infrastructure,agri_ancillary_no,agri_ancillary,agri_total_no,agri_total
Araria,48,2.81,8,1.25,156,26.42,1365,70.23,18488,558.65,20065,659.35
Arwal,1,0.03,3,0.28,39,7.47,721,37.69,4029,109.17,4793,154.64
Aurangabad,23,4.9,20,1.02,193,32.26,1888,118.3,12274,420.48,14398,576.97
Banka,131,6.18,5,0.15,75,12.16,920,45.85,7509,215.21,8640,279.54
Begusarai,49,23.38,32,3.53,537,89.12,4628,220.4,30365,795.97,35611,1132.41
Bhagalpur,64,23.31,73,5.24,837,165.13,3372,219.25,30430,1035.25,34776,1448.19
Bhojpur,37,6.11,10,0.84,503,82.77,2421,159.54,20893,682.66,23864,931.92
Buxar,21,1.25,11,0.95,200,28.4,1591,99.37,11616,319.62,13439,449.58
Darbhanga,50,2.22,50,5.27,582,121.11,4114,232.86,33423,762.8,38219,1124.25
Gaya,32,9.52,256,12.04,835,151.55,4887,359.4,40107,1558.49,46117,2090.99
Gopalganj,27,3.26,13,0.88,135,17.83,2419,116.98,21576,435.65,24170,574.61
Jamui,15,3.52,1,0.15,73,13.63,1040,87.23,9030,300.16,10159,404.7
Jehanabad,11,0.37,9,0.47,121,18.61,1217,76.81,10168,236.37,11526,332.63
Kaimur (Bhabua),32,3.86,7,0.5,98,12.26,1020,69.87,8786,278.93,9943,365.43
Katihar,237,2.54,23,1.93,395,65.94,2249,152.04,23434,536.44,26338,758.89
Khagaria,34,4.68,12,0.82,78,17.75,1559,68.77,8436,255.49,10119,347.51
Kishanganj,38,3.68,12,1.27,122,27.45,985,73.27,10650,315.29,11807,420.95
Lakhisarai,1,0.06,6,0.3,73,14.33,965,49.24,5843,182.46,6888,246.38
Madhepura,71,1.22,9,0.88,138,28.89,1274,66.76,9715,293.67,11207,391.43
Madhubani,88,7.53,28,1.68,285,44.08,2831,150.01,23230,550.69,26462,753.99
Munger,14,1.12,10,0.77,126,25.48,1865,123.97,11225,386.42,13240,537.76
Muzaffarpur,48,3.88,78,6.04,1146,199.94,8252,535.48,69362,1911.79,78886,2657.13
Nalanda,27,2.23,15,1.34,355,74.25,3024,169.41,24054,586.53,27475,833.77
Nawada,11,0.55,10,0.53,173,26.68,1827,94.96,14843,340.23,16864,462.96
Pashchim Champaran,80,15.33,24,1.81,307,35.27,3198,174,25440,646.89,29049,873.31
Patna,354,232.41,505,56.51,7175,1704.62,27746,2010.53,228626,16322.21,264406,20326.28
Purbi Champaran,175,7.54,26,2.72,305,75.89,4268,254.5,37082,1086.08,41856,1426.73
Purnia,132,16,42,3.38,765,130.63,2360,139.76,28784,762.68,32083,1052.45
Rohtas,25,1.82,19,1.18,250,39.02,2367,161.76,18795,601.17,21456,804.95
Saharsa,36,3.59,15,1.26,230,38.55,1342,93.11,10669,334.48,12292,470.99
Samastipur,44,5.54,25,1.65,386,68.07,4267,257.62,25674,661.59,30396,994.47
Saran,41,2.07,21,1.3,491,53.03,3344,188.99,36590,763.66,40487,1009.04
Sheikhpura,11,0.83,2,0.15,41,7.9,839,40.9,3620,123.42,4513,173.19
Sheohar,12,0.34,1,0.02,35,3.54,760,29.08,2221,53.28,3029,86.25
Sitamarhi,36,3.07,29,2.59,257,44.76,2839,143.55,16060,390.19,19221,584.16
Siwan,35,4.17,25,2.67,313,52.51,2731,152.96,31817,710.65,34921,922.97
Supaul,221,82.01,6,0.41,121,22.07,1245,75.62,10013,339.27,11606,519.38
Vaishali,34,4.09,25,1.88,614,96.07,4105,215.28,34724,629.09,39502,946.42
