District,"KCC ANIMAL
HUSBANDARY
OUTSTANDING AS ON
30.06.2025 NO.",AMT.,"KCC NPA AS ON
30.06.2025 NO.",AMT.,% AGE NPA NO.,AMT.,"RUPAY
CARD
ISSUED NO.","RUPAY
CARD
ACTIVATED NO."
Araria,3295,30.99,484,3.52,14.69,11.36,255,239
Arwal,649,3.41,29,0.40,4.47,11.73,23,18
Aurangabad,2151,15.78,35,0.27,1.63,1.71,132,116
Banka,2205,19.38,250,2.02,11.34,10.42,431,365
Begusarai,4263,59.81,1527,2.90,35.82,4.85,746,498
Bhagalpur,3862,35.49,702,5.63,18.18,15.86,366,333
Bhojpur,2258,14.51,77,0.55,3.41,3.79,45,34
Buxar,3013,21.48,69,0.66,2.29,3.07,117,90
Darbhanga,2426,22.66,183,1.68,7.54,7.41,357,293
Gaya,1962,13.81,49,0.48,2.50,3.48,305,261
Gopalganj,2358,21.51,107,0.47,4.54,2.19,564,519
Jamui,1971,17.61,156,1.19,7.91,6.76,643,529
Jehanabad,519,5.36,78,0.65,15.03,12.13,148,100
Kaimur (Bhabua),1950,16.21,91,0.76,4.67,4.69,62,54
Katihar,1364,13.11,349,1.28,25.59,9.76,153,88
Khagaria,4250,51.71,255,2.58,6.00,4.99,335,271
Kishanganj,1190,8.89,195,0.72,16.39,8.10,182,101
Lakhisarai,1366,15.41,207,1.79,15.15,11.62,254,211
Madhepura,1369,9.77,202,0.77,14.76,7.88,137,120
Madhubani,1996,13.37,67,0.43,3.36,3.22,87,77
Munger,1841,18.19,83,1.18,4.51,6.49,180,161
Muzaffarpur,5850,83.02,461,5.40,7.88,6.50,1052,805
Nalanda,2993,26.98,195,1.19,6.52,4.41,307,268
Nawada,2226,12.70,173,0.85,7.77,6.69,65,51
Pashchim Champaran,4180,37.19,218,2.68,5.22,7.21,192,182
Patna,2242,30.09,432,6.34,19.27,21.07,368,260
Purbi Champaran,4458,54.12,493,5.91,11.06,10.92,261,226
Purnia,1415,10.95,298,1.35,21.06,12.33,92,64
Rohtas,1137,8.30,68,0.59,5.98,7.11,152,129
Saharsa,1476,14.60,221,1.70,14.97,11.64,589,471
Samastipur,7173,75.95,476,4.66,6.64,6.14,773,606
Saran,1122,10.43,105,0.62,9.36,5.94,122,81
Sheikhpura,2063,17.94,155,1.28,7.51,7.13,291,279
Sheohar,1673,18.50,150,1.85,8.97,10.00,61,56
Sitamarhi,2361,22.66,266,2.95,11.27,13.02,276,236
Siwan,905,9.88,47,0.26,5.19,2.63,218,172
Supaul,937,8.92,71,0.59,7.58,6.61,97,53
Vaishali,1999,29.15,253,1.92,12.66,6.59,556,423
