District,Shishu Account,Amount,Kishor Account,Amount,Tarun Account,Amount,Tarun Plus Account,Amount,Total Account,Amount
Araria,13158,54.40,24581,269.91,1082,65.00,95,27.95,38916,417.23
Arwal,2098,8.36,3321,34.37,243,14.81,6,0.72,5668,58.23
Aurangabad,7992,35.50,14120,148.94,912,55.52,70,33.94,23094,273.86
Banka,6458,30.39,10919,118.13,499,29.20,25,9.14,17901,186.77
Begusarai,17686,73.85,34653,349.00,1487,87.98,94,32.00,53920,542.71
Bhagalpur,17771,71.97,33108,370.64,1530,98.30,77,20.97,52486,561.82
Bhojpur,8483,41.87,15324,157.30,1036,63.73,63,19.45,24906,282.28
Buxar,6841,31.11,11964,121.94,780,50.60,43,11.95,19628,215.61
Darbhanga,15698,79.25,36543,338.31,1604,97.18,147,55.45,53992,570.14
Gaya,43598,174.52,39171,316.15,1855,110.38,108,43.80,84732,644.80
Gopalganj,8467,39.31,17943,185.17,1017,56.87,127,36.46,27554,317.76
Jamui,7291,26.59,12019,129.86,577,37.12,14,2.02,19901,195.54
Jehanabad,3308,13.53,7508,94.85,439,25.55,10,1.28,11265,135.18
Kaimur (Bhabua),5861,22.84,8660,89.70,599,33.47,27,5.52,15147,151.47
Katihar,16438,77.58,30340,306.94,1498,90.61,176,64.01,48452,539.16
Khagaria,8363,34.26,12491,135.27,713,40.95,70,22.36,21637,232.83
Kishanganj,12653,51.16,24007,277.43,505,28.11,55,15.48,37220,372.17
Lakhisarai,2682,10.90,7083,78.49,345,21.29,16,2.92,10126,113.63
Madhepura,4524,24.52,11050,127.91,640,40.38,72,24.78,16286,217.55
Madhubani,14023,61.77,19389,201.85,1704,94.69,149,51.09,35265,409.40
Munger,6288,25.20,8916,98.83,610,37.63,38,12.16,15852,173.69
Muzaffarpur,29936,142.77,60964,567.16,2872,167.51,395,136.14,94167,1013.49
Nalanda,8901,39.31,17768,193.75,1292,76.22,93,18.99,28054,328.22
Nawada,8536,38.01,15444,159.36,606,35.35,105,40.93,24691,273.58
Pashchim Champaran,13905,65.91,24188,249.71,1472,78.12,233,73.20,39798,466.82
Patna,77965,373.34,149145,1272.69,6260,392.38,719,264.93,234089,2303.29
Purbi Champaran,14896,80.85,34691,351.78,2069,111.06,394,107.35,52050,650.93
Purnia,11260,53.86,29345,329.01,1655,104.84,238,99.24,42498,586.95
Rohtas,12818,50.77,16724,182.39,1307,82.26,81,20.58,30930,335.85
Saharsa,5681,26.81,11539,129.67,621,36.66,82,22.86,17923,215.90
Samastipur,23686,105.78,38831,403.21,2185,125.91,177,71.71,64879,706.52
Saran,21711,93.80,43144,427.27,1914,100.53,225,44.23,66994,665.72
Sheikhpura,1650,6.25,3348,40.43,369,22.45,4,1.54,5371,70.65
Sheohar,1220,4.61,2373,29.14,294,15.99,13,2.39,3900,52.11
Sitamarhi,9451,44.71,14550,166.84,1271,72.86,174,64.74,25446,349.10
Siwan,14600,65.65,30820,320.56,1312,83.61,143,36.34,46875,506.14
Supaul,3903,22.21,8752,111.47,847,49.52,111,32.17,13613,215.30
Vaishali,22275,95.46,32633,360.31,1943,109.55,244,72.32,57095,637.44
