district,other_priority_sector_export_credit_a_c,amt,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,total_other_priority_sector_ops_a_c,amt
Araria,0,30.76,195,30.76,139,30.76,0,30.76,3,30.76,9685,30.76,10022,30.76
Arwal,0,9.77,151,9.77,19,9.77,0,9.77,0,9.77,1325,9.77,1495,9.77
Aurangabad,0,31.05,586,31.05,65,31.05,0,31.05,0,31.05,4122,31.05,4773,31.05
Banka,0,18.32,149,18.32,33,18.32,0,18.32,1,18.32,6629,18.32,6812,18.32
Begusarai,0,32.13,359,32.13,153,32.13,1,32.13,7,32.13,8828,32.13,9348,32.13
Bhagalpur,0,23.18,191,23.18,83,23.18,0,23.18,0,23.18,5930,23.18,6204,23.18
Bhojpur,0,27.39,396,27.39,75,27.39,0,27.39,0,27.39,2722,27.39,3193,27.39
Buxar,0,12.77,180,12.77,40,12.77,0,12.77,0,12.77,1711,12.77,1931,12.77
Darbhanga,0,27.24,443,27.24,75,27.24,6,27.24,0,27.24,3532,27.24,4056,27.24
Gaya,0,42.74,664,42.74,174,42.74,1,42.74,1,42.74,3322,42.74,4162,42.74
Gopalganj,0,23.67,227,23.67,750,23.67,0,23.67,0,23.67,5799,23.67,6776,23.67
Jamui,0,15.21,96,15.21,25,15.21,0,15.21,0,15.21,5164,15.21,5285,15.21
Jehanabad,0,12.18,305,12.18,19,12.18,2,12.18,1,12.18,626,12.18,953,12.18
Kaimur (Bhabua),0,15.99,227,15.99,30,15.99,1,15.99,0,15.99,1559,15.99,1817,15.99
Katihar,0,21.35,166,21.35,102,21.35,0,21.35,0,21.35,2849,21.35,3117,21.35
Khagaria,0,15.93,164,15.93,20,15.93,0,15.93,0,15.93,4053,15.93,4237,15.93
Kishanganj,0,14.09,117,14.09,327,14.09,0,14.09,0,14.09,1248,14.09,1692,14.09
Lakhisarai,0,11.59,181,11.59,17,11.59,16,11.59,0,11.59,2186,11.59,2400,11.59
Madhepura,0,18.88,153,18.88,137,18.88,0,18.88,0,18.88,3442,18.88,3732,18.88
Madhubani,0,34.36,520,34.36,74,34.36,0,34.36,0,34.36,7319,34.36,7913,34.36
Munger,0,14.43,133,14.43,49,14.43,0,14.43,0,14.43,3649,14.43,3831,14.43
Muzaffarpur,0,65.10,683,65.10,185,65.10,0,65.10,0,65.10,11500,65.10,12368,65.10
Nalanda,0,30.82,656,30.82,68,30.82,0,30.82,0,30.82,2708,30.82,3432,30.82
Nawada,0,19.44,239,19.44,57,19.44,0,19.44,0,19.44,3068,19.44,3364,19.44
Pashchim Champaran,0,42.69,306,42.69,44,42.69,1,42.69,0,42.69,8519,42.69,8870,42.69
Patna,0,118.38,1408,118.38,485,118.38,456,118.38,1,118.38,11342,118.38,13692,118.38
Purbi Champaran,0,33.23,326,33.23,50,33.23,29,33.23,0,33.23,7463,33.23,7868,33.23
Purnia,0,34.02,233,34.02,610,34.02,1,34.02,0,34.02,5949,34.02,6793,34.02
Rohtas,0,41.87,561,41.87,146,41.87,0,41.87,1,41.87,5984,41.87,6692,41.87
Saharsa,0,17.04,198,17.04,73,17.04,0,17.04,2,17.04,3018,17.04,3291,17.04
Samastipur,0,38.47,499,38.47,67,38.47,0,38.47,1,38.47,7153,38.47,7720,38.47
Saran,0,31.03,443,31.03,81,31.03,1,31.03,0,31.03,4945,31.03,5470,31.03
Sheikhpura,0,8.11,110,8.11,14,8.11,2,8.11,0,8.11,1749,8.11,1875,8.11
Sheohar,0,4.02,47,4.02,64,4.02,0,4.02,0,4.02,889,4.02,1000,4.02
Sitamarhi,0,20.57,256,20.57,67,20.57,0,20.57,1,20.57,2907,20.57,3231,20.57
Siwan,0,30.66,455,30.66,53,30.66,0,30.66,0,30.66,3689,30.66,4197,30.66
Supaul,0,15.97,241,15.97,118,15.97,1,15.97,0,15.97,1772,15.97,2132,15.97
Vaishali,0,40.34,523,40.34,348,40.34,0,40.34,0,40.34,7249,40.34,8120,40.34
