district,no_of_rural_branches_in_district,no_of_camps_conducted_during_the_quarter
Araria,63,120
Arwal,23,107
Aurangabad,60,406
Banka,70,131
Begusarai,53,176
Bhagalpur,78,152
Bhojpur,46,357
Buxar,45,228
Darbhanga,49,232
Gaya,108,441
Gopalganj,56,323
Jamui,34,201
Jehanabad,32,151
Kaimur (Bhabua),56,364
Katihar,69,157
Khagaria,16,116
Kishanganj,42,82
Lakhisarai,19,131
Madhepura,24,57
Madhubani,54,435
Munger,33,165
Muzaffarpur,108,386
Nalanda,55,477
Nawada,29,496
Pashchim Champaran,44,199
Patna,152,457
Purbi Champaran,49,587
Purnia,61,125
Rohtas,63,530
Saharsa,31,93
Samastipur,69,393
Saran,80,337
Sheikhpura,7,129
Sheohar,11,73
Sitamarhi,27,119
Siwan,69,296
Supaul,30,77
Vaishali,56,284
