district,target_no_kvic,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,sanction_no,margin_money_claimed_no_of_prj,mm_in_lakh,disbursement_made_by_nodal_branches_no_of_prj,mm_in_lakh,disbursement,applications_returned_no_of_prj,mm_involve_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh,pending_for_mm_disbursement_no_of_prj,mm_in_lakh
Araria,71,196,287.56,37,287.56,52.11,101,152.25,66,152.25,92.96,73,287.56,91,287.56,65,152.25
Arwal,63,135,310.69,12,310.69,19.05,36,57.3,30,57.3,47.62,40,310.69,83,310.69,23,57.3
Aurangabad,78,455,855.78,19,855.78,24.36,114,235.68,81,235.68,103.85,198,855.78,240,855.78,66,235.68
Banka,69,342,451.59,53,451.59,76.81,168,141.27,129,141.27,186.96,135,451.59,153,451.59,76,141.27
Begusarai,72,220,465.45,33,465.45,45.83,207,246.04,155,246.04,215.28,37,465.45,147,465.45,110,246.04
Bhagalpur,61,459,991.9,44,991.9,72.13,298,390.89,230,390.89,377.05,141,991.9,273,991.9,166,390.89
Bhojpur,72,343,1117.7,19,1117.7,26.39,136,290.61,73,290.61,101.39,49,1117.7,278,1117.7,91,290.61
Buxar,72,301,747.77,16,747.77,22.22,96,160.36,70,160.36,97.22,54,747.77,229,747.77,62,160.36
Darbhanga,74,253,707.12,33,707.12,44.59,200,377.76,133,377.76,179.73,53,707.12,175,707.12,132,377.76
Gaya,73,512,1583.83,39,1583.83,53.42,205,273.53,192,273.53,263.01,59,1583.83,414,1583.83,69,273.53
Gopalganj,76,311,770.95,30,770.95,39.47,108,190.36,96,190.36,126.32,71,770.95,208,770.95,59,190.36
Jamui,77,393,860.03,25,860.03,32.47,80,157.55,47,157.55,61.04,101,860.03,266,860.03,57,157.55
Jehanabad,66,173,329.58,21,329.58,31.82,47,96.98,40,96.98,60.61,56,329.58,96,329.58,34,96.98
Katihar,77,244,557.89,41,557.89,53.25,120,203.7,109,203.7,141.56,42,557.89,161,557.89,73,203.7
Khagaria,69,170,436.23,21,436.23,30.43,94,159.83,70,159.83,101.45,21,436.23,127,436.23,65,159.83
Kishanganj,71,228,419.65,23,419.65,32.39,68,89.48,55,89.48,77.46,64,419.65,141,419.65,37,89.48
Lakhisarai,70,200,366.45,15,366.45,21.43,55,123.94,34,123.94,48.57,42,366.45,141,366.45,39,123.94
Madhepura,70,237,184.2,19,184.2,27.14,90,98.01,57,98.01,81.43,148,184.2,70,184.2,49,98.01
Madhubani,79,448,951.94,54,951.94,68.35,244,445.11,131,445.11,165.82,129,951.94,269,951.94,179,445.11
Munger,64,258,435.04,30,435.04,46.88,114,120.76,113,120.76,176.56,43,435.04,188,435.04,65,120.76
Muzaffarpur,80,337,1272.59,39,1272.59,48.75,324,622.25,205,622.25,256.25,36,1272.59,274,1272.59,186,622.25
Nalanda,77,388,1312.89,30,1312.89,38.96,238,530.19,136,530.19,176.62,51,1312.89,310,1312.89,150,530.19
Nawada,67,215,656.85,17,656.85,25.37,91,233.63,75,233.63,111.94,41,656.85,159,656.85,63,233.63
Pashchim Champaran,71,401,929.42,29,929.42,40.85,124,253.14,139,253.14,195.77,132,929.42,242,929.42,62,253.14
Patna,110,630,2183.99,55,2183.99,50.00,394,1050.91,232,1050.91,210.91,70,2183.99,512,2183.99,248,1050.91
Purbi Champaran,73,427,1476.18,38,1476.18,52.05,210,409.91,158,409.91,216.44,81,1476.18,313,1476.18,110,409.91
Purnia,71,336,460.05,46,460.05,64.79,137,158.79,143,158.79,201.41,157,460.05,136,460.05,59,158.79
Rohtas,69,739,1072.02,40,1072.02,57.97,201,322.57,154,322.57,223.19,356,1072.02,346,1072.02,99,322.57
Saharsa,69,293,590.55,17,590.55,24.64,114,157.75,70,157.75,101.45,73,590.55,198,590.55,68,157.75
Samastipur,69,357,799.35,35,799.35,50.72,231,388.72,175,388.72,253.62,95,799.35,230,799.35,132,388.72
Saran,74,369,1331.58,36,1331.58,48.65,134,391.06,103,391.06,139.19,46,1331.58,284,1331.58,88,391.06
Sheikhpura,76,239,388.91,13,388.91,17.11,52,65.88,46,65.88,60.53,89,388.91,138,388.91,28,65.88
Sheohar,72,122,196.72,26,196.72,36.11,49,73.83,34,73.83,47.22,21,196.72,73,196.72,30,73.83
Sitamarhi,68,280,962.63,18,962.63,26.47,145,241.81,122,241.81,179.41,19,962.63,244,962.63,74,241.81
Siwan,78,488,1665.09,41,1665.09,52.56,171,303.62,146,303.62,187.18,117,1665.09,328,1665.09,100,303.62
Supaul,68,193,471.31,31,471.31,45.59,110,182.13,81,182.13,119.12,45,471.31,116,471.31,66,182.13
Vaishali,72,332,1325.31,26,1325.31,36.11,195,436.02,149,436.02,206.94,47,1325.31,259,1325.31,94,436.02
