district,target_no,amt,achie_no,amt,achie_no,amt,outstanding_no,amt,npa_no,amt,npa_no,amt
Araria,410,2.15,45.12,2.15,45.12,2.15,1449,2.15,9.59,2.15,9.59,2.15
Arwal,190,3.27,22.11,3.27,22.11,3.27,238,3.27,7.98,3.27,7.98,3.27
Aurangabad,520,1.00,51.35,1.00,51.35,1.00,1816,1.00,3.58,1.00,3.58,1.00
Banka,480,1.75,31.25,1.75,31.25,1.75,875,1.75,3.77,1.75,3.77,1.75
Begusarai,840,1.37,72.62,1.37,72.62,1.37,3190,1.37,4.80,1.37,4.80,1.37
Bhagalpur,900,0.87,74.00,0.87,74.00,0.87,4728,0.87,1.76,0.87,1.76,0.87
Bhojpur,690,1.17,76.96,1.17,76.96,1.17,3077,1.17,2.44,1.17,2.44,1.17
Buxar,460,0.96,45.65,0.96,45.65,0.96,1584,0.96,2.53,0.96,2.53,0.96
Darbhanga,790,0.98,55.06,0.98,55.06,0.98,3801,0.98,1.97,0.98,1.97,0.98
Gaya,1020,1.65,64.22,1.65,64.22,1.65,5423,1.65,3.21,1.65,3.21,1.65
Gopalganj,510,1.95,59.22,1.95,59.22,1.95,2078,1.95,36.09,1.95,36.09,1.95
Jamui,360,0.38,25.28,0.38,25.28,0.38,550,0.38,4.55,0.38,4.55,0.38
Jehanabad,250,1.00,74.00,1.00,74.00,1.00,1033,1.00,1.84,1.00,1.84,1.00
Kaimur (Bhabua),380,1.84,44.74,1.84,44.74,1.84,881,1.84,3.41,1.84,3.41,1.84
Katihar,600,1.49,58.50,1.49,58.50,1.49,2428,1.49,4.20,1.49,4.20,1.49
Khagaria,310,1.98,20.65,1.98,20.65,1.98,584,1.98,3.42,1.98,3.42,1.98
Kishanganj,350,5.78,36.29,5.78,36.29,5.78,1245,5.78,26.27,5.78,26.27,5.78
Lakhisarai,290,1.70,33.10,1.70,33.10,1.70,486,1.70,3.50,1.70,3.50,1.70
Madhepura,360,3.77,25.28,3.77,25.28,3.77,835,3.77,16.41,3.77,16.41,3.77
Madhubani,810,1.21,57.41,1.21,57.41,1.21,2444,1.21,3.03,1.21,3.03,1.21
Munger,450,2.03,39.56,2.03,39.56,2.03,1261,2.03,3.89,2.03,3.89,2.03
Muzaffarpur,1270,1.44,74.57,1.44,74.57,1.44,8400,1.44,2.20,1.44,2.20,1.44
Nalanda,700,1.93,46.43,1.93,46.43,1.93,2222,1.93,3.06,1.93,3.06,1.93
Nawada,450,0.97,61.11,0.97,61.11,0.97,1900,0.97,3.00,0.97,3.00,0.97
Pashchim Champaran,620,1.26,62.58,1.26,62.58,1.26,2121,1.26,2.07,1.26,2.07,1.26
Patna,4100,0.80,93.10,0.80,93.10,0.80,35091,0.80,1.38,0.80,1.38,0.80
Purbi Champaran,840,0.88,55.95,0.88,55.95,0.88,2859,0.88,1.75,0.88,1.75,0.88
Purnia,700,2.56,94.43,2.56,94.43,2.56,5077,2.56,12.01,2.56,12.01,2.56
Rohtas,670,2.37,52.09,2.37,52.09,2.37,2784,2.37,5.24,2.37,5.24,2.37
Saharsa,310,2.05,35.48,2.05,35.48,2.05,1079,2.05,6.77,2.05,6.77,2.05
Samastipur,830,1.11,68.80,1.11,68.80,1.11,3335,1.11,2.01,1.11,2.01,1.11
Saran,710,1.15,46.48,1.15,46.48,1.15,2323,1.15,3.49,1.15,3.49,1.15
Sheikhpura,200,0.91,22.00,0.91,22.00,0.91,462,0.91,3.03,0.91,3.03,0.91
Sheohar,130,2.42,43.08,2.42,43.08,2.42,371,2.42,17.25,2.42,17.25,2.42
Sitamarhi,500,1.85,53.80,1.85,53.80,1.85,1790,1.85,3.74,1.85,3.74,1.85
Siwan,710,1.23,48.87,1.23,48.87,1.23,2198,1.23,2.41,1.23,2.41,1.23
Supaul,390,2.09,30.00,2.09,30.00,2.09,973,2.09,12.13,2.09,12.13,2.09
Vaishali,800,1.93,71.63,1.93,71.63,1.93,3438,1.93,10.12,1.93,10.12,1.93
